name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:27:37 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.013733,0.002866909737047952,0.442235,0.005148962546691836,2.261241195292096,5.240192841143715,1.0,0,0.134466,0.0073486332407237545,1.0,0,5.0,0,5.6888816572617,1.6646699349389764,0.8111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:27:37 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.01089463248166933,0.002904391162085363,0.4869757483667877,0.005269955486578327,2.0534903500919413,5.934343115932381,1.0,0,0.12756518390103008,0.006456060456316637,1.0,0,5.0,0,5.258752851510295,1.8537485233341604,0.8111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:27:37 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.014942758789349364,0.0030403444132657133,0.4720794546381605,0.005524752395232817,2.118287483547616,5.791853686840505,1.0,0,0.12662721141428535,0.006926340471981231,1.0,0,5.0,0,5.403313592496946,1.8213694264271796,0.8111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10004_T68s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:27:37 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.012519812225012306,0.003030033489378411,0.5072154384228951,0.005533890997365466,1.9715488217577513,6.563253722926558,1.0,0,0.12343214590933135,0.006282672751363721,1.0,0,5.0,0,5.023212941742697,2.119559462911325,0.8055555555555556
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10005_T90s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:27:37 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.012001391016053131,0.002868541816719838,0.49760762401486264,0.005115610604080317,2.0096155117794816,6.363312899711816,1.0,0,0.13951841769632684,0.00674934036112943,1.0,0,5.0,0,5.031595919395693,2.0854589989182664,0.8388888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10006_T112s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:27:37 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.013747683953652778,0.0028727202391511573,0.5153129898689557,0.005172519432712149,1.9405681976972877,6.511728077985766,1.0,0,0.13271741849017976,0.006246997464281803,1.0,0,5.0,0,4.873629683521024,2.124069136701557,0.7555555555555555
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10007_T134s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:27:37 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.0067222992858450015,0.002303380511643692,0.497950670587253,0.004080393746312526,2.0082310539328327,6.219080802510038,1.0,0,0.14452455092333455,0.005586069983645891,1.0,0,5.0,0,5.043852590561168,2.0057106262555986,0.7111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10008_T155s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:27:37 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.013794246537464638,0.003212952639532463,0.49253143208567723,0.005880576042704163,2.0303272742724108,5.997451311324851,1.0,0,0.12210800277645004,0.006796150218415868,1.0,0,5.0,0,5.288405518570759,1.8297596518565233,0.8055555555555556
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:27:38 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.008282343089689226,0.0034647321806425863,0.5042796863423507,0.0058494219316651865,1.9830265368276396,6.038408688096233,1.0,0,0.1886977635803908,0.010493504587664253,1.0,0,5.0,0,4.220150035101947,2.226971738787384,0.7277777777777777
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:27:38 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.016906794399901837,0.003371640882404877,0.4648695590970578,0.006031919146929195,2.151141068351208,5.484310922368043,1.0,0,0.13723178163913627,0.008369284296433776,1.0,0,5.0,0,5.204633784045558,1.777933740586484,0.7111111111111111
