name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:36:08 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.010225,0.0028140310465799294,0.231078,0.0055234118979619485,4.327543080691369,2.344675212028464,1.0,0,0.087725,0.009515346691287719,1.0,0,5.0,0,14.072898341513685,0.47117851295693364,0.7055555555555556
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:36:08 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.012010037536154261,0.003438545304469289,0.2604632869952357,0.007207007323050812,3.8393126783287954,2.658492773322338,1.0,0,0.06645150725608343,0.008123608793395173,1.0,0,5.0,0,13.98438694526993,0.4628212578409781,0.7444444444444445
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:36:08 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.01533024803195282,0.004176511023955562,0.2511679277828814,0.0085976366370966,3.9814000490716954,2.57657501156276,1.0,0,0.07150006952236108,0.010894580614923799,1.0,0,5.0,0,13.56421897172394,0.4740968763211593,0.7888888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10004_T68s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:36:08 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.012178955182322815,0.0031658039875106705,0.3562597880394147,0.006588679338498825,2.8069404226147614,4.169588863197639,1.0,0,0.06838805841572095,0.005603489744102098,1.0,0,5.0,0,9.498239255222975,0.925640969942947,0.7111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10005_T90s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:36:08 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.010144006359084745,0.0031325977058487275,0.31881656119011414,0.005923680582839408,3.1365999189850364,3.711732551338227,1.0,0,0.10413314931724332,0.008909189456227519,1.0,0,5.0,0,9.213450705070768,0.956309541381944,0.7111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10006_T112s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:36:08 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.013119174855379057,0.0031947809838573198,0.24926757346088674,0.006607455531780471,4.011753258218774,2.5843549367712817,1.0,0,0.0701276176109197,0.00825959434634197,1.0,0,5.0,0,13.899406054644832,0.47298374035794905,0.7166666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10007_T134s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:36:08 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.012956859370631846,0.0026276027497967756,0.2365175294396762,0.0051101274505791425,4.228016428080651,2.401339814867101,1.0,0,0.09144941074905098,0.008998190702901657,1.0,0,5.0,0,13.23541985111589,0.4636402888580932,0.7555555555555555
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10008_T155s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:36:08 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.009536041210843615,0.0036384581699181557,0.23753742036553271,0.0073943248335767335,4.20986301215681,2.4131702548055256,1.0,0,0.07543048015353107,0.01050835528465565,1.0,0,5.0,0,14.973902766036687,0.42693332098161874,0.6777777777777778
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:36:08 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.011065544865595855,0.0033926084026206305,0.2178283738697244,0.006173518649220618,4.590770165681287,2.234187390826324,1.0,0,0.12575165949057993,0.016647182586102423,1.0,0,5.0,0,12.867010531255488,0.48317488053024055,0.7111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:36:08 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.015867929677552794,0.0043692088219112815,0.2545610416256248,0.009466739823487585,3.9283308773958807,2.54320151120183,1.0,0,0.0583417630625987,0.009454273678289242,1.0,0,5.0,0,13.77396048269931,0.459947007939099,0.7111111111111111
