name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:30:38 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.001749,None,0.250197,None,3.9968504818203257,2.6461934083338994,0.838781,None,0.161219,None,0.052829,None,6.920168,None,1.0,None,1.0,None,5.0,None,5.0,None,13.94119757573581,0.5580642167932507,0.7777777777777778
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:30:38 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.0001537974463665659,None,0.27482806562546197,None,3.6386385710795945,2.9460118017883774,0.8649342499232548,None,0.13506575007674515,None,0.050697846091044434,None,6.550626368217295,None,1.0,None,1.0,None,5.0,None,5.0,None,14.207358730432986,0.5520290938384529,0.7666666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:30:38 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.0039044809042960704,None,0.2919429767945973,None,3.425326448950924,3.1709008680393485,0.8297747035769867,None,0.17022529642301332,None,0.036126580682254585,None,3.7586558288507463,None,1.0,None,1.0,None,5.0,None,5.0,None,13.460770391246456,0.5917265806817658,0.8111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10004_T68s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:30:38 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.011537022816425102,None,1.3678151807014418,None,0.731092924036112,15.542654015451628,0.827166988775915,None,0.172833011224085,None,0.00017276656457709263,None,0.10729440544425853,None,1.0,None,1.0,None,5.0,None,5.0,None,12.543016633311565,0.6756497140339555,0.7888888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10005_T90s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:30:38 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,-0.0015415963116122144,None,0.24703526167204104,None,4.048005103528822,2.72347450080667,0.8446308372108287,None,0.15536916278917134,None,0.06513014943959583,None,9.505531159849161,None,1.0,None,1.0,None,5.0,None,5.0,None,14.048415793781986,0.570171104531344,0.7944444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10006_T112s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:30:38 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.0018188030663288668,None,0.2756255966090332,None,3.628110060541549,3.02041745605775,0.8505115367008707,None,0.14948846329912935,None,0.051506945952000414,None,6.436148908078819,None,1.0,None,1.0,None,5.0,None,5.0,None,13.338075281951165,0.6044878689328599,0.7666666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10007_T134s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:30:38 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,-0.00047722308533715285,None,0.25841457467776074,None,3.86975077255989,2.8160607983949024,0.8531069939820395,None,0.14689300601796051,None,0.07267371323062852,None,9.884482867379857,None,1.0,None,1.0,None,5.0,None,5.0,None,12.881184579198472,0.6179631196443007,0.7611111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10008_T155s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:30:38 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.0007938849817915594,None,0.25786905281693734,None,3.8779372285122773,2.762760651395711,0.8202859492554083,None,0.17971405074459168,None,0.043475797031206166,None,6.230936840943656,None,1.0,None,1.0,None,5.0,None,5.0,None,14.02269236917727,0.553580192300723,0.7666666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:30:38 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.0002871211986728017,None,0.40611513722537573,None,2.462355889593558,4.9968799074145425,0.8626293154600753,None,0.13737068453992474,None,0.08593553050113399,None,8.07814460319283,None,1.0,None,1.0,None,5.0,None,5.0,None,6.682113248454168,1.562040696089205,0.7833333333333333
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:30:38 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.0004719820401626329,None,0.29162397131061524,None,3.4290733903176895,3.064144885450241,0.7923672229448577,None,0.20763277705514227,None,0.03159593113999016,None,4.626401267234626,None,1.0,None,1.0,None,5.0,None,5.0,None,13.359528903662113,0.5725706161263177,0.7555555555555555
