name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:33:56 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.013985,0.0033304101715462163,0.386187,0.005990371125306516,2.5894191156097954,4.71833060387748,1.0,0,0.133427,0.009709443744745808,1.0,0,5.0,0,6.649436876063174,1.6017095071608825,0.7722222222222223
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:33:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.0161781128001518,0.003247872376947571,0.4839287330782765,0.005915962752008159,2.0664199739473785,6.2749676258769815,1.0,0,0.12511847251074976,0.0071422719789546105,1.0,0,5.0,0,5.355959646899235,2.1827704477976324,0.7888888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:33:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.017608295823836384,0.003559035911787745,0.35737792481801883,0.006768873249628716,2.79815828162641,4.2387750093757575,1.0,0,0.10134434779974456,0.008819083988287756,1.0,0,5.0,0,7.8735384609843555,1.2216238430092825,0.8333333333333334
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10004_T68s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:33:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.015786992250275023,0.0031322217474260626,0.39455368158981274,0.006256400573486287,2.5345093625045005,4.895849441418472,1.0,0,0.08122088656946334,0.005804167828673608,1.0,0,5.0,0,7.901939978140443,1.3037776427625174,0.7833333333333333
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10005_T90s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:33:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.016479984061859132,0.0029589514459390375,0.3774919778666055,0.005445494020717806,2.6490629169167947,4.68138068573855,1.0,0,0.11880453577391993,0.007972907692164518,1.0,0,5.0,0,7.156734206128055,1.4441468490315978,0.85
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10006_T112s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:33:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.016280671467681418,0.0028131854546064395,0.36272974784104706,0.005319492194146393,2.756873418714511,4.325682237600228,1.0,0,0.10414167405673107,0.007032962566309425,1.0,0,5.0,0,7.797630722697707,1.2376482225804237,0.8222222222222222
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10007_T134s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:33:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.016399083020023575,0.0027098566566978806,0.4074999615922571,0.0049298677910374735,2.4539879613549416,5.003630985490108,1.0,0,0.125881887758566,0.007115192123006761,1.0,0,5.0,0,6.437339907470793,1.58606130761127,0.7444444444444445
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10008_T155s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:33:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.020197871791200805,0.002961842410551718,0.38927109836815404,0.005507259855417276,2.568903790165916,4.7406341970567665,1.0,0,0.11291614048309903,0.0074035717884270965,1.0,0,5.0,0,6.79931488243888,1.5036204830728865,0.8444444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:33:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.015430397002698992,0.0031313095284925454,0.7477893594881345,0.005122013458334465,1.3372749789920853,11.512812141425398,1.0,0,0.22778353697527007,0.007553789598223295,1.0,0,5.0,0,2.697683455873113,5.674367776649005,0.8222222222222222
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:33:57 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.01810043413339213,0.003073208076642209,0.452547626228268,0.005520145505037731,2.2097121762287038,5.690167166863988,1.0,0,0.13439107945979972,0.0076937785328958334,1.0,0,5.0,0,5.607543123027036,1.9993588307462722,0.7444444444444445
