name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:40:31 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.011449,None,0.575534,None,1.7375168104751413,7.4066317124212935,0.256218,None,0.743782,None,0.027305,None,0.24784,None,1.0,None,1.0,None,5.0,None,5.0,None,4.167851981094754,2.697188165034874,0.8166666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:40:32 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.007626405937005476,None,0.6670305559338489,None,1.4991816958070097,8.888603973094211,0.2116282257076017,None,0.7883717742923984,None,0.009046539364988644,None,0.23084837835336966,None,1.0,None,1.0,None,5.0,None,5.0,None,3.6849546579843784,3.219128704980728,0.7944444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:40:32 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.011766055791361252,None,0.7581321669871364,None,1.3190312237694137,10.255218798238484,0.2872562990841603,None,0.7127437009158397,None,0.0014247353304759698,None,0.2079191653608967,None,1.0,None,1.0,None,5.0,None,5.0,None,3.912433077658208,3.0949573734173517,0.8388888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10004_T68s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:40:32 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.0067719287166086994,None,0.6680201879293729,None,1.4969607476978315,9.417093023152614,0.23044954212864005,None,0.7695504578713599,None,0.007351083470705373,None,0.22719066047371145,None,1.0,None,1.0,None,5.0,None,5.0,None,3.9305172199856426,3.266341848265193,0.7944444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10005_T90s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:40:32 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.008185240887427447,None,0.6820160045872681,None,1.4662412513400833,9.580793503214093,0.18419903885872085,None,0.8158009611412791,None,0.004589896519458445,None,0.21605216486511705,None,1.0,None,1.0,None,5.0,None,5.0,None,3.754293859885054,3.416504533436316,0.8277777777777777
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10006_T112s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:40:32 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.006277903025364129,None,0.6818055913307647,None,1.466693750704179,9.382648167087272,0.20145600131737545,None,0.7985439986826246,None,0.005454125665903547,None,0.214206137018795,None,1.0,None,1.0,None,5.0,None,5.0,None,3.828685174126775,3.2588434969138755,0.7944444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10007_T134s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:40:32 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.007599447921517566,None,0.6918982254287784,None,1.4452992698171567,9.694023459303963,0.16963753887007205,None,0.830362461129928,None,0.01362257044939524,None,0.22347948629511857,None,1.0,None,1.0,None,5.0,None,5.0,None,3.5006846225982327,3.6623726336568336,0.8
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10008_T155s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:40:32 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.012739243583879567,None,2.217369697225203,None,0.4509847867278926,29.875413236122323,0.7428329097206281,None,0.2571670902793719,None,0.000100000065059066,None,0.18406169669898798,None,1.0,None,1.0,None,5.0,None,5.0,None,3.8717340333939014,3.1060128791975212,0.8166666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:40:32 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.010889713257556277,None,0.9866148037730357,None,1.0135667903783485,12.66674449909037,0.15302114700613484,None,0.8469788529938651,None,0.00010000002420286074,None,0.23505921495450782,None,1.0,None,1.0,None,5.0,None,5.0,None,2.1326153971380855,4.932951820939297,0.8444444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:40:32 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.010409591612031699,None,0.6052117381996249,None,1.6523142842119776,7.652016873718673,0.23745054530594667,None,0.7625494546940533,None,0.005005048552546188,None,0.21028835630288445,None,1.0,None,1.0,None,5.0,None,5.0,None,4.55279051880687,2.3936006170849007,0.8555555555555555
