name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:41:44 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.012843,0.002811938033206451,0.590837,0.004839429547997427,1.692514179037535,8.017984705474705,1.0,0,0.169161,0.006600813834043423,1.0,0,5.0,0,3.861424348636446,3.296404919845273,0.8055555555555556
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:41:44 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.01294611584211236,0.002651646462560512,0.6569063762398457,0.004567334807863719,1.5222869440300364,9.352368911776532,1.0,0,0.16838499770773174,0.005575812560541564,1.0,0,5.0,0,3.4815205202479063,3.917819502627024,0.8222222222222222
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:41:44 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.01378127943827967,0.0028676301640446697,0.5186705896883789,0.005175984918783786,1.928005982758358,6.787524057582555,1.0,0,0.13104595892495285,0.00612747163298073,1.0,0,5.0,0,4.925745331858177,2.3529634565928865,0.7888888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10004_T68s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:41:44 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.011639794307620743,0.002884021451230196,0.5627721457451946,0.0051358786437006995,1.776918078764986,7.875627770796062,1.0,0,0.1405614806875559,0.0060395406921834515,1.0,0,5.0,0,4.416871269814136,2.913864696567501,0.8444444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10005_T90s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:41:45 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.012981327612580307,0.0037437545585051867,0.5561177875069996,0.00661312827378047,1.7981802101365325,7.666004698996143,1.0,0,0.14673022708523298,0.008238483526297219,1.0,0,5.0,0,4.420026657844501,2.8487032603026625,0.85
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10006_T112s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:41:45 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.011109450572750701,0.0030733275854252337,0.530092272514036,0.005494115541988099,1.886464021173826,7.047407869134231,1.0,0,0.13775350544996048,0.00671280484932652,1.0,0,5.0,0,4.768994474490134,2.4872621878515506,0.7555555555555555
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10007_T134s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:41:45 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.00991232928574004,0.0029530263736308867,0.5780696514805033,0.00516712647233999,1.729895346415236,7.92645170101964,1.0,0,0.154409447184886,0.006538351655114605,1.0,0,5.0,0,4.205147944864856,2.9885375515830095,0.7888888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10008_T155s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:41:45 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.01726418958139464,0.0034595740725830845,0.6161193354662771,0.006041281329809843,1.6230621933707101,8.51000942477709,1.0,0,0.15610233226007364,0.00725628033171107,1.0,0,5.0,0,3.7777606902512826,3.396126639869693,0.8444444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:41:45 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.016614155455497492,0.002685707332229854,0.7439316088404899,0.004393243822572735,1.34420958609169,11.442856069169965,1.0,0,0.22774918299022132,0.006511528164363064,1.0,0,5.0,0,2.708633739210577,5.64422808063061,0.8222222222222222
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:41:45 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.01462449059682902,0.0034710664934241974,0.6278210231860433,0.005938318909069781,1.5928106308470469,8.661977487370246,1.0,0,0.17493262549970806,0.007897990253404078,1.0,0,5.0,0,3.6086317749028702,3.626674143060357,0.7722222222222223
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100011_T221s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:41:45 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.010627082984011937,0.0028878366496242376,0.5416444970529016,0.005154930089062376,1.8462294095869518,7.0230334587009455,1.0,0,0.13882041760264183,0.006214989440728182,1.0,0,5.0,0,4.676919794506343,2.4925574843039193,0.7222222222222222
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100012_T242s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:41:45 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.011133446181572193,0.0032651167149844603,0.7149370308330132,0.00552903818895958,1.398724582547982,10.483322214670197,1.0,0,0.18543971735295114,0.006868840454001728,1.0,0,5.0,0,3.097672418489996,4.613519413022464,0.7777777777777778
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100013_T264s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:41:45 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.009743197109804425,0.0028137453740342544,0.6713626298595166,0.004756079110757053,1.4895079879695585,9.412815289055624,1.0,0,0.18741242720193307,0.006362226101945295,1.0,0,5.0,0,3.318820327187341,4.046762851194597,0.7111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100014_T286s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:41:45 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.00923255645988097,0.002735776047660519,0.45789317341702307,0.004930083945865882,2.183915502687036,5.6318823105075495,1.0,0,0.13213220530566305,0.006669692907725498,1.0,0,5.0,0,5.71523188926868,1.8382172659646296,0.7444444444444445
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100015_T308s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:41:45 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.016340399052221066,0.0032699139617430205,0.7394361501991685,0.005515784927292428,1.3523818111011316,10.560585333081303,1.0,0,0.18962013357328605,0.006783329705161733,1.0,0,5.0,0,2.9060593093846627,4.794738699802372,0.7722222222222223
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100016_T330s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:41:45 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.013232584384371249,0.0032196678266209547,0.5564807196960035,0.005897995944481732,1.797007451662088,7.0313045175832505,1.0,0,0.12156764469742981,0.006004600201620955,1.0,0,5.0,0,4.852434747989733,2.329242591465851,0.8
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100017_T352s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:41:45 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.01104557041992571,0.002662508815839792,0.5620717906606104,0.004717127528128028,1.7791321617914444,7.127071549648675,1.0,0,0.1444343974175185,0.00571729116733501,1.0,0,5.0,0,4.403253506888719,2.6025427384032653,0.7166666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100018_T374s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:41:45 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.015024030824291268,0.003253195203759908,0.7023234507760792,0.005447764983586887,1.4238453790699759,9.784718238675305,1.0,0,0.19786221576160007,0.007377183034315514,1.0,0,5.0,0,3.042606549397927,4.446710732801487,0.7833333333333333
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100019_T395s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:41:45 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.014028275424152747,0.0034695208238682395,0.6882280935020724,0.005985758571073211,1.453006654976064,9.778195730775678,1.0,0,0.16686914228295774,0.006908366076465518,1.0,0,5.0,0,3.3201593810572683,4.134704999191283,0.6888888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100020_T417s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:41:45 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.010987503203533144,0.002849759020026436,0.6860441494115139,0.004842048440774117,1.4576321376077563,9.692180195714448,1.0,0,0.18187935357431317,0.006141476435225235,1.0,0,5.0,0,3.2602824786874076,4.217006114412289,0.8444444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100021_T439s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:41:45 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.007665199344750517,0.0032307766206852075,0.6699038324532649,0.005492804292451008,1.492751573517478,9.185157469223999,1.0,0,0.18123062873948012,0.007108076711386105,1.0,0,5.0,0,3.442968879054301,3.8476512614906437,0.6833333333333333
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100022_T461s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:41:45 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.015828917177919788,0.003180892721071262,0.6140925704636677,0.005653099862448598,1.6284189845269659,8.14105103863497,1.0,0,0.14207196293069912,0.006162008066296915,1.0,0,5.0,0,3.9317552964129123,3.1543748866002836,0.7777777777777778
