name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10001_T0s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:20:26 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.017103,0.004389402082839107,0.973232,0.006806797116141965,1.0275042333174413,15.019889456,1.0,0,0.321277,0.01103913910553933,1.0,0,5.0,0,1.79126999892476,8.615890314642693,0.7555555555555555
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10002_T24s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:20:26 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.013264683510550324,0.004273197643038506,0.9191391060213189,0.006846275963419008,1.0879745986749536,14.377846831771755,1.0,0,0.25931517748893135,0.00940800446668484,1.0,0,5.0,0,2.0676141355231055,7.565784623679246,0.7
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10003_T46s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:20:26 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.014972102429763101,0.004406955003576716,0.8878150174173389,0.0071212003583274825,1.1263607625257435,13.918794404768377,1.0,0,0.24566424318330393,0.009574690666391591,1.0,0,5.0,0,2.197002095528033,7.136076874983831,0.7388888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10004_T68s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:20:26 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.010005258419590879,0.003790301271601272,0.8706131232134503,0.006070490706630961,1.1486158126229251,13.975171183195213,1.0,0,0.25988366933408275,0.008827197821716561,1.0,0,5.0,0,2.217511935426287,7.238970704664756,0.7111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10005_T90s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:20:26 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.012806398160787325,0.0037175636727142802,0.8019152629159005,0.006010313482753979,1.2470145490981548,12.692828177920875,1.0,0,0.244893613102229,0.008916913297490855,1.0,0,5.0,0,2.445532085963085,6.472430777391342,0.7166666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10006_T112s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:20:26 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.011804559303051354,0.003536194555581791,0.8683717930220324,0.005698374784576025,1.1515804728293701,13.66720547603385,1.0,0,0.24997853743149218,0.007976905778741213,1.0,0,5.0,0,2.25637307896109,6.975477855497348,0.7611111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10007_T134s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:20:26 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.013579563605596645,0.0031150435545328043,0.8894631870029267,0.00507991899047288,1.1242736232508177,14.051330165796772,1.0,0,0.23208148170531487,0.006423132653299029,1.0,0,5.0,0,2.2487714080301884,7.0251403894144975,0.7777777777777778
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10008_T155s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:20:26 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.015536333556033233,0.0036617176179171347,0.863338419933709,0.005932070925680867,1.158294333845104,13.463071988130245,1.0,0,0.2418037433314679,0.008066762812460625,1.0,0,5.0,0,2.267874941445322,6.876300619472496,0.8333333333333334
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10009_T177s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:20:26 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.03508815884487004,0.009500416302920806,3.083135254541602,0.012952894453814796,0.32434516083164155,50.216147287218895,1.0,0,0.8633621293469844,0.018193413149920703,1.0,0,5.0,0,0.4189929877257299,38.873613783557126,0.8444444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100010_T199s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:20:26 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.016358506217838298,0.004492684413301606,0.979090876469671,0.007004089142408918,1.021355651485306,15.144992245038358,1.0,0,0.3099493431425158,0.010878951111275494,1.0,0,5.0,0,1.8400474744125521,8.40674513884517,0.7888888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100011_T221s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:20:27 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.017105573136754426,0.0037354092457486947,0.9011544489357999,0.005934720340076587,1.109687691361819,13.872777106419726,1.0,0,0.2736511858212294,0.008798270763164816,1.0,0,5.0,0,2.0761179509032854,7.4152024282501525,0.75
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100012_T242s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:20:27 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.017114195159563028,0.004103455239357472,0.9448848045549085,0.006481544661592759,1.058330068574924,14.811384682470266,1.0,0,0.28423752458709456,0.009533677326178677,1.0,0,5.0,0,1.9382163361354263,8.087706922686193,0.8
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100013_T264s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:20:27 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.01843490442272877,0.004417654643610877,1.001763923965428,0.006880481550829199,0.9982391819836699,15.47121419129246,1.0,0,0.3119660305004871,0.010515522719283877,1.0,0,5.0,0,1.7968859373200752,8.595068838876136,0.7277777777777777
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100014_T286s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:20:27 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.012153469029394959,0.003958099733795218,0.8537908057360801,0.006373184515912736,1.1712470938801787,12.941383553558298,1.0,0,0.2512219972968993,0.009121323062019827,1.0,0,5.0,0,2.287839240110206,6.62543791518028,0.7
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100015_T308s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:20:27 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.010930810388469991,0.004374663191079905,0.9991641791290421,0.006880733196107442,1.0008365200518763,15.23421861876814,1.0,0,0.2922365476940428,0.009851625613871621,1.0,0,5.0,0,1.8258502373307164,8.350818286748977,0.7611111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100016_T330s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:20:27 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.01542856211698318,0.0041103915427919005,0.9075995220109134,0.00668136679535061,1.1018075436888293,13.617441880799873,1.0,0,0.23677589901495374,0.00845498396531254,1.0,0,5.0,0,2.1847460421020113,6.86769767469747,0.8277777777777777
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100017_T352s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:20:27 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.01290340851661731,0.0043990969060652705,0.9359051264748862,0.007081238394225938,1.0684843705969738,13.956727901363278,1.0,0,0.2516873892576911,0.0092631591482865,1.0,0,5.0,0,2.055137764044943,7.2564081735977695,0.7055555555555556
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100018_T374s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:20:27 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.01474642676665261,0.005320633502091706,1.0014838393765872,0.008080632465973351,0.998518359140462,15.028216717449439,1.0,0,0.3710688269447047,0.014781146612136645,1.0,0,5.0,0,1.6946484423046313,8.855125995337875,0.7055555555555556
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100019_T395s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:20:27 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.011328779561581737,0.005278183156044786,0.9749060378164143,0.008382870414456444,1.0257398777012305,15.055934266900886,1.0,0,0.2742703013613058,0.011514781554874735,1.0,0,5.0,0,1.9415119646956713,7.9545522099280515,0.6333333333333333
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100020_T417s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:20:27 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.009110494219190413,0.003669733275862602,0.948277514318897,0.005727778173677569,1.0545436171374927,14.360484423552233,1.0,0,0.30754095451350444,0.00911156262239432,1.0,0,5.0,0,1.9108617381899546,7.925291248194076,0.7833333333333333
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100021_T439s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:20:27 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.014308967261372874,0.004661208297636783,0.9157210414412874,0.007509008942268847,1.0920356252009484,13.56685664152439,1.0,0,0.25045209019291087,0.009987775834444343,1.0,0,5.0,0,2.1109120028975816,7.018701475595364,0.7388888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100022_T461s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:20:27 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.018276456186844037,0.004285873699121174,0.8839312830668273,0.006933484981160454,1.1313096607809474,13.186792647910098,1.0,0,0.2439309115795694,0.009293701251527375,1.0,0,5.0,0,2.206321910612889,6.76180517092973,0.8166666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100023_T483s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:20:27 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.01311571009958934,0.004132988834645775,0.8672202385140745,0.006678066916842183,1.1531096203583013,13.22993279112406,1.0,0,0.2457627262746134,0.00919599093087911,1.0,0,5.0,0,2.2709354232225794,6.717911940519067,0.6944444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100024_T505s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:20:27 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.012286877527736495,0.004385900370681858,0.8263566471417628,0.007153896379364165,1.2101312471544121,12.342832116321043,1.0,0,0.2317671279866562,0.009722787599793722,1.0,0,5.0,0,2.400514156258674,6.222342085580293,0.7611111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100025_T527s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:20:27 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.012438278092483546,0.004084857150346453,0.9482077694440942,0.00648375062304934,1.0546211834841535,14.82909901584837,1.0,0,0.27534622308951084,0.009194083714228139,1.0,0,5.0,0,1.9691844012262218,7.942106869591924,0.7333333333333333
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100026_T549s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:20:27 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.014404527700684566,0.004240178701565591,0.8610795191870394,0.006850431478227672,1.1613329288613412,13.500464455157367,1.0,0,0.24597204921678512,0.00950863318134866,1.0,0,5.0,0,2.2538480243024765,6.9565142593393325,0.6777777777777778
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100027_T571s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:20:27 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.012386763031938308,0.003714321571093016,0.8316011552807764,0.006032019951227127,1.202499531956959,13.192140832971786,1.0,0,0.23815102019318024,0.008381121095339955,1.0,0,5.0,0,2.359780728868444,6.722632997808952,0.7555555555555555
