name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10001_T0s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:22:24 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.004573,None,1.024443,None,0.9761402049699203,15.810228818999999,0.334015,None,0.665985,None,0.055169,None,0.64741,None,1.0,None,1.0,None,5.0,None,5.0,None,1.79126999892476,8.615890314642693,0.7555555555555555
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10002_T24s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:22:24 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.0036453469136856764,None,0.9859927801250296,None,1.0142062093732513,15.423620948124112,0.24744129816877725,None,0.7525587018312228,None,0.020214086082092585,None,0.43045960879647704,None,1.0,None,1.0,None,5.0,None,5.0,None,2.0676141355231055,7.565784623679246,0.7
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10003_T46s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:22:25 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.006313135131318814,None,0.9774366706403452,None,1.0230841854387076,15.323845390564093,0.22531068506981206,None,0.7746893149301879,None,0.009529909488728028,None,0.3770962599388077,None,1.0,None,1.0,None,5.0,None,5.0,None,2.197002095528033,7.136076874983831,0.7388888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10004_T68s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:22:25 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.000888862505624588,None,0.9403428415785624,None,1.0634419232896914,15.094479777018828,0.2399955543280725,None,0.7600044456719275,None,0.016646670157939965,None,0.4235899029841414,None,1.0,None,1.0,None,5.0,None,5.0,None,2.217511935426287,7.238970704664756,0.7111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10005_T90s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:22:25 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.003787428032582474,None,0.8631176500369478,None,1.1585906046031993,13.661548215723073,0.25841606695784103,None,0.741583933042159,None,0.01945289302437486,None,0.42010240962133627,None,1.0,None,1.0,None,5.0,None,5.0,None,2.445532085963085,6.472430777391342,0.7166666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10006_T112s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:22:25 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.0032190499155260177,None,0.9189729542779597,None,1.088171306179194,14.463611432293572,0.2576157661103724,None,0.7423842338896276,None,0.027852679803850047,None,0.41994614904745303,None,1.0,None,1.0,None,5.0,None,5.0,None,2.25637307896109,6.975477855497348,0.7611111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10007_T134s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:22:25 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.006260652700335934,None,0.9454337738411308,None,1.0577155456771723,14.93552774331205,0.21323153724839522,None,0.7867684627516047,None,0.01775695371214344,None,0.35059422046278566,None,1.0,None,1.0,None,5.0,None,5.0,None,2.2487714080301884,7.0251403894144975,0.7777777777777778
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10008_T155s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:22:25 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.005771911216011505,None,0.9204722015104407,None,1.0863989139042536,14.354027604794116,0.28137168542417734,None,0.7186283145758227,None,0.026589504611613933,None,0.4343733866723063,None,1.0,None,1.0,None,5.0,None,5.0,None,2.267874941445322,6.876300619472496,0.8333333333333334
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10009_T177s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:22:25 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.028838128687884046,None,3.1475808109619963,None,0.3177043132672961,51.265795546550436,0.04437670080876405,None,0.9556232991912359,None,0.014347999285429552,None,0.9275792048719592,None,1.0,None,1.0,None,5.0,None,5.0,None,0.4189929877257299,38.873613783557126,0.8444444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100010_T199s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Jun 13 13:22:25 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.00632558895732982,None,1.0497774796639865,None,0.9525828276675175,16.23840255345233,0.22371273977656814,None,0.7762872602234319,None,0.01953103664859154,None,0.4906898295831625,None,1.0,None,1.0,None,5.0,None,5.0,None,1.8400474744125521,8.40674513884517,0.7888888888888889
