name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),T1,stdev(T1),tauT1,stdev(tauT1),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:22:20 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.001233,0.003114755353529556,0.827579,0.006153130649595753,1.2083438559944126,12.02685701926172,1.0,0,0.330886,0.020306967367501306,1.0,0,6.0,0,0.159685,0.02103508316341416,0.04,0,2.470193894840805,5.665931701952269,0.8
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:22:20 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.001342313441626164,0.0028252347271932304,0.8653915871761867,0.005541801547909103,1.1555462461370198,12.908895347364398,1.0,0,0.34581832067612517,0.01931719145567528,1.0,0,6.0,0,0.20994908961730063,0.01760634868622266,0.04,0,2.483951140917132,5.829976505217548,0.7
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:22:20 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0011143333490866159,0.0030268310472363444,0.8965059136302848,0.005878955176049624,1.1154416103633151,13.629734481174447,1.0,0,0.382124494795125,0.02124876945077934,1.0,0,6.0,0,0.21635356242549753,0.016941654842125658,0.04,0,2.3367829974247645,6.356865020169877,0.7388888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10004_T68s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:22:20 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.001224718425324789,0.0026157165202028423,0.8589482356631066,0.005073177842508204,1.1642145108174087,13.407584319245629,1.0,0,0.38609081663073036,0.019514329499058347,1.0,0,6.0,0,0.2250781579673511,0.015160500235636124,0.04,0,2.448934779035381,6.261885883012134,0.7944444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10005_T90s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:22:20 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.001042015628883064,0.0029881650726159637,0.8045406390428887,0.005817495074756256,1.2429452925953335,12.375829540090407,1.0,0,0.37319744770650953,0.023027820229472664,1.0,0,6.0,0,0.21476831387579054,0.018954560539397383,0.04,0,2.6319723161596613,5.724501702485374,0.7277777777777777
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10006_T112s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:22:20 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0006616098613999588,0.002986894323830901,0.8581915993863672,0.005873512167400448,1.1652409563494097,13.113941012775133,1.0,0,0.3435291861309765,0.01960518598450259,1.0,0,6.0,0,0.17725621268188663,0.018906549583811317,0.04,0,2.4476927538965936,6.124512276084984,0.7166666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10007_T134s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:22:20 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0007512348766538501,0.00221116692291875,0.8740828246639843,0.004424326778810829,1.1440563431553765,13.319687838648845,1.0,0,0.2908441894743291,0.012773472985420482,1.0,0,6.0,0,0.15746361781232565,0.015591650745310562,0.04,0,2.4762984591902875,6.006491456921967,0.75
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10008_T155s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:22:20 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.00020468343374047127,0.002799815414041104,0.8285960260095512,0.00550712570848345,1.206860724176914,12.135032197721054,1.0,0,0.3339365201433368,0.01990556305558439,1.0,0,6.0,0,0.2191677230125033,0.018694441759939714,0.04,0,2.647720932596955,5.253743923665812,0.7722222222222223
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:22:20 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-6.110494990130277e-05,0.001601986120901311,0.8047145254922448,0.0031718657617665893,1.2426767112079888,12.148138793943511,1.0,0,0.3223228024176425,0.010680655561069327,1.0,0,6.0,0,0.1653232203454036,0.011339977469229866,0.04,0,2.6160910813765463,5.6174466883167264,0.7222222222222222
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:22:20 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.004435413440088354,0.0030772743011688803,0.8705035372100687,0.005962305282747454,1.1487604096417146,12.505124303252591,1.0,0,0.3908849349806927,0.02270706985606291,1.0,0,6.0,0,0.222058168755479,0.017452091345933684,0.04,0,2.419656196691142,5.627171829290668,0.6388888888888888
