name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),T1,stdev(T1),tauT1,stdev(tauT1),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:03:48 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.002942,0.003218593677435067,0.247002,0.0058492212720289306,4.048550214168307,2.50625099196572,1.0,0,0.62149,0.20432468624279054,1.0,0,6.0,0,0.55886,0.04590899311820955,0.04,0,14.072898341513685,0.47117851295693364,0.7055555555555556
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:03:48 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.004096453735695338,0.004042210040271144,0.27380651700676006,0.007320422358875092,3.6522140193445827,2.7946842533871052,1.0,0,0.5914308449049525,0.260284908016813,1.0,0,6.0,0,0.6127101396632417,0.05404687071817114,0.04,0,13.98438694526993,0.4628212578409781,0.7444444444444445
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:03:48 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.00626269035896676,0.005076930269689629,0.2671881072897556,0.009024880946105958,3.7426815517486225,2.740916034568864,1.0,0,0.7714664466650248,0.3981467304205323,1.0,0,6.0,0,0.6186113532122839,0.058299491624249945,0.04,0,13.56421897172394,0.4740968763211593,0.7888888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10004_T68s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:03:48 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0035838647700641157,0.0033965794501510595,0.37046444911163356,0.006384720437176159,2.6993143401424353,4.335837198262802,1.0,0,0.3803129838574071,0.1088059250362047,1.0,0,6.0,0,0.5488073515839687,0.04718349431319734,0.04,0,9.498239255222975,0.925640969942947,0.7111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10005_T90s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:03:48 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.005238028146360985,0.0033696271408178375,0.33267911025138747,0.006636792375387897,3.005899586674843,3.8731233975451422,1.0,0,0.2755125390561871,0.07199726185293645,1.0,0,6.0,0,0.3807797700305926,0.06668133786730697,0.04,0,9.213450705070768,0.956309541381944,0.7111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10006_T112s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:03:48 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.003693112152922673,0.003747588221526332,0.26505804590419063,0.0066475589953118586,3.7727585163042576,2.748067307563091,1.0,0,0.7928643424674072,0.30260088161050996,1.0,0,6.0,0,0.6200283684607566,0.04264276971404224,0.04,0,13.899406054644832,0.47298374035794905,0.7166666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10007_T134s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:03:48 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.004578418500199022,0.00293197589100568,0.2545035854432742,0.005270892200728123,3.9292177289301407,2.5839505181675735,1.0,0,0.7173269656754075,0.19821797158268603,1.0,0,6.0,0,0.5615639677316597,0.037033774058579674,0.04,0,13.23541985111589,0.4636402888580932,0.7555555555555555
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10008_T155s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:03:48 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.003016829649718056,0.004286622256436732,0.2506335869076368,0.007872966434110137,3.989888236202432,2.546215732451753,1.0,0,0.5186975282238547,0.25251951187945076,1.0,0,6.0,0,0.5745848796585573,0.0685854681465341,0.04,0,14.973902766036687,0.42693332098161874,0.6777777777777778
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:03:48 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.004574634482789386,0.003857884396546556,0.23410453822607644,0.0071313575227036465,4.2715959612636505,2.401126162529806,1.0,0,0.5632425376752136,0.19334289268924332,1.0,0,6.0,0,0.45555108604106165,0.06219938472264851,0.04,0,12.867010531255488,0.48317488053024055,0.7111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:03:48 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.002380115368235569,0.005613514368531995,0.27162412071662445,0.009461120014118049,3.6815581670792175,2.713670834602094,1.0,0,1.456538240583668,0.7910539730863836,1.0,0,6.0,0,0.6763883985786978,0.04477516107918333,0.04,0,13.77396048269931,0.459947007939099,0.7111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100011_T221s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:03:48 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0038764689908772354,0.004106835203622205,0.26956171464776657,0.00724402411216827,3.709725623709915,2.70984695576622,1.0,0,0.8431117551902192,0.3494972772328321,1.0,0,6.0,0,0.6305705662555394,0.0442545425253242,0.04,0,13.638533385370314,0.4691677461348594,0.7111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100012_T242s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:03:48 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.003684620183921239,0.004529763099365645,0.2691292712811881,0.008395892084477835,3.715686499798059,2.7671437344674423,1.0,0,0.484959947258829,0.2199461112385505,1.0,0,6.0,0,0.5410071524261095,0.07071044572625523,0.04,0,12.870924221411533,0.5153318709448573,0.7555555555555555
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100013_T264s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:03:49 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0074794619216894676,0.0039164765074141215,0.21463956951952798,0.007786340752310132,4.658973190444363,2.168965663897667,1.0,0,0.2680450986225184,0.114772354821028,1.0,0,6.0,0,0.32107100268191635,0.12161337210219027,0.04,0,14.380867933371553,0.4527935292683387,0.7444444444444445
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100014_T286s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:03:49 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.003702197897400561,0.004235545518976671,0.24755471552363764,0.007894785348544184,4.039511014301465,2.505142571753579,1.0,0,0.46908184729719427,0.2063321488066185,1.0,0,6.0,0,0.5149910437823313,0.073508566840346,0.04,0,13.872526868922696,0.47444446804545487,0.7
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100015_T308s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:03:49 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.005922754509799288,0.0035362433780455624,0.2407029916946638,0.006745734427622644,4.154497594564668,2.3773943848152173,1.0,0,0.3961505996877981,0.13230330614052893,1.0,0,6.0,0,0.4194795415379815,0.07133836528887963,0.04,0,12.7173025896252,0.4908503479552872,0.7111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100016_T330s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:03:49 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0035803286446611793,0.0039135931723408264,0.27618430185592185,0.0069152121602291524,3.6207705987636976,2.7433676416186192,1.0,0,0.8224139153350175,0.32011635429902624,1.0,0,6.0,0,0.630675426380567,0.04177622227794346,0.04,0,13.684251538843906,0.466085290380832,0.7388888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100017_T352s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:03:49 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.006499836254007296,0.004336639477954415,0.3336194743024349,0.008494314928452571,2.9974269400516875,3.5695189158416607,1.0,0,0.2814565622440687,0.0988254959074445,1.0,0,6.0,0,0.41014063539801526,0.08458535878553719,0.04,0,9.346560924485813,0.857187290263086,0.7333333333333333
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100018_T374s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:03:49 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.00611021490936281,0.0031547576182519082,0.3063750433182936,0.006277825253874356,3.263973426716412,3.246706689732437,1.0,0,0.25598650402463363,0.0662887752068377,1.0,0,6.0,0,0.3432983929562705,0.0720020298466426,0.04,0,9.743460115962401,0.8096407851788825,0.7277777777777777
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100019_T395s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:03:49 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0014997384174755268,0.004275942260726061,0.25779674831843863,0.007870699681052367,3.8790248772446447,2.5753496344112996,1.0,0,0.5187696606363993,0.23465989372766233,1.0,0,6.0,0,0.558241160377615,0.0663414122825244,0.04,0,14.574907244703802,0.43201456703652463,0.6388888888888888
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100020_T417s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:03:49 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.003789144355059726,0.003483672426216207,0.2620692076373107,0.0062586352188945295,3.8157859483588963,2.6293390814426982,1.0,0,0.6626975865546875,0.25344590862126515,1.0,0,6.0,0,0.6175379174461759,0.04501025881509652,0.04,0,14.318836285855108,0.4523838091236208,0.8111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100021_T439s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:03:49 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0045682305810582635,0.005027661253972428,0.23030846322829637,0.010293298077355531,4.342002833863455,2.3089356652349378,1.0,0,0.21385056777986872,0.10727521246467114,1.0,0,6.0,0,0.22286461452886153,0.17654318728624943,0.04,0,13.3568701250566,0.49805904227090525,0.6555555555555556
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100022_T461s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:03:49 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0027828532865953326,0.005452276032102374,0.2902266063107582,0.00978227474813639,3.4455834794459084,2.9262479799840166,1.0,0,0.623844480603699,0.38270350717014107,1.0,0,6.0,0,0.6502530573617715,0.06663971721444928,0.04,0,13.94231027738886,0.48531823992505196,0.6666666666666666
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100023_T483s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:03:49 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0024477964844193956,0.004048645295889461,0.26843859224310596,0.007451967238832721,3.7252467748540803,2.758816623007557,1.0,0,0.49843559984331215,0.2197499513147957,1.0,0,6.0,0,0.5774109950985595,0.06238929508227172,0.04,0,13.971322844157301,0.48553088628927127,0.6722222222222223
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100024_T505s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:03:49 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.004961558276116662,0.004446843278395419,0.2407860953415441,0.00829945135969765,4.1530637331094455,2.4213763557713164,1.0,0,0.4358341385505564,0.22914580179944924,1.0,0,6.0,0,0.5417327469944833,0.08435547703157699,0.04,0,15.414409950245695,0.4225162353866751,0.7222222222222222
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100025_T527s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:03:49 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0023916838462418877,0.004543625025039817,0.2378674809866643,0.008040100916237223,4.204021482264167,2.431302190369704,1.0,0,0.8673118254317568,0.3840558672018633,1.0,0,6.0,0,0.5754592632248312,0.05480060923355936,0.04,0,13.888226185966593,0.4652382898705873,0.6722222222222223
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100026_T549s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:03:49 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0024573962247953496,0.0034371136764832964,0.2894725958060895,0.0060873732156903745,3.45455844348691,3.0326204219470645,1.0,0,0.8278459613978234,0.25014540914864336,1.0,0,6.0,0,0.6046111023519929,0.03489834678272984,0.04,0,12.023395993424774,0.5604514104253534,0.6833333333333333
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100027_T571s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:03:49 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0031826484638748376,0.004084405318892685,0.2590378809272284,0.007425767794108745,3.86043923931315,2.7135113367041677,1.0,0,0.6292609934070479,0.24210908735200293,1.0,0,6.0,0,0.5476258931989553,0.05516363309109356,0.04,0,13.096649433659449,0.5004632377593566,0.6833333333333333
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100028_T592s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:03:49 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0008472211417756004,0.0039057051532762916,0.25097208526504833,0.006908376069822992,3.984506878300482,2.567711122409262,1.0,0,0.8561296456479601,0.3234950637229052,1.0,0,6.0,0,0.5915941235301037,0.044894954380730275,0.04,0,14.09733623431192,0.4757962119105621,0.6611111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100029_T614s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:03:49 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.004737171741761248,0.003561461596849685,0.2517498550992816,0.006550164248418949,3.9721969238299417,2.5768373771217354,1.0,0,0.5245635095763141,0.20180777005680686,1.0,0,6.0,0,0.5592140291402758,0.05615549716968825,0.04,0,13.938282917150687,0.47780989439645294,0.7444444444444445
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100030_T636s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:03:49 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0041093620395665775,0.004144880688669505,0.2473354210267884,0.007702924662189993,4.043092557663595,2.5151628833324438,1.0,0,0.4756900552259351,0.2112271709796185,1.0,0,6.0,0,0.5303433878526276,0.07131522659375474,0.04,0,14.145413594996992,0.45509328998960313,0.7277777777777777
