name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),T1,stdev(T1),tauT1,stdev(tauT1),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 15:54:35 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.011691,0.003534097779371061,0.511092,0.007122135845655255,1.95659489876578,6.291624677303263,1.0,0,0.251684,0.0371025351820979,1.0,0,6.0,0,0.241336,0.04827694775277643,0.04,0,4.794616237130323,2.1404256735923886,0.8
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 15:54:35 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0032938197069423136,0.002644664134160991,0.5174534881273112,0.005337083403954564,1.9325408426930266,6.378703525470459,1.0,0,0.24315233069887365,0.027779051471307256,1.0,0,6.0,0,0.2575049704101606,0.03689525543160671,0.04,0,5.0021101246286905,2.019119364903042,0.6888888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 15:54:35 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.012398102937908329,0.0033786426708452993,0.5512720978304986,0.006715851688492816,1.8139862400717282,7.006439273651617,1.0,0,0.2776488058921609,0.03744626180910992,1.0,0,6.0,0,0.29636335297239524,0.039482873169340155,0.04,0,4.594530198624583,2.303576582715432,0.8722222222222222
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10004_T68s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 15:54:35 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.005742267625325814,0.0031264690940519414,0.5391296196946507,0.006227024740854653,1.854841513931983,7.066656327841719,1.0,0,0.26646622154022764,0.035649729897201714,1.0,0,6.0,0,0.3094740085990977,0.03880609981260382,0.04,0,4.96641914450645,2.2177802077256477,0.8166666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10005_T90s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 15:54:35 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.005199229822570706,0.002785439214316389,0.5501910329353098,0.005535365148540495,1.8175505236152725,7.25541405827834,1.0,0,0.2908180024286631,0.029440221497941812,1.0,0,6.0,0,0.2538297818602264,0.03123325282518877,0.04,0,4.465487274973622,2.514763010545825,0.6888888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10006_T112s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 15:54:35 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.009206858621586989,0.003118765925694366,0.5707634603097739,0.006251367257419519,1.7520392764057882,7.381637325533983,1.0,0,0.2574871049190876,0.03130924849230854,1.0,0,6.0,0,0.27619645182741515,0.037537784227337105,0.04,0,4.514563507173016,2.4172809741841603,0.7666666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10007_T134s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 15:54:35 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.004928552369418027,0.0031168776169980374,0.5690851094403693,0.006308567029774435,1.7572064062322534,7.346075977587103,1.0,0,0.24426322571437256,0.028214871699499443,1.0,0,6.0,0,0.22277309735491135,0.03917343695402574,0.04,0,4.45555698475443,2.4354113011384997,0.7388888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10008_T155s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 15:54:35 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.008405879416234607,0.003343534761467955,0.5310830893099191,0.006700104854809537,1.8829445337816801,6.646410944385614,1.0,0,0.2605739358228427,0.035810283178370116,1.0,0,6.0,0,0.26897026465361185,0.042759143079384755,0.04,0,4.827885557349696,2.129578919096841,0.8444444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 15:54:35 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.01052271281559114,0.0029599644153023505,0.44182016049599704,0.006248291899160031,2.263364349144634,5.208539188612258,1.0,0,0.177136266433056,0.025430230578766366,1.0,0,6.0,0,0.0887008538125178,0.06366159564585153,0.04,0,5.611388985010791,1.6032972902767455,0.8111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 15:54:35 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0076656091726508,0.0036662142459395813,0.5506907800954675,0.007298487976575229,1.815901112102586,6.602102206260902,1.0,0,0.27822882858934184,0.03953928790244603,1.0,0,6.0,0,0.2789121857800225,0.042735841038642475,0.04,0,4.328948350687704,2.243388729204778,0.7833333333333333
