name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2),T1,stdev(T1),tauT1,stdev(tauT1)
dirty,Not known,average_data,average_data,Mon Feb 20 15:34:24 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.001026,None,1.212292,None,0.8248837738762609,0.949827,None,0.050173,None,0.446615,None,13.441256,None,1.0,None,1.0,None,6.0,None,6.0,None,0.198959,None,0.04,None
0cd20,Not known,average_data,average_data,Mon Feb 20 15:34:24 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0017848727394451647,None,0.9736393960455278,None,1.0270742988230928,0.9999999999770077,None,2.2992274750777142e-11,None,0.32590718920554906,None,792.834086152084,None,1.0,None,1.0,None,6.0,None,6.0,None,0.2041561034196726,None,0.04,None
19e3e,Not known,average_data,average_data,Mon Feb 20 15:34:24 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0028485528365154167,None,0.4614021201380023,None,2.167306902926468,0.951581928515548,None,0.048418071484451985,None,0.20105955483399682,None,78.29077304946298,None,1.0,None,1.0,None,6.0,None,6.0,None,0.26365631707570003,None,0.04,None
34a6d,Not known,average_data,average_data,Mon Feb 20 15:34:24 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0033948132814589638,None,0.5687165596582114,None,1.758345142263806,0.603888758041629,None,0.396111241958371,None,0.0001000000002220446,None,1.294552328109926,None,1.0,None,1.0,None,6.0,None,6.0,None,0.6626102183062144,None,0.04,None
484af,Not known,average_data,average_data,Mon Feb 20 15:34:25 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0032748062213495688,None,0.4929657547143361,None,2.0285384744006816,0.9468685620846868,None,0.05313143791531316,None,0.20102148642592035,None,63.57399918779652,None,1.0,None,1.0,None,6.0,None,6.0,None,0.24689556695184356,None,0.04,None
714af,Not known,average_data,average_data,Mon Feb 20 15:34:25 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0014475677537739706,None,0.45832993775947334,None,2.1818343459920118,0.8216900816435244,None,0.17830991835647558,None,0.1339932671196369,None,3.6087906366086404,None,1.0,None,1.0,None,6.0,None,6.0,None,0.22812977550690228,None,0.04,None
34766,Not known,average_data,average_data,Mon Feb 20 15:34:25 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.002276919971262781,None,0.25308417407499895,None,3.9512545723371075,0.8234222274319906,None,0.17657777256800944,None,0.0428502194020337,None,7.77620209385535,None,1.0,None,1.0,None,6.0,None,6.0,None,0.0,None,0.04,None
c1204,Not known,average_data,average_data,Mon Feb 20 15:34:25 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0026765115951492557,None,0.443113726147444,None,2.2567569925993554,0.3534744080885095,None,0.6465255919114905,None,6.856642747760986,None,0.00010000000166533446,None,1.0,None,1.0,None,6.0,None,6.0,None,0.7798832646123133,None,0.04,None
fe81d,Not known,average_data,average_data,Mon Feb 20 15:34:25 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0036995150081201578,None,0.5912275859431213,None,1.6913960440543523,0.9643475646314001,None,0.035652435368599855,None,0.21907860113038186,None,133.86775404482051,None,1.0,None,1.0,None,6.0,None,6.0,None,0.22420067230843888,None,0.04,None
ff67b,Not known,average_data,average_data,Mon Feb 20 15:34:25 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0008697386624967329,None,0.6575191949449513,None,1.5208681475583719,0.9604402752634729,None,0.039559724736527135,None,0.24402879377912812,None,31.229511392557608,None,1.0,None,1.0,None,6.0,None,6.0,None,0.2500243645647826,None,0.04,None
