name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),T1,stdev(T1),tauT1,stdev(tauT1),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:07:03 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.002767,0.006295565857074178,0.170775,0.009696075277494158,5.855658029571073,1.590113638088012,1.0,0,4.004997,3.9554149154925287,1.0,0,6.0,0,0.749295,0.05353095342080947,0.04,0,39.8121832082871,0.13872296793978633,0.6777777777777778
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:07:03 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.001959976341530556,0.005793093717112277,0.17373408024946022,0.00898945254178628,5.755923066816402,1.6160754188116777,1.0,0,3.6086370946984707,3.71885089164481,1.0,0,6.0,0,0.7772347411251213,0.049975733870007984,0.04,0,43.708349916620804,0.12151556945672051,0.65
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:07:03 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.00031735127308873956,0.004575629245872717,0.1795953945288866,0.006986056248674428,5.568071512207722,1.7032441810043812,1.0,0,4.299878474994501,3.4542169662189575,1.0,0,6.0,0,0.7895719904267295,0.03612240121758056,0.04,0,41.66671028641651,0.13302088837234458,0.7666666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10004_T68s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:07:04 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.001904917451225785,0.004533451503935929,0.2701976884100727,0.007872225832809611,3.7009939125841944,2.8852370343879308,1.0,0,0.8573053248674408,0.5408537622835016,1.0,0,6.0,0,0.7265528358618156,0.04863558547669789,0.04,0,17.537761197672378,0.4093446331727114,0.7888888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10005_T90s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:07:04 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0031026624837409145,0.0029878167341837536,0.2012397356109495,0.005773321484665062,4.969197544232859,2.122681533365637,1.0,0,0.33812272637607377,0.12247023876654202,1.0,0,6.0,0,0.4130839025093813,0.08191996486538984,0.04,0,17.368195680954162,0.40723749337368964,0.6555555555555556
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10006_T112s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:07:04 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0015085452684819867,0.004736105221654672,0.17762127574438172,0.007251700254554244,5.6299561851988935,1.6960561669745091,1.0,0,4.225360396630713,3.2365055320055083,1.0,0,6.0,0,0.7685306279527349,0.038029579069230206,0.04,0,39.18605744028281,0.14204969423228211,0.7
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10007_T134s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:07:04 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0007371340296213891,0.0052841833529071675,0.1789603024135427,0.008290026040471337,5.587831415758301,1.6908775480316949,1.0,0,3.192852331840144,2.9115892687991027,1.0,0,6.0,0,0.7710385171006973,0.046113648508584515,0.04,0,40.493805837848804,0.1344886788041365,0.7277777777777777
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10008_T155s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:07:04 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.002060567973885541,0.004573920068344037,0.15571018547897053,0.007121186760322999,6.4221874562923515,1.4508451586451685,1.0,0,3.5831309545817045,2.6809251911885017,1.0,0,6.0,0,0.7301732221378643,0.04428396897230839,0.04,0,43.65724303516381,0.12166505051426564,0.7
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:07:04 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,7.812433840292954e-06,0.006497713316166909,0.14686994902642309,0.010732044454598235,6.808744788357569,1.3836379073227347,1.0,0,1.933755431669897,1.7739505659331387,1.0,0,6.0,0,0.621276924337999,0.08546934766194968,0.04,0,33.71731261260207,0.14348601570948807,0.7111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:07:04 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0048132484351138816,0.007473636054070732,0.1895814670496348,0.010473998019584263,5.274777200337771,1.736230271017858,1.0,0,10.335757522970102,12.064003456147828,1.0,0,6.0,0,0.8118971713550471,0.04437640997694549,0.04,0,40.25229225036741,0.13122756446836445,0.6555555555555556
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100011_T221s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:07:04 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0019733206236747236,0.0100849930817455,0.1844691782805485,0.014570511592135271,5.420959801095648,1.6853833612125462,1.0,0,7.528318370215521,14.422467273906722,1.0,0,6.0,0,0.83045451460112,0.06652473934154658,0.04,0,48.69530622706959,0.10722964786718654,0.7333333333333333
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100012_T242s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:07:04 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.002784144787017606,0.006628567792088772,0.16138188773407447,0.010459352940451748,6.196482232552657,1.4819682490849215,1.0,0,3.0758630900727786,3.3415843823327274,1.0,0,6.0,0,0.7312958998706987,0.06520672802257738,0.04,0,40.60446500933348,0.12458800801939086,0.6666666666666666
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100013_T264s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:07:04 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0016340586883294428,0.005899797165587708,0.1347644260344079,0.009594659931304693,7.4203558715464055,1.2480710261862855,1.0,0,2.316628327338789,1.9826986399109756,1.0,0,6.0,0,0.6154059173424375,0.0788479365107499,0.04,0,39.15723067173339,0.13759587671951715,0.6666666666666666
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100014_T286s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:07:04 2023,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0046834058609172,0.004848140816686971,0.15304486479771406,0.007360486951913792,6.534031712346198,1.4026216290648783,1.0,0,4.735463053281812,3.551747638588064,1.0,0,6.0,0,0.7264003801410457,0.043753115437652514,0.04,0,45.17663807700722,0.11703165081092658,0.65
