name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2),T1,stdev(T1),tauT1,stdev(tauT1),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:08:05 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.017493,None,0.185362,None,5.394848998176541,1.7259355537008936,0.29028,None,0.70972,None,1999.993067,None,3.371351,None,1.0,None,1.0,None,6.0,None,6.0,None,0.68702,None,0.04,None,39.8121832082871,0.13872296793978633,0.6777777777777778
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:08:05 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.01749299999999998,None,0.185362,None,5.394848998176541,1.7242383955504947,0.29028,None,0.70972,None,1999.993067,None,3.3713509999999585,None,1.0,None,1.0,None,6.0,None,6.0,None,0.6870199999999826,None,0.04,None,43.708349916620804,0.12151556945672051,0.65
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:08:07 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.004288129533798979,None,0.1842038666650505,None,5.428767691496742,1.7469499417775483,0.11806220130862616,None,0.8819377986913739,None,1999.5927594164723,None,4.166668823614894,None,1.0,None,1.0,None,6.0,None,6.0,None,0.7694818048477048,None,0.04,None,41.66671028641651,0.13302088837234458,0.7666666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10004_T68s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:08:07 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.003744287061686946,None,1.8766415482158236,None,0.5328668124984914,20.039237667221837,0.8850685173183779,None,0.11493148268162212,None,0.00010365474177078113,None,0.32568456343475993,None,1.0,None,1.0,None,6.0,None,6.0,None,0.4833297764976763,None,0.04,None,17.537761197672378,0.4093446331727114,0.7888888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10005_T90s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:08:07 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.003542820045291717,None,0.2056226126339934,None,4.863278348573423,2.1689122247923733,0.14752385987617495,None,0.852476140123825,None,9.606994050843289,None,0.07487699686402692,None,1.0,None,1.0,None,6.0,None,6.0,None,1.0815237594385962e-08,None,0.04,None,17.368195680954162,0.40723749337368964,0.6555555555555556
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10006_T112s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:08:07 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.008987895581859973,None,0.18502916978355033,None,5.404553245144069,1.7667920870762601,0.17571576651841198,None,0.8242842334815881,None,1999.996504282887,None,3.862079030585625,None,1.0,None,1.0,None,6.0,None,6.0,None,0.7361673509191369,None,0.04,None,39.18605744028281,0.14204969423228211,0.7
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10007_T134s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:08:08 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.013404770436155289,None,0.1915007702543037,None,5.221911111229729,1.8093641354356267,0.26576433897618257,None,0.7342356610238174,None,1999.9999977082657,None,2.760942221737685,None,1.0,None,1.0,None,6.0,None,6.0,None,0.7178216716415831,None,0.04,None,40.493805837848804,0.1344886788041365,0.7277777777777777
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10008_T155s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:08:08 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.019086571897590554,None,0.1725565108072218,None,5.7952029472662945,1.6078124724292482,0.3256429678624909,None,0.6743570321375091,None,1999.9622232885217,None,2.879972411472662,None,1.0,None,1.0,None,6.0,None,6.0,None,0.6539604279147682,None,0.04,None,43.65724303516381,0.12166505051426564,0.7
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:08:08 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.011922013875966808,None,0.1585042089765823,None,6.308980729639437,1.4932423784714985,0.1990317608839205,None,0.8009682391160795,None,1999.9977124289017,None,1.581792824629704,None,1.0,None,1.0,None,6.0,None,6.0,None,0.5648328550509341,None,0.04,None,33.71731261260207,0.14348601570948807,0.7111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:08:08 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0092322936087883,None,0.19397916071239224,None,5.155192940970982,1.7765053515875415,0.13603509500986677,None,0.8639649049901332,None,1404.8819550026433,None,9.721134530216336,None,1.0,None,1.0,None,6.0,None,6.0,None,0.7931351856208524,None,0.04,None,40.25229225036741,0.13122756446836445,0.6555555555555556
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100011_T221s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:08:08 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0019754315081845775,None,0.18447193175861437,None,5.420878886379974,1.6854085180770202,1.9472008222498616e-07,None,0.9999998052799177,None,1999.6737812271044,None,7.535226765589697,None,1.0,None,1.0,None,6.0,None,6.0,None,0.8304624752487055,None,0.04,None,48.69530622706959,0.10722964786718654,0.7333333333333333
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100012_T242s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:08:08 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0027873759166010537,None,0.16138475854628298,None,6.196372005682392,1.4819946117245077,0.00011805825928351554,None,0.9998819417407165,None,1984.0543655161941,None,3.075038503939777,None,1.0,None,1.0,None,6.0,None,6.0,None,0.7312706169127492,None,0.04,None,40.60446500933348,0.12458800801939086,0.6666666666666666
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100013_T264s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:08:08 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.004751795002515435,None,0.13208892876790762,None,7.5706572028992065,1.2232928950635582,0.18321868917808276,None,0.8167813108219173,None,19.46586363415575,None,0.0764931471222205,None,1.0,None,1.0,None,6.0,None,6.0,None,4.608369241765331e-09,None,0.04,None,39.15723067173339,0.13759587671951715,0.6666666666666666
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100014_T286s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:08:08 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.029862360980872027,None,0.17804806857348168,None,5.6164608131499785,1.631770346064706,0.4249426648025665,None,0.5750573351974335,None,1999.9999320681165,None,3.62389297377809,None,1.0,None,1.0,None,6.0,None,6.0,None,0.6200256696364814,None,0.04,None,45.17663807700722,0.11703165081092658,0.65
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100015_T308s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:08:08 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.010515714338793947,None,0.15069291862611955,None,6.636011891713871,1.3582188929312504,0.17702116905175103,None,0.822978830948249,None,1999.9929575725262,None,2.2928578885836957,None,1.0,None,1.0,None,6.0,None,6.0,None,0.5964025009990159,None,0.04,None,35.281768431810704,0.14370265397181098,0.7111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100016_T330s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:08:09 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0014897446418902227,None,0.18930993503239407,None,5.282342946390444,1.7368445428599237,6.474657260335803e-08,None,0.9999999352534275,None,1998.6127479466156,None,3.6847317509229622,None,1.0,None,1.0,None,6.0,None,6.0,None,0.7634314665415087,None,0.04,None,36.896347788147615,0.14768964998758694,0.7555555555555555
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100017_T352s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:08:09 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.00311528245368653,None,0.26253583767603944,None,3.8090037872618634,2.6079785497932466,0.13731857444029066,None,0.8626814255597093,None,6.55160323827448,None,0.04656040046375419,None,1.0,None,1.0,None,6.0,None,6.0,None,1.27675647831893e-10,None,0.04,None,16.068320645134307,0.42825596955430656,0.6722222222222223
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100018_T374s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:08:09 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.004152739593584864,None,0.2391104201226249,None,4.182168219549621,2.3620618187720126,0.1323026363363214,None,0.8676973636636787,None,8.792692688630094,None,0.05930178341099877,None,1.0,None,1.0,None,6.0,None,6.0,None,3.0895286329268856e-09,None,0.04,None,16.255563391190247,0.4197055136994219,0.6611111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100019_T395s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:08:09 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.024357642258655554,None,0.17459048562525842,None,5.727688976972108,1.6053571680673102,0.36890869139080906,None,0.6310913086091909,None,1999.9920867811768,None,2.5690278819855585,None,1.0,None,1.0,None,6.0,None,6.0,None,0.6340152102826124,None,0.04,None,44.42263953632629,0.11932761355237656,0.6388888888888888
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100020_T417s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Feb 20 16:08:09 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0005871650492176306,None,0.24358872905816759,None,4.105280256054892,2.2418924805452467,0.36999631330226823,None,0.6300036866977318,None,0.0031669920871583808,None,2.9436649315026227,None,1.0,None,1.0,None,6.0,None,6.0,None,0.7440865155169951,None,0.04,None,44.60768522331385,0.11990503414999129,0.7277777777777777
