name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),T1,stdev(T1),tauT1,stdev(tauT1),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:31:52 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.010877,0.0028382465524285317,0.568982,0.005779853436472524,1.7575248426136503,7.322313060560962,1.0,0,0.236263,0.024079247404794057,1.0,0,6.0,0,0.188494,0.03664028302931226,0.04,0,4.167851981094754,2.697188165034874,0.8166666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:31:52 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.006340226482666411,0.0025009496070378494,0.6384877388291936,0.00503660238450625,1.5662007884970788,8.508252885332498,1.0,0,0.25846763918835647,0.020606584706487248,1.0,0,6.0,0,0.22175896301473985,0.026644942510744785,0.04,0,3.6849546579843784,3.219128704980728,0.7944444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:31:52 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.009349207662010084,0.002565573153120948,0.6220312564790462,0.005128348729468845,1.6076362555483352,8.414188069458417,1.0,0,0.27346123871402456,0.023199914543261754,1.0,0,6.0,0,0.24967761933758492,0.026789732544802183,0.04,0,3.912433077658208,3.0949573734173517,0.8388888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10004_T68s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:31:52 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.005327415424472126,0.0027254382379696715,0.6302020720810344,0.005467007472717828,1.586792624622496,8.883970340127025,1.0,0,0.2638512074061832,0.02382309564132837,1.0,0,6.0,0,0.24588019496563085,0.028957549127270447,0.04,0,3.9305172199856426,3.266341848265193,0.7944444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10005_T90s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:31:52 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.006584868347270234,0.0030585227499275156,0.6389338736106871,0.0061858899005592,1.5651071907471232,8.975586297241215,1.0,0,0.25178558483455826,0.024094986625876,1.0,0,6.0,0,0.19964958753870832,0.033261454872076684,0.04,0,3.754293859885054,3.416504533436316,0.8277777777777777
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10006_T112s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:31:52 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.004728,0.002198425958462686,0.639782,0.0044404256267751826,1.5630324079139457,8.804341715530553,1.0,0,0.25074,0.017798667447633306,1.0,0,6.0,0,0.219665,0.024003909015661407,0.04,0,3.828685174126775,3.2588434969138755,0.7944444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10007_T134s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:31:52 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.006410279974623512,0.0023597447637355895,0.6778054685976622,0.004809108502123588,1.4753495602048452,9.496573154756002,1.0,0,0.23781349734972887,0.01643598495447666,1.0,0,6.0,0,0.1715845227607815,0.025372563768983662,0.04,0,3.5006846225982327,3.6623726336568336,0.8
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10008_T155s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:31:52 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.009018759469478388,0.003211735919519225,0.6327571719549759,0.006416103772595854,1.580385089765771,8.525363187713427,1.0,0,0.2726648865849674,0.028962183808490534,1.0,0,6.0,0,0.2594338220014425,0.03307848965337906,0.04,0,3.8717340333939014,3.1060128791975212,0.8166666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:31:52 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.010372410517313524,0.003036263566559001,0.8398382700181989,0.006281689575452107,1.1907054437735143,10.782340530667529,1.0,0,0.22942788981043727,0.013453076871740363,1.0,0,6.0,0,1.9781287718956264e-08,0.016988161521035616,0.04,0,2.1326153971380855,4.932951820939297,0.8444444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:31:52 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.008557907041233381,0.002456148097972029,0.5592300694604914,0.004910956419733694,1.7881728015175127,7.070645953649809,1.0,0,0.266600736680523,0.02531381669219161,1.0,0,6.0,0,0.2713761795099523,0.02923265077234706,0.04,0,4.55279051880687,2.3936006170849007,0.8555555555555555
