name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2),T1,stdev(T1),tauT1,stdev(tauT1),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:37:23 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.000688,None,0.618522,None,1.6167573667549415,8.393685459779306,0.024355,None,0.975645,None,86.715105,None,0.256032,None,1.0,None,1.0,None,6.0,None,6.0,None,0.200498,None,0.04,None,3.861424348636446,3.296404919845273,0.8055555555555556
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:37:23 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.001457134782946845,None,0.6866248972859454,None,1.4563992712072444,9.775471171685242,0.0256213510179511,None,0.974378648982049,None,24.212331220820047,None,0.2587137966085971,None,1.0,None,1.0,None,6.0,None,6.0,None,0.21057018211206868,None,0.04,None,3.4815205202479063,3.917819502627024,0.8222222222222222
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:37:23 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.002550805049273519,None,0.5432450695316055,None,1.840789831488422,7.109115210916875,0.03477832399090369,None,0.9652216760090964,None,32.32290092588301,None,0.2151597685931161,None,1.0,None,1.0,None,6.0,None,6.0,None,0.24611279531122632,None,0.04,None,4.925745331858177,2.3529634565928865,0.7888888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10004_T68s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:37:23 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.00196341439278247,None,0.5898961556273887,None,1.695213624398759,8.255210532840355,0.01652697454484836,None,0.9834730254551516,None,32.597617353327784,None,0.2646547150713792,None,1.0,None,1.0,None,6.0,None,6.0,None,0.27935898019104677,None,0.04,None,4.416871269814136,2.913864696567501,0.8444444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10005_T90s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:37:23 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0020464576164607173,None,0.5811911278450745,None,1.7206043796776014,8.011637133651531,0.031292943308573795,None,0.9687070566914262,None,30.2020226796228,None,0.22417339333922026,None,1.0,None,1.0,None,6.0,None,6.0,None,0.21622091587525372,None,0.04,None,4.420026657844501,2.8487032603026625,0.85
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10006_T112s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:37:23 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.002382396282099797,None,0.5574419668973295,None,1.7939087104724238,7.411013342009966,0.029104717982181838,None,0.9708952820178182,None,165.83076947584883,None,0.2323733918915086,None,1.0,None,1.0,None,6.0,None,6.0,None,0.2434444169036598,None,0.04,None,4.768994474490134,2.4872621878515506,0.7555555555555555
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10007_T134s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:37:24 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0007138479536451525,None,0.5981145435042159,None,1.67192055578724,8.201305895615722,0.022633087352612935,None,0.9773669126473871,None,45.043981834493046,None,0.2053611848923442,None,1.0,None,1.0,None,6.0,None,6.0,None,0.15622920343294489,None,0.04,None,4.205147944864856,2.9885375515830095,0.7888888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10008_T155s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:37:24 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.007243600449705734,None,0.6450385070539649,None,1.5502950429536735,8.909448962868716,0.025616847258085773,None,0.9743831527419142,None,10.13770886310451,None,0.26534843448846523,None,1.0,None,1.0,None,6.0,None,6.0,None,0.24844543891666682,None,0.04,None,3.7777606902512826,3.396126639869693,0.8444444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:37:24 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,4.114545530620184e-05,None,0.780764853923697,None,1.2807953572379023,12.00941019462852,0.03584160594376534,None,0.9641583940562346,None,40.94092959651775,None,0.3054504428260222,None,1.0,None,1.0,None,6.0,None,6.0,None,0.15818605299133814,None,0.04,None,2.708633739210577,5.64422808063061,0.8222222222222222
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:37:24 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0001532412562905705,None,0.6617465439712622,None,1.5111525841885276,9.130044159934979,0.033173717663874114,None,0.9668262823361259,None,43.931965026063715,None,0.27808958003684336,None,1.0,None,1.0,None,6.0,None,6.0,None,0.22254080281725042,None,0.04,None,3.6086317749028702,3.626674143060357,0.7722222222222223
