name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),T1,stdev(T1),tauT1,stdev(tauT1)
1-25,Not known,average_data,average_data,Mon Nov  7 16:15:41 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.004365,0.0012989536930106695,1.048086,0.0024610655622482793,0.9541201771610345,1.0,0,0.500156,0.00885213150359338,1.0,0,6.0,0,0.195963,0.005235717331917653,0.04,0
26-50,Not known,average_data,average_data,Mon Nov  7 16:15:42 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.01694261155274135,0.0024478842595232115,1.1862226673504372,0.004485986711114476,0.8430120478422599,1.0,0,0.7049414935217456,0.01883427686677636,1.0,0,6.0,0,0.2152345501972852,0.00715363302571428,0.04,0
51-75,Not known,average_data,average_data,Mon Nov  7 16:15:42 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.006037152642803134,0.00189851675688321,1.0728438662684308,0.00362226060316694,0.9321020806859841,1.0,0,0.4601375034100065,0.012427352384698557,1.0,0,6.0,0,0.2198941238406027,0.00784072960533174,0.04,0
76-100,Not known,average_data,average_data,Mon Nov  7 16:15:42 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0061550165118777755,0.0018901749158261973,1.2974206951176164,0.0035591907980146637,0.7707600192930065,1.0,0,0.5287649291174583,0.011103097482315671,1.0,0,6.0,0,0.21863810216110613,0.005925957942718889,0.04,0
101-125,Not known,average_data,average_data,Mon Nov  7 16:15:42 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.006791469372031234,0.002338249567860955,1.2989159715459198,0.004436257436126296,0.7698727415060103,1.0,0,0.4871488183855383,0.013161572270386267,1.0,0,6.0,0,0.2245756277746147,0.007688843887291887,0.04,0
126-150,Not known,average_data,average_data,Mon Nov  7 16:15:42 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.010282474715586964,0.0020173100887681374,1.2824639843063368,0.0038097648455218194,0.7797489927492063,1.0,0,0.5120688294846465,0.011800229290222456,1.0,0,6.0,0,0.2214242430498281,0.006519494147771221,0.04,0
151-175,Not known,average_data,average_data,Mon Nov  7 16:15:42 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.01232117298689428,0.0023104017806878908,1.2906623748811676,0.0043382524031630185,0.7747959648177323,1.0,0,0.5443557258162893,0.013918035581023985,1.0,0,6.0,0,0.2200942818106344,0.007154870568564524,0.04,0
176-200,Not known,average_data,average_data,Mon Nov  7 16:15:42 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.00901535554325572,0.0021339069358582074,1.2251779377945544,0.004023921725250068,0.8162079720437199,1.0,0,0.5194094185188338,0.013249773808021186,1.0,0,6.0,0,0.22523004209268338,0.0071517148346080224,0.04,0
201-225,Not known,average_data,average_data,Mon Nov  7 16:15:42 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.007117895757135617,0.0021903089555304865,1.2023718787721565,0.004115811902036685,0.831689444551202,1.0,0,0.5367948881888709,0.014342872179564778,1.0,0,6.0,0,0.23535230645183036,0.007319314037885787,0.04,0
226-250,Not known,average_data,average_data,Mon Nov  7 16:15:42 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.008516461964956923,0.0018418896239121723,1.1430621337943907,0.003523298247015633,0.8748430819595988,1.0,0,0.44806219750917203,0.011124556532661591,1.0,0,6.0,0,0.21877814282200703,0.007263928975102108,0.04,0
