Time (ms),1-25,1-25 fitted model: ,26-50,26-50 fitted model: ,51-75,51-75 fitted model: ,76-100,76-100 fitted model: ,101-125,101-125 fitted model: ,126-150,126-150 fitted model: ,151-175,151-175 fitted model: ,176-200,176-200 fitted model: ,201-225,201-225 fitted model: ,226-250,226-250 fitted model: ,
1e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
4e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
6e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
8e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.4e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.6e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2.6e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3.4e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
4.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
6.6e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
7.4e-05,5.271861056569014, ,5.6207598307599, ,6.2376323397447, ,7.220757128097817, ,7.780549302057511, ,7.338392714111619, ,6.957334862827875, ,6.814990309754028, ,6.7916026854959615, ,6.983648989723147, ,
8.2e-05,2.8412336853177966, ,2.8572125598039126, ,3.3176839122248913, ,4.062657877591149, ,4.290889279377744, ,4.166141704735743, ,3.7085576693143274, ,3.6201264976537213, ,3.7037089953372115, ,3.7877463424835747, ,
9e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
0.000106,2.30652263763495, ,2.377077376043023, ,2.531422818938692, ,3.2070173594757225, ,3.3745216847647925, ,3.143349855796611, ,3.092299508835799, ,2.9051514337021307, ,2.9281246340219274, ,2.9975206826593226, ,
0.000122,4.097596792099516, ,4.318762148465375, ,4.489755287325227, ,5.53256939430765, ,5.719382319655823, ,5.30586099360728, ,5.2919996514728, ,5.068602016945362, ,5.090228370153915, ,4.939869028953192, ,
0.000138,2.2717362412238917, ,2.2982081961497713, ,2.4295430408474776, ,2.8935684904807677, ,2.9860916627002827, ,2.8539271510999034, ,2.7167188722087836, ,2.7404678201827757, ,2.6659553155648097, ,2.632098301103194, ,
0.000154,1.1948383419944306, ,1.2775003606776618, ,1.4258619687056, ,1.6932777523952445, ,1.7159749160704623, ,1.6473582074311912, ,1.5855055217040424, ,1.5031699460932488, ,1.500281011757185, ,1.5041370693585718, ,
0.00017,3.174194330573527, ,3.4218258742320558, ,3.3338145093479064, ,3.99495438989342, ,3.9824700267599247, ,3.9052236331129446, ,3.9236761404158647, ,3.8410948690773155, ,3.6403772171289916, ,3.6617812460775827, ,
0.000186,1.0239150507642, ,1.157030888115633, ,1.1299053931401217, ,1.5036693822797014, ,1.4244086204597477, ,1.391214162904237, ,1.4423627080610086, ,1.2684213654917764, ,1.250901382024833, ,1.2614151507275322, ,
0.000218,1.7724097739686155, ,1.8985500758233242, ,1.8621070961520525, ,2.2178978049013893, ,2.2442368397370864, ,2.2202647232706427, ,2.2136149719481724, ,2.083542145710233, ,2.0731086087810837, ,1.9585830006467395, ,
0.00025,1.3201244314970901, ,1.4534584245358004, ,1.4250576809720326, ,1.660063197802776, ,1.6613997122693902, ,1.6865107375617476, ,1.6688707714695752, ,1.5767507691663005, ,1.5424696186818507, ,1.5312385273554574, ,
0.000282,1.2076349191091333, ,1.3448178798118184, ,1.3019824810359972, ,1.5240009792161333, ,1.5553111512942026, ,1.5310913752534645, ,1.5060306099878875, ,1.4214596138479012, ,1.3919647078603357, ,1.3752005254731605, ,
0.000314,1.286684902046529, ,1.4182218291829747, ,1.315525967816821, ,1.5874454204218915, ,1.6017815481780802, ,1.557706393508237, ,1.5970009996884622, ,1.5214138663479337, ,1.3622187361512652, ,1.4224945991136222, ,
0.000346,1.3872358910527303, ,1.5436183714962806, ,1.411243770946868, ,1.716864512766461, ,1.8164254012013057, ,1.7718182374913756, ,1.7286172567727036, ,1.6633105593289343, ,1.6366518357382238, ,1.579151983179819, ,
0.000378,1.0988071062851452, ,1.18299852692058, ,1.0659124368605164, ,1.3491521826825497, ,1.3590405886655619, ,1.35098085246379, ,1.361800769433267, ,1.3055003714201256, ,1.2516568881238213, ,1.2079790952167024, ,
0.000442,1.2125654091936622, ,1.377627434947581, ,1.275481165324493, ,1.5256000416070794, ,1.5364887838364998, ,1.5201816989653683, ,1.4846136804169203, ,1.4078005356280194, ,1.3934944056937189, ,1.3405478422478274, ,
0.000506,1.0574202890607247, ,1.2390262506996381, ,1.0978313183045503, ,1.3477559331193347, ,1.389250259500969, ,1.3494320611332202, ,1.340062301096968, ,1.3109937667901281, ,1.2380766664300618, ,1.2308605301788287, ,
0.00057,1.1887515915948421, ,1.3137434741969292, ,1.2454771271810718, ,1.4706425012850162, ,1.513006716011259, ,1.4733013107533122, ,1.4472244133821306, ,1.4253652074075562, ,1.3470575280214283, ,1.3352327009915046, ,
0.000634,1.06554009529822, ,1.218213153690757, ,1.0844310138554514, ,1.3133398942073415, ,1.3294836601907054, ,1.3384453364579088, ,1.3018113814702132, ,1.2956847454407197, ,1.2646278850180839, ,1.1714144439421161, ,
0.000698,1.1598515076811504, ,1.2942479644629201, ,1.156364420989435, ,1.4130666617940977, ,1.4117149643579296, ,1.3982223145017278, ,1.4167363530617785, ,1.3266456043822756, ,1.286931420177676, ,1.280025732715858, ,
0.000762,1.089817802301563, ,1.2539981382555232, ,1.1533690155098817, ,1.365510760625507, ,1.3650352794799105, ,1.376733362862108, ,1.3169334727476858, ,1.2694770412541398, ,1.255658343899698, ,1.1642857265384636, ,
0.00089,1.0920014621527216, ,1.221898744566271, ,1.1101729740460395, ,1.3678512388211919, ,1.3464232437391142, ,1.3552898911252658, ,1.3105347361506836, ,1.2812267645520492, ,1.259442262122194, ,1.1930350379631216, ,
0.001018,1.087229452726874,1.045142574917142,1.247315309018601,1.1950245509879593,1.1183210015828504,1.0705648889863035,1.3352040729515042,1.2939337283058399,1.3658704946228784,1.295646405900405,1.3100367719628618,1.2830451640350429,1.3454546890980437,1.2934161394137509,1.279026990246099,1.2248429743952285,1.257420058666574,1.20008490623185,1.1955119750976062,1.1426817405185068,
