name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2),T1,stdev(T1),tauT1,stdev(tauT1),N (mom),bri (kHz),above zero
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10001_T0s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:57:00 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.003099,None,1.02917,None,0.9716567719618723,15.883180609999998,0.962786,None,0.037214,None,0.444929,None,22.143216,None,1.0,None,1.0,None,6.0,None,6.0,None,0.168645,None,0.04,None,1.79126999892476,8.615890314642693,0.7555555555555555
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10002_T24s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:57:00 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0035186895751896374,None,0.9709871746899661,None,1.029879720418859,15.1888922817558,0.9806888062478045,None,0.019311193752195477,None,0.4059515466114025,None,40.35038505661489,None,1.0,None,1.0,None,6.0,None,6.0,None,0.20359247569762262,None,0.04,None,2.0676141355231055,7.565784623679246,0.7
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10003_T46s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:57:00 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0019138439417784037,None,0.9396358685297534,None,1.0642420468310754,14.731220144774477,0.979448025992129,None,0.02055197400787101,None,0.3994951654250204,None,35.49342491236809,None,1.0,None,1.0,None,6.0,None,6.0,None,0.21729773117784568,None,0.04,None,2.197002095528033,7.136076874983831,0.7388888888888889
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10004_T68s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:57:00 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0015228218011924533,None,0.9166413294728765,None,1.0909392450971633,14.71402067280162,0.9982236129539883,None,0.0017763870460116848,None,0.4336814753012871,None,190.11293028830423,None,1.0,None,1.0,None,6.0,None,6.0,None,0.21598514724618934,None,0.04,None,2.217511935426287,7.238970704664756,0.7111111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10005_T90s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:57:01 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.001846182331327384,None,0.8469709646852631,None,1.1806780181320653,13.405976196721136,0.9650780653810338,None,0.0349219346189662,None,0.3767938906380074,None,10.24034185527537,None,1.0,None,1.0,None,6.0,None,6.0,None,0.20826785484184818,None,0.04,None,2.445532085963085,6.472430777391342,0.7166666666666667
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10006_T112s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:57:01 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0008815481971055084,None,0.9101736485282502,None,1.0986914437887747,14.32512015391015,0.9824829844193459,None,0.017517015580654105,None,0.3716474588711234,None,17.142442889716357,None,1.0,None,1.0,None,6.0,None,6.0,None,0.1866985372152019,None,0.04,None,2.25637307896109,6.975477855497348,0.7611111111111111
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10007_T134s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:57:01 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0008906919346607367,None,0.9296158891375207,None,1.0757131108503108,14.685644078937077,0.9858166912551337,None,0.014183308744866285,None,0.3421101383348272,None,31.830391006664303,None,1.0,None,1.0,None,6.0,None,6.0,None,0.1826932325902919,None,0.04,None,2.2487714080301884,7.0251403894144975,0.7777777777777778
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10008_T155s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:57:01 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0024985646121538085,None,0.9084718085819606,None,1.1007496221164048,14.166891077388811,0.9779480466844497,None,0.02205195331555032,None,0.3809748156351153,None,7.989392187337958,None,1.0,None,1.0,None,6.0,None,6.0,None,0.20970435860484526,None,0.04,None,2.267874941445322,6.876300619472496,0.8333333333333334
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10009_T177s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:57:01 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.027186241160687574,None,3.182660435707385,None,0.31420254224442196,51.837150176678946,0.9813533742984322,None,0.01864662570156783,None,0.9141372146440272,None,1999.9999999984786,None,1.0,None,1.0,None,6.0,None,6.0,None,0.0364842412233779,None,0.04,None,0.4189929877257299,38.873613783557126,0.8444444444444444
2022-06-03_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100010_T199s_1_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 13:57:01 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0021096981558721417,None,1.0313344383592804,None,0.9696175777770697,15.953117781376992,0.9841119924133599,None,0.015888007586640107,None,0.4667439481448002,None,13.119060840855619,None,1.0,None,1.0,None,6.0,None,6.0,None,0.187044437262196,None,0.04,None,1.8400474744125521,8.40674513884517,0.7888888888888889
