Time (ms),average_data,average_data fitted model: ,
1e-06,-1.0, ,
2e-06,-1.0, ,
3e-06,-1.0, ,
4e-06,-1.0, ,
5e-06,-1.0, ,
6e-06,-1.0, ,
8e-06,-1.0, ,
1e-05,-1.0, ,
1.2e-05,-1.0, ,
1.4e-05,-1.0, ,
1.6e-05,-1.0, ,
1.8e-05,-1.0, ,
2.2e-05,-1.0, ,
2.6e-05,-1.0, ,
3e-05,-1.0, ,
3.4e-05,-1.0, ,
3.8e-05,-1.0, ,
4.2e-05,-1.0, ,
5e-05,-1.0, ,
5.8e-05,-1.0, ,
6.6e-05,-1.0, ,
7.4e-05,-0.49151540784861614, ,
8.2e-05,-0.6962799587189862, ,
9e-05,-1.0, ,
0.000106,-0.19770562627751534, ,
0.000122,0.4577813383108155, ,
0.000138,0.08537335462718967, ,
0.000154,-0.24367401404113676, ,
0.00017,0.5920161635503018, ,
0.000186,-0.15505302809922225, ,
0.000218,0.1864146435942015, ,
0.00025,0.049881162195055236, ,
0.000282,0.014522859504715536, ,
0.000314,0.07514125142002126, ,
0.000346,0.14794203991106758, ,
0.000378,0.01468774900270442, ,
0.000442,0.09288411009908872, ,
0.000506,0.03463890526643855, ,
0.00057,0.10487479514462016, ,
0.000634,0.03983338696068852, ,
0.000698,0.08256643590120953, ,
0.000762,0.06051877561727281, ,
0.00089,0.06558643697490546, ,
0.001018,0.06104282651650173,0.061848077489379955,
0.001146,0.06567181363103577,0.06163812298153551,
0.001274,0.0660620521384865,0.06142930974536895,
0.001402,0.06191802164722095,0.061221628506000325,
0.00153,0.06227026164780517,0.06101507008877623,
0.001786,0.062157202954782324,0.06060528551520113,
0.002042,0.061113727154166894,0.060199884581180266,
0.002298,0.06126381687103058,0.059798797362690656,
0.002554,0.06023121511539583,0.05940195541496951,
0.00281,0.057124369029833054,0.05900929173360242,
0.003066,0.05973695375117737,0.058620740716833486,
0.003578,0.05724935701074187,0.05785572106541706,
0.00409,0.05661125303656539,0.057106398340401515,
0.004602,0.05402580861399221,0.05637229464166421,
0.005114,0.05568912663645915,0.05565295127358923,
0.005626,0.05346871301210007,0.05494792778999205,
0.006138,0.05362122375084812,0.05425680109548048,
0.007162,0.05119889836740525,0.05291462741879775,
0.008186,0.05051494271642332,0.05162336154580398,
0.00921,0.04781330381358861,0.05038016306386714,
0.010234,0.04834481377372517,0.04918239900497565,
0.011258,0.0464948360583394,0.048027625247386234,
0.012282,0.045371118829714896,0.046913569882937836,
0.01433,0.043926747944639515,0.044799299859243254,
0.016378,0.042074674413537336,0.04282432818340491,
0.018426,0.04021463275591323,0.04097533909374674,
0.020474,0.038088335343486907,0.039240661524030614,
0.022522,0.03612161521983528,0.037610022779539704,
0.02457,0.03467376699756286,0.03607434519561117,
0.028666,0.032052911119353864,0.033256552674955905,
0.032762,0.029783943796062765,0.030732802014654947,
0.036858,0.027981161714342246,0.028459403869671926,
0.040954,0.02668690075373478,0.0264009151596288,
0.04505,0.025662865117877496,0.024528281165953444,
0.049146,0.023519238952876123,0.02281745827846754,
0.057338,0.020453544720422694,0.019804159517123207,
0.06553,0.01802700375804506,0.01723519501194771,
0.073722,0.016267710567856145,0.015019222564460748,
0.081914,0.014509525138540242,0.013088327123780906,
0.090106,0.013130539401863218,0.011390962792256525,
0.098298,0.011833076373132934,0.009887301485048256,
0.114682,0.008452846376950873,0.007342425716990092,
0.131066,0.006619452716090023,0.005271323566595824,
0.14745,0.005144953723629628,0.003553454457113612,
0.163834,0.004084169576702471,0.0021059551740405975,
0.180218,0.0029328923535520287,0.0008699866217114528,
0.196602,0.002167283120226354,-0.0001973836021578173,
0.22937,-0.0017853956832700093,-0.001946933850651953,
0.262138,-0.0032805818892826903,-0.003319732209310179,
0.294906,-0.004293979839474852,-0.004424697990909715,
0.327674,-0.00523432805372063,-0.0053325135350947555,
0.360442,-0.00571579512747348,-0.006091045014758939,
0.39321,-0.006397527950206487,-0.0067338577521353854,
0.458746,-0.01332267555296413,-0.007762950072789778,
0.524282,-0.014423432471661892, ,
0.589818,-0.015349701193231272, ,
0.655354,-0.01683797524942921, ,
0.72089,-0.018740658835064653, ,
0.786426,-0.02264524225267371, ,
0.917498,-0.10899051035479566, ,
1.04857,-0.1649445232852733, ,
1.179642,-0.1611319762638133, ,
1.310714,-0.16184962602904512, ,
1.441786,-0.1628603211780668, ,
1.572858,-0.1637837885440549, ,
1.835002,-0.20391343899473827, ,
2.097146,-0.22658033133122452, ,
2.35929,-0.22811253431109402, ,
2.621434,-0.23411973756339424, ,
2.883578,-0.25456963563722673, ,
3.145722,-0.26568441316693514, ,
3.67001,-0.28528584067162255, ,
4.194298,-0.2949703976545739, ,
4.718586,-0.3004005692542213, ,
5.242874,-0.3047896568669889, ,
5.767162,-0.30914384222695956, ,
6.29145,-0.31215097589097984, ,
7.340026,-0.3249252458391807, ,
8.388602,-0.33070143110558803, ,
9.437178,-0.3353023575859723, ,
10.485754,-0.34009704861134366, ,
11.53433,-0.3439243733380783, ,
12.582906,-0.34744933376228737, ,
14.680058,-0.36861682702280335, ,
16.77721,-0.3780556741016901, ,
18.874362,-0.3870877296915602, ,
20.971514,-0.3947538104644759, ,
23.068666,-0.4025130068552274, ,
25.165818,-0.4111787861888837, ,
29.360122,-0.43570623932360203, ,
33.554426,-0.446247591276551, ,
37.74873,-0.4547563984666173, ,
41.943034,-0.46151921020233566, ,
46.137338,-0.4666256769336896, ,
50.331642,-0.47141001705654445, ,
58.72025,-0.484078911316714, ,
67.108858,-0.4915369939878144, ,
75.497466,-0.4989014992933056, ,
83.886074,-0.5051302841492843, ,
92.274682,-0.5092500113822002, ,
100.66329,-0.513390678083806, ,
117.440506,-0.529987516224097, ,
134.217722,-0.5378565201975021, ,
150.994938,-0.5444026793481577, ,
167.772154,-0.5501795086384421, ,
184.54937,-0.5537451082752499, ,
201.326586,-0.5573133927979513, ,
234.881018,-0.5705351176345886, ,
268.43545,-0.577391228829596, ,
301.989882,-0.5819031208416193, ,
335.544314,-0.5868772818658444, ,
369.098746,-0.5922603659626732, ,
402.653178,-0.5973623362145767, ,
469.762042,-0.6185655654097213, ,
536.870906,-0.6279106515072966, ,
603.97977,-0.635403908797641, ,
671.088634,-0.6432682262574593, ,
738.197498,-0.6512594304552487, ,
805.306362,-0.6588091653879418, ,
939.52409,-0.6884530843792316, ,
1073.741818,-0.7045139484849082, ,
1207.959546,-0.716019821891573, ,
1342.177274,-0.7269613486310774, ,
1476.395002,-0.7385439495815405, ,
1610.61273,-0.7482109755787414, ,
1879.048186,-0.7865568632097025, ,
2147.483642,-0.8053303623027782, ,
2415.919098,-0.8236276135459148, ,
2684.354554,-0.8384220302229972, ,
2952.79001,-0.8537130503772699, ,
3221.225466,-0.8696687077762192, ,
3758.096378,-0.9155773888070183, ,
4294.96729,-0.9375088212077597, ,
4831.838202,-0.9568923969703923, ,
5368.709114,-0.9665414985793737, ,
5905.580026,-0.9739066330582092, ,
6442.450938,-0.9795536479872468, ,
