name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2),N (mom),bri (kHz),above zero
2023-01-12_tttr2xfcs_with_averaging_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4881_T0s_1_correlation-CH2_2,Not known,tttr2xfcs_with_averaging,0,Fri Jan 13 17:00:15 2023,Equation 1B,2,no triplet,1,3D,0.001018,0.524282,-0.02521,None,0.069744,None,14.338150952053223,39.173361426170466,0.716336,None,0.283664,None,0.146878,None,0.001148,None,1.0,None,1.0,None,5.0,None,5.0,None,5.022938185532642,111.82731003288734,0.3111111111111111
2023-01-12_tttr2xfcs_with_averaging_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4882_T15s_1_correlation-CH2_2,Not known,tttr2xfcs_with_averaging,0,Fri Jan 13 17:00:15 2023,Equation 1B,2,no triplet,1,3D,0.001018,0.524282,-0.022110897631932747,None,0.10763959013825153,None,9.290262056141305,57.13043393972046,0.4866501163395948,None,0.5133498836604051,None,0.09025086409299246,None,0.00010000002586819519,None,1.0,None,1.0,None,5.0,None,5.0,None,9.188156549686322,57.768198614522866,0.3055555555555556
2023-01-12_tttr2xfcs_with_averaging_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4883_T27s_1_correlation-CH2_2,Not known,tttr2xfcs_with_averaging,0,Fri Jan 13 17:00:16 2023,Equation 1B,2,no triplet,1,3D,0.001018,0.524282,-0.49992230457283626,None,0.5367053685916332,None,1.8632196704573623,290.8991957499087,0.9407332648942553,None,0.05926673510574465,None,9.685666996584759,None,0.015616234368585393,None,1.0,None,1.0,None,5.0,None,5.0,None,4.591309696900034,118.05699290189604,0.32222222222222224
2023-01-12_tttr2xfcs_with_averaging_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4883_T28s_1_correlation-CH2_2,Not known,tttr2xfcs_with_averaging,0,Fri Jan 13 17:00:16 2023,Equation 1B,2,no triplet,1,3D,0.001018,0.524282,-0.021499280334113968,None,0.246315608824697,None,4.059832037326148,137.3129927419324,0.20774011048859625,None,0.7922598895114037,None,0.09557972438037098,None,0.00010000000144328987,None,1.0,None,1.0,None,5.0,None,5.0,None,2.7530023532921715,202.50457553774834,0.3111111111111111
2023-01-12_tttr2xfcs_with_averaging_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4884_T39s_1_correlation-CH2_2,Not known,tttr2xfcs_with_averaging,0,Fri Jan 13 17:00:16 2023,Equation 1B,2,no triplet,1,3D,0.001018,0.524282,-0.024067,None,0.070424,None,14.19970464614336,36.782273433373355,0.838214,None,0.161786,None,0.09211,None,0.0001,None,1.0,None,1.0,None,5.0,None,5.0,None,6.470131337926487,80.72843012224067,0.3055555555555556
2023-01-12_tttr2xfcs_with_averaging_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4884_T41s_1_correlation-CH2_2,Not known,tttr2xfcs_with_averaging,0,Fri Jan 13 17:00:16 2023,Equation 1B,2,no triplet,1,3D,0.001018,0.524282,-0.0315563274921451,None,0.07655099867474861,None,13.063186859897408,40.095693254447674,0.6819955707137593,None,0.31800442928624073,None,0.23935312396977002,None,0.003651650572250897,None,1.0,None,1.0,None,5.0,None,5.0,None,5.969849767946081,87.74152644818916,0.3388888888888889
2023-01-12_tttr2xfcs_with_averaging_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4885_T51s_1_correlation-CH2_2,Not known,tttr2xfcs_with_averaging,0,Fri Jan 13 17:00:16 2023,Equation 1B,2,no triplet,1,3D,0.001018,0.524282,-0.013912238445333736,None,0.04695538545792252,None,21.29681164892398,26.032416125218703,0.9999999338376662,None,6.616233383383019e-08,None,0.06441459103787082,None,0.0001000000002220446,None,1.0,None,1.0,None,5.0,None,5.0,None,4.039639505630178,137.24868148887862,0.3333333333333333
2023-01-12_tttr2xfcs_with_averaging_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4885_T54s_1_correlation-CH2_2,Not known,tttr2xfcs_with_averaging,0,Fri Jan 13 17:00:16 2023,Equation 1B,2,no triplet,1,3D,0.001018,0.524282,-0.4998571306010581,None,0.5314336736872546,None,1.881702363837211,286.0743560633488,0.9482559749748811,None,0.05174402502511888,None,7.55471141090378,None,0.02426567771421027,None,1.0,None,1.0,None,5.0,None,5.0,None,8.230527553219213,65.40695153742865,0.3
2023-01-12_tttr2xfcs_with_averaging_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4886_T63s_1_correlation-CH2_2,Not known,tttr2xfcs_with_averaging,0,Fri Jan 13 17:00:16 2023,Equation 1B,2,no triplet,1,3D,0.001018,0.524282,-0.03162822132860077,None,0.08857908167056061,None,11.28934711379325,43.51610199972732,0.6256207989143744,None,0.3743792010856256,None,0.17327574739701113,None,0.0011686408071477407,None,1.0,None,1.0,None,5.0,None,5.0,None,7.385822412991791,66.51838144242322,0.3055555555555556
2023-01-12_tttr2xfcs_with_averaging_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4886_T66s_1_correlation-CH2_2,Not known,tttr2xfcs_with_averaging,0,Fri Jan 13 17:00:16 2023,Equation 1B,2,no triplet,1,3D,0.001018,0.524282,-0.027228345673486753,None,0.22700455658686539,None,4.405197917766645,119.89864718181369,0.2512609754939093,None,0.7487390245060908,None,0.09928145469285839,None,0.0001,None,1.0,None,1.0,None,5.0,None,5.0,None,8.06464797154485,65.49618700344408,0.29444444444444445
2023-01-12_tttr2xfcs_with_averaging_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4887_T75s_1_correlation-CH2_2,Not known,tttr2xfcs_with_averaging,0,Fri Jan 13 17:00:16 2023,Equation 1B,2,no triplet,1,3D,0.001018,0.524282,-0.043058166876702386,None,0.14349768453486977,None,6.9687535603196515,72.86769641258927,0.47181938703535486,None,0.5281806129646451,None,0.21865416784865557,None,0.00010000000011102231,None,1.0,None,1.0,None,5.0,None,5.0,None,7.416931884136346,68.46799027171768,0.3111111111111111
2023-01-12_tttr2xfcs_with_averaging_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4887_T76s_1_correlation-CH2_2,Not known,tttr2xfcs_with_averaging,0,Fri Jan 13 17:00:16 2023,Equation 1B,2,no triplet,1,3D,0.001018,0.524282,-0.021406049126637017,None,0.05398719333488838,None,18.52291142080479,26.248696539479553,0.9999999974264095,None,2.5735904518597863e-09,None,0.07688423803119691,None,0.000100011851519173,None,1.0,None,1.0,None,5.0,None,5.0,None,7.7660595378030655,62.60917774375384,0.3111111111111111
2023-01-12_tttr2xfcs_with_averaging_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4887_T80s_1_correlation-CH2_2,Not known,tttr2xfcs_with_averaging,0,Fri Jan 13 17:00:17 2023,Equation 1B,2,no triplet,1,3D,0.001018,0.524282,-0.4980502348194671,None,0.5328232236508298,None,1.8767950712586075,321.004937310315,0.9398513378367642,None,0.06014866216323578,None,14.380430832492618,None,0.0389035530875444,None,1.0,None,1.0,None,5.0,None,5.0,None,2.7791122614368016,216.7924733158721,0.3388888888888889
2023-01-12_tttr2xfcs_with_averaging_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4888_T87s_1_correlation-CH2_2,Not known,tttr2xfcs_with_averaging,0,Fri Jan 13 17:00:17 2023,Equation 1B,2,no triplet,1,3D,0.001018,0.524282,-0.03878159207873866,None,0.07432930722663482,None,13.453643486154606,46.00319347414123,0.8541926963201634,None,0.14580730367983663,None,0.1982606498759195,None,0.0025192605872454902,None,1.0,None,1.0,None,5.0,None,5.0,None,3.0225956789399917,204.77152402425128,0.3
2023-01-12_tttr2xfcs_with_averaging_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4888_T93s_1_correlation-CH2_2,Not known,tttr2xfcs_with_averaging,0,Fri Jan 13 17:00:17 2023,Equation 1B,2,no triplet,1,3D,0.001018,0.524282,-0.027514324077695163,None,0.05516418390470285,None,18.127704050285935,28.208704323445808,0.9999999926231887,None,7.376811272941097e-09,None,0.1315275230689724,None,0.00010003625843888141,None,1.0,None,1.0,None,5.0,None,5.0,None,3.218326655863636,158.89767502272278,0.3111111111111111
2023-01-12_tttr2xfcs_with_averaging_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4889_T99s_1_correlation-CH2_2,Not known,tttr2xfcs_with_averaging,0,Fri Jan 13 17:00:17 2023,Equation 1B,2,no triplet,1,3D,0.001018,0.524282,-0.03960128466565349,None,0.07889116966396469,None,12.675689868200452,39.54749776454244,0.7584210550668371,None,0.2415789449331629,None,0.19641023828067516,None,0.002514300929919951,None,1.0,None,1.0,None,5.0,None,5.0,None,12.251632755201594,40.91837411538719,0.3
2023-01-12_tttr2xfcs_with_averaging_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4889_T100s_1_correlation-CH2_2,Not known,tttr2xfcs_with_averaging,0,Fri Jan 13 17:00:17 2023,Equation 1B,2,no triplet,1,3D,0.001018,0.524282,-0.0321356235628536,None,0.20576579486897037,None,4.859894233814663,100.19528370728597,0.2747860419209619,None,0.7252139580790381,None,0.1786813198899166,None,0.00010000000466293648,None,1.0,None,1.0,None,5.0,None,5.0,None,13.364019945314844,36.438350061252855,0.3
2023-01-12_tttr2xfcs_with_averaging_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4889_T106s_1_correlation-CH2_2,Not known,tttr2xfcs_with_averaging,0,Fri Jan 13 17:00:17 2023,Equation 1B,2,no triplet,1,3D,0.001018,0.524282,-0.01753116968610624,None,0.14447003535188996,None,6.921850593891462,83.63739759696539,0.3308825284343351,None,0.6691174715656649,None,0.09058899321710584,None,0.0001000000003330669,None,1.0,None,1.0,None,5.0,None,5.0,None,2.5795615291824543,224.43912385442556,0.31666666666666665
