name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),N (mom),bri (kHz),above zero
2023-01-16_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4881_T0s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Jan 17 14:20:16 2023,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.011992,0.004868307383377775,0.371208,0.005039445398667682,2.693907458890972,130.50089072989195,1.0,0,12.743012,0.7284455982338889,1.0,0,5.0,0,2.665944978772026,131.87628083414523,0.7888888888888889
2023-01-16_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4882_T15s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Jan 17 14:20:16 2023,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.004968428363102628,0.00485308794716157,0.3342490439839464,0.005036191456259102,2.991781182321134,120.16269850362728,1.0,0,12.197184034706808,0.7782887905234851,1.0,0,5.0,0,3.094496198104918,116.17997253887836,0.7833333333333333
2023-01-16_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48810_T111s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Jan 17 14:20:16 2023,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.06063650970801282,0.008302126370909975,0.3240220134255785,0.008323660818551674,3.086210067729489,111.8088265664778,1.0,0,24.94054330689752,2.4253605638694107,1.0,0,5.0,0,2.6832437884356066,128.606572664594,0.7777777777777778
2023-01-16_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48810_T112s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Jan 17 14:20:16 2023,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.03320056598208332,0.008315864835468778,0.30506136806421014,0.008410297365562982,3.2780289629774337,102.81154055971447,1.0,0,20.16828739186337,2.1861102304839766,1.0,0,5.0,0,3.0839129045539715,109.28845160708232,0.7222222222222222
2023-01-16_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48810_T120s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Jan 17 14:20:16 2023,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.04816552569542054,0.0053376970186904075,0.2841198698118522,0.005527023395651728,3.5196412016597525,99.96184604466535,1.0,0,12.666207695164621,1.0384354608660857,1.0,0,5.0,0,3.1775419427557883,110.72943730805895,0.7722222222222223
2023-01-16_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48811_T123s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Jan 17 14:20:16 2023,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.03276157190154738,0.00466658090345202,0.3214953979539184,0.004841646275205317,3.110464430795165,115.64970367589953,1.0,0,12.24190454358693,0.7803831901075184,1.0,0,5.0,0,2.9395269630110974,122.38101182760079,0.8111111111111111
2023-01-16_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48811_T124s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Jan 17 14:20:16 2023,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.026433913865378078,0.004184145298146673,0.2610773573362292,0.0044382697448855,3.8302823737875786,92.54560257540561,1.0,0,8.575474938121134,0.6430199398858458,1.0,0,5.0,0,3.7274398735765657,95.10375327524557,0.7666666666666667
2023-01-16_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48811_T132s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Jan 17 14:20:16 2023,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,-0.000819271908264585,0.007869021467997363,0.40587931125835297,0.007949250137143827,2.463786579561513,137.8807264766611,1.0,0,20.700544145244667,1.5869940912243075,1.0,0,5.0,0,2.557655146009358,132.82700644162858,0.7111111111111111
2023-01-16_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48812_T135s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Jan 17 14:20:16 2023,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.0028109937620062198,0.01150380888870611,0.48557977161720695,0.011398511148174658,2.0593938595702492,157.28407775925447,1.0,0,36.123696873122555,2.973882665631249,1.0,0,5.0,0,2.0946361248503953,154.64550758340627,0.7333333333333333
2023-01-16_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48812_T136s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Jan 17 14:20:16 2023,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.01731555553383146,0.0051410488053604255,0.33710429633568995,0.005350412133307291,2.966440982419861,114.20372542460653,1.0,0,11.613093539666206,0.7854153441667544,1.0,0,5.0,0,2.9635967520869624,114.31904754333428,0.8333333333333334
