name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2),N (mom),bri (kHz),above zero
2023-01-16_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4881_T0s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Jan 17 14:21:54 2023,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.004476,None,0.412109,None,2.4265424923988554,144.879936795018,0.839747,None,0.160253,None,20.343239,None,0.088355,None,1.0,None,1.0,None,5.0,None,5.0,None,2.665944978772026,131.87628083414523,0.7888888888888889
2023-01-16_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4882_T15s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Jan 17 14:21:54 2023,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.012213128567291509,None,0.37497921145854224,None,2.6668145044903646,134.80521408397752,0.8263630690386284,None,0.17363693096137156,None,20.79021266335142,None,0.09117722000794733,None,1.0,None,1.0,None,5.0,None,5.0,None,3.094496198104918,116.17997253887836,0.7833333333333333
2023-01-16_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48810_T111s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Jan 17 14:21:54 2023,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.007220092578200776,None,0.41395638139593344,None,2.4157134542239085,142.84207657457563,0.7825926697516337,None,0.21740733024836634,None,83.38897592186196,None,0.37719100162722796,None,1.0,None,1.0,None,5.0,None,5.0,None,2.6832437884356066,128.606572664594,0.7777777777777778
2023-01-16_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48810_T112s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Jan 17 14:21:54 2023,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.04619754176177804,None,0.4070132791618923,None,2.456922295162373,137.17129285963043,0.7547849047951009,None,0.24521509520489915,None,90.63289639377643,None,0.39881608449540185,None,1.0,None,1.0,None,5.0,None,5.0,None,3.0839129045539715,109.28845160708232,0.7222222222222222
2023-01-16_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48810_T120s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Jan 17 14:21:54 2023,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,0.023889264496873897,None,0.3327710655486933,None,3.005068960401166,117.0787880640866,0.7871417917688865,None,0.21285820823111345,None,27.669844362302666,None,0.10562856497782559,None,1.0,None,1.0,None,5.0,None,5.0,None,3.1775419427557883,110.72943730805895,0.7722222222222223
2023-01-16_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48811_T123s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Jan 17 14:21:54 2023,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,0.0188711751662749,None,0.3591488638531426,None,2.78436075022335,129.1945699518393,0.8358601795443572,None,0.1641398204556428,None,19.392029766684225,None,0.06694181717232732,None,1.0,None,1.0,None,5.0,None,5.0,None,2.9395269630110974,122.38101182760079,0.8111111111111111
2023-01-16_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48811_T124s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Jan 17 14:21:54 2023,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,0.014078252962960724,None,0.2986917669864698,None,3.347932921248874,105.87900016344918,0.7925446796024669,None,0.20745532039753312,None,15.247192811596031,None,0.05515774238669891,None,1.0,None,1.0,None,5.0,None,5.0,None,3.7274398735765657,95.10375327524557,0.7666666666666667
2023-01-16_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48811_T132s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Jan 17 14:21:54 2023,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.04568384113354984,None,0.47418012503323775,None,2.10890323572694,161.08310600428834,0.8066556856329896,None,0.19334431436701038,None,47.19901033117035,None,0.30230108943110023,None,1.0,None,1.0,None,5.0,None,5.0,None,2.557655146009358,132.82700644162858,0.7111111111111111
2023-01-16_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48812_T135s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Jan 17 14:21:54 2023,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.07540885917307583,None,0.5908474072276585,None,1.6924843669741139,191.38130328770853,0.8273034829174437,None,0.1726965170825563,None,86.51609243871444,None,0.39279043641575917,None,1.0,None,1.0,None,5.0,None,5.0,None,2.0946361248503953,154.64550758340627,0.7333333333333333
2023-01-16_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48812_T136s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Jan 17 14:21:54 2023,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.00045823124628063816,None,0.3810366310159626,None,2.624419592766417,129.08706076510776,0.8141556860710739,None,0.18584431392892609,None,20.367711607199325,None,0.08522977729879298,None,1.0,None,1.0,None,5.0,None,5.0,None,2.9635967520869624,114.31904754333428,0.8333333333333334
