name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2),T1,stdev(T1),tauT1,stdev(tauT1),N (mom),bri (kHz),above zero
2023-01-18_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10001_T0s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Wed Jan 18 15:56:46 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.009768,None,0.905244,None,1.1046745407867933,12.6694329264,0.231515,None,0.768485,None,0.028685,None,0.387931,None,1.0,None,1.0,None,6.0,None,6.0,None,0.003695,None,0.04,None,2.1799483557619665,6.420312601330139,0.8611111111111112
2023-01-18_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10002_T24s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Wed Jan 18 15:56:46 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0017550293111828763,None,0.9405139079058369,None,1.0632484980754997,13.612785454089277,0.23114226322323955,None,0.7688577367767604,None,0.01827598275891282,None,0.37209190031930545,None,1.0,None,1.0,None,6.0,None,6.0,None,0.013736467360025983,None,0.04,None,2.2445759393953884,6.448494482243202,0.7333333333333333
2023-01-18_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10003_T46s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Wed Jan 18 15:56:46 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.004801865200652289,None,2.320913564243191,None,0.43086481780551894,34.475413397156096,0.6157884407347951,None,0.3842115592652049,None,0.00010000005406785861,None,0.36856287726134007,None,1.0,None,1.0,None,6.0,None,6.0,None,0.13921499256996928,None,0.04,None,2.1669344401874464,6.855128526533657,0.8055555555555556
2023-01-18_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10004_T68s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Wed Jan 18 15:56:46 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0035714181750883256,None,0.9182300100626878,None,1.0890517506955908,14.080659361267305,0.2180595733038726,None,0.7819404266961274,None,0.011306248918166784,None,0.3550926494593198,None,1.0,None,1.0,None,6.0,None,6.0,None,1.133415583609576e-08,None,0.04,None,2.306416942903341,6.648819576375166,0.85
2023-01-18_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10005_T90s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Wed Jan 18 15:56:46 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.006616877239776109,None,0.9063627347056852,None,1.103311027372193,13.655581195041723,0.1420706330755806,None,0.8579293669244195,None,0.0024973059369130446,None,0.3492489929031993,None,1.0,None,1.0,None,6.0,None,6.0,None,0.11181971827889381,None,0.04,None,2.4456006861198705,6.160748191747876,0.8555555555555555
2023-01-18_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10006_T112s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Wed Jan 18 15:56:46 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0017546631979989957,None,0.9051151066230084,None,1.104831852526479,13.568172833899265,0.24333823355518697,None,0.756661766444813,None,0.02790667177482018,None,0.3798220719349707,None,1.0,None,1.0,None,6.0,None,6.0,None,2.1522783555383285e-09,None,0.04,None,2.294471850213419,6.5334967251524905,0.7388888888888889
2023-01-18_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10007_T134s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Wed Jan 18 15:56:46 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.003807301300913113,None,0.9841228251269224,None,1.0161333265195123,14.637344614637168,0.10601314296558023,None,0.8939868570344198,None,0.0014477797176102366,None,0.28961562278786684,None,1.0,None,1.0,None,6.0,None,6.0,None,0.0947573339905583,None,0.04,None,2.281662053617412,6.518873168063625,0.7888888888888889
2023-01-18_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10008_T155s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Wed Jan 18 15:56:47 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.009897081015181719,None,1.9145383961772282,None,0.5223191146214183,26.63142054466486,0.5379389901943543,None,0.4620610098056457,None,0.00010000000111022298,None,0.3765336041756486,None,1.0,None,1.0,None,6.0,None,6.0,None,0.18059119363617038,None,0.04,None,2.219764086721099,6.266633397849815,0.8055555555555556
2023-01-18_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10009_T177s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Wed Jan 18 15:56:47 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.003482055989319943,None,0.8498194223555874,None,1.1767205757996586,12.488423395887326,0.24830535117174007,None,0.7516946488282599,None,0.05352231059387903,None,0.40951918434289425,None,1.0,None,1.0,None,6.0,None,6.0,None,0.04740313153078768,None,0.04,None,2.3812286052015117,6.17149993466082,0.7222222222222222
2023-01-18_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100010_T199s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Wed Jan 18 15:56:47 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.005863437014371753,None,2.2297388380011807,None,0.44848301646682376,30.35896627993247,0.5873145296644678,None,0.41268547033553216,None,0.00010000000088817838,None,0.4234924747435415,None,1.0,None,1.0,None,6.0,None,6.0,None,0.16193571445982657,None,0.04,None,2.0361525723694207,6.687033855593934,0.7277777777777777
2023-01-18_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100011_T221s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Wed Jan 18 15:56:47 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.004815506025570571,None,0.9480990619459867,None,1.0547421046356547,13.386495085333971,0.2119240718429663,None,0.7880759281570338,None,0.021931534420807593,None,0.3500971317542424,None,1.0,None,1.0,None,6.0,None,6.0,None,2.3250146252706827e-07,None,0.04,None,2.1652467664767476,6.5210364056102685,0.7666666666666667
2023-01-18_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100012_T242s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Wed Jan 18 15:56:47 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0019291601962682092,None,0.9267748557207235,None,1.0790107153072594,13.12211986825856,0.2277359562278431,None,0.7722640437721568,None,0.02112494715374771,None,0.3499151583427867,None,1.0,None,1.0,None,6.0,None,6.0,None,1.5800960539991138e-07,None,0.04,None,2.292354154617851,6.176734042653319,0.7166666666666667
2023-01-18_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100013_T264s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Wed Jan 18 15:56:47 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.007730561101291,None,0.9726090824112451,None,1.0281623090757581,13.673330364330775,0.18284257706403728,None,0.8171574229359627,None,0.013409447148275041,None,0.3489861535225359,None,1.0,None,1.0,None,6.0,None,6.0,None,3.2751024114929805e-07,None,0.04,None,2.1111462448152367,6.659299156137281,0.7722222222222223
2023-01-18_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100014_T286s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Wed Jan 18 15:56:47 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0019859692091199754,None,1.7006809757332726,None,0.5879997567261761,23.93045812386363,0.4988409976431208,None,0.5011590023568793,None,0.00010000050659474081,None,0.3440629644458147,None,1.0,None,1.0,None,6.0,None,6.0,None,0.14885829176919385,None,0.04,None,2.3588064832235696,5.96549800046409,0.7111111111111111
2023-01-18_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100015_T308s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Wed Jan 18 15:56:47 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.001669749565176959,None,1.0838486095458193,None,0.9226380798874156,15.170412044666474,0.18448362396650564,None,0.8155163760334944,None,0.012642958052880592,None,0.3887480313916561,None,1.0,None,1.0,None,6.0,None,6.0,None,3.4940389470605737e-07,None,0.04,None,1.8217196727039031,7.683481710146203,0.7722222222222223
2023-01-18_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100016_T330s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Wed Jan 18 15:56:47 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.002221193185994119,None,2.1204332238473476,None,0.4716017409808285,29.89260565689175,0.5720683987397179,None,0.42793160126028207,None,0.00010000000255351284,None,0.3530546470107226,None,1.0,None,1.0,None,6.0,None,6.0,None,0.16264027908596823,None,0.04,None,2.232720480641431,6.314161335479748,0.7777777777777778
2023-01-18_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100017_T352s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Wed Jan 18 15:56:47 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.001239746674443154,None,1.4984141955891057,None,0.6673722145343446,20.84825435381958,0.39237585779399226,None,0.6076241422060078,None,0.0002293227161756309,None,0.34365828302702306,None,1.0,None,1.0,None,6.0,None,6.0,None,0.12911202490539786,None,0.04,None,2.145603795813494,6.484838239550314,0.7333333333333333
2023-01-18_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100018_T374s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Wed Jan 18 15:56:47 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.002956107242782613,None,0.9000065689970266,None,1.1111030012974314,12.206319403394044,0.18854447820155879,None,0.8114555217984412,None,0.04176729183571406,None,0.3846725231410495,None,1.0,None,1.0,None,6.0,None,6.0,None,0.05647965839217228,None,0.04,None,2.223348894451159,6.100174941116866,0.8166666666666667
2023-01-18_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100019_T395s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Wed Jan 18 15:56:47 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.001635356070634142,None,1.241353567640557,None,0.8055722608512753,17.851805163642922,0.29564762645197995,None,0.70435237354802,None,0.0006670571420890619,None,0.3759643555521173,None,1.0,None,1.0,None,6.0,None,6.0,None,0.13448782720754116,None,0.04,None,2.191379407387286,6.56266028028485,0.6833333333333333
2023-01-18_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100020_T417s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Wed Jan 18 15:56:48 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.002397241663627314,None,0.9722849885992322,None,1.0285050285932078,13.64791756710433,0.13929564008864753,None,0.8607043599113524,None,0.030676411104333615,None,0.421415535174698,None,1.0,None,1.0,None,6.0,None,6.0,None,0.0626627003090241,None,0.04,None,1.9641994540054495,7.146577079575385,0.8333333333333334
2023-01-18_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100021_T439s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Wed Jan 18 15:56:48 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.003651152606308883,None,0.949016164123141,None,1.0537228319224323,13.205413530710539,0.12976809839808257,None,0.8702319016019174,None,0.001993626852787626,None,0.30378419116875066,None,1.0,None,1.0,None,6.0,None,6.0,None,0.09583137441099288,None,0.04,None,2.41007498004377,5.773759636005287,0.7277777777777777
2023-01-18_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100022_T461s_1_DEL_correlation-CH2_2,Not known,tttr2xfcs,0,Wed Jan 18 15:56:48 2023,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.008971729456812128,None,0.9927001793532312,None,1.0073534998769968,13.844491845780711,0.24589267155049616,None,0.7541073284495039,None,0.006988998539452764,None,0.3499882171836634,None,1.0,None,1.0,None,6.0,None,6.0,None,3.2035685215703325e-07,None,0.04,None,2.2511420963571207,6.195364575616461,0.8055555555555556
