,TbPEX5EGFP 1-100016_T330s_1_DELSHIFT_CH2_BIN1.0,TbPEX5EGFP 1-100017_T352s_1_DELSHIFT_CH2_BIN1.0,TbPEX5EGFP 1-100015_T308s_1_DELSHIFT_CH2_BIN1.0
0,10.0,13.0,6
1,9.0,23.0,16
2,10.0,17.0,29
3,8.0,13.0,35
4,12.0,18.0,17
5,12.0,12.0,48
6,6.0,5.0,25
7,13.0,10.0,16
8,2.0,25.0,11
9,7.0,9.0,14
10,29.0,11.0,10
11,18.0,12.0,9
12,11.0,25.0,7
13,15.0,15.0,9
14,14.0,23.0,4
15,7.0,30.0,13
16,10.0,25.0,36
17,3.0,16.0,10
18,5.0,17.0,6
19,11.0,10.0,12
20,5.0,7.0,10
21,21.0,11.0,13
22,28.0,11.0,15
23,35.0,5.0,13
24,20.0,10.0,12
25,12.0,9.0,9
26,21.0,6.0,21
27,13.0,8.0,12
28,7.0,9.0,13
29,4.0,14.0,23
30,13.0,11.0,37
31,14.0,5.0,40
32,18.0,15.0,72
33,18.0,4.0,33
34,9.0,9.0,13
35,33.0,11.0,26
36,6.0,17.0,38
37,6.0,17.0,41
38,7.0,6.0,26
39,6.0,9.0,17
40,11.0,37.0,11
41,11.0,8.0,4
42,13.0,19.0,14
43,12.0,23.0,19
44,8.0,11.0,18
45,8.0,21.0,7
46,6.0,14.0,9
47,7.0,21.0,8
48,15.0,25.0,9
49,8.0,19.0,10
50,11.0,17.0,16
51,44.0,29.0,10
52,19.0,18.0,11
53,66.0,11.0,7
54,34.0,42.0,33
55,24.0,27.0,64
56,6.0,30.0,19
57,9.0,19.0,45
58,12.0,13.0,7
59,7.0,8.0,18
60,6.0,9.0,12
61,5.0,8.0,11
62,4.0,13.0,16
63,6.0,10.0,23
64,9.0,18.0,17
65,8.0,8.0,7
66,6.0,17.0,10
67,3.0,9.0,9
68,10.0,17.0,12
69,19.0,6.0,12
70,10.0,6.0,10
71,12.0,19.0,6
72,6.0,23.0,5
73,13.0,7.0,3
74,35.0,36.0,8
75,16.0,34.0,14
76,10.0,12.0,13
