,20 nM AF48897_T1160s_1_CH2_BIN1.0_PREPRO,20 nM AF48896_T1142s_1_CH2_BIN1.0_PREPRO,20 nM AF4887_T74s_1_CH2_BIN1.0_PREPRO
0,0.5380282,0.6424242,0.4923077
1,0.33802816,0.58181816,0.48923078
2,0.5267606,0.4121212,0.24
3,0.69859153,0.3909091,0.28615385
4,0.68169016,0.4909091,0.5723077
5,0.6056338,0.34545454,0.38153845
6,0.3830986,0.48181817,0.5323077
7,0.4338028,0.33939394,0.38153845
8,0.3943662,0.3272727,0.43384615
9,0.6140845,0.12727273,0.35076922
10,0.45633802,0.33636364,0.5415385
11,0.29577464,0.46363637,0.43384615
12,0.2028169,0.23939393,0.30153847
13,0.55492955,0.46363637,0.34153846
14,0.22535211,0.38787878,0.40615386
15,0.14366198,0.6151515,0.33846155
16,0.23380281,0.42424244,0.48
17,0.15774648,0.36666667,0.44
18,0.26478875,0.18787879,0.30461538
19,0.4140845,0.3090909,0.6584615
20,0.46197182,0.25454545,0.70153844
21,0.36901408,0.35757574,0.6
22,0.5408451,0.5969697,0.39692307
23,0.5408451,0.3181818,0.30153847
24,0.32676056,0.3,0.31384614
25,0.42535213,0.53636366,0.37538463
26,0.49014086,0.77272725,0.3353846
27,0.3774648,0.6666667,0.40923077
28,0.26760563,0.59090906,0.40615386
29,0.45352113,0.4212121,0.30461538
30,0.45633802,0.34848484,0.26153848
31,0.4084507,0.22424242,0.21846154
32,0.55492955,0.56666666,0.29846153
33,0.36619717,0.5060606,0.23692308
34,0.23943663,0.6121212,0.39076924
35,0.14647888,0.36666667,0.44
36,0.3746479,0.57575756,0.3323077
37,0.5887324,0.27878788,0.51076925
38,0.28732395,0.4181818,0.3323077
39,0.6056338,0.38181818,0.2276923
40,0.2140845,0.21818182,0.34461537
41,0.54366195,0.17878787,0.32307693
42,0.24507043,0.35454544,0.27076924
43,0.2028169,0.33636364,0.08923077
44,0.46478873,0.5242424,0.50153846
45,0.36338028,0.36969697,0.11692308
46,0.4056338,0.4,0.28
47,0.23661971,0.18787879,0.31384614
48,0.35774648,0.25757575,0.32923076
49,0.3943662,0.4121212,0.4523077
50,0.23661971,0.16060606,0.32615384
51,0.22535211,0.4030303,0.32
52,0.30704224,0.23030303,0.19076923
53,0.27605635,0.26060605,0.39384615
54,0.27887323,0.36969697,0.39692307
55,0.44788733,0.44848484,0.45846155
56,0.4,0.37575758,0.43384615
57,0.49014086,0.3181818,0.32923076
58,0.6422535,0.5060606,0.40615386
59,0.55492955,0.5090909,0.38153845
60,0.36619717,0.29393938,0.37846154
61,0.46760562,0.53939396,0.36923078
62,0.1943662,0.23636363,0.26153848
63,0.22253521,0.45757577,0.35076922
64,0.46197182,0.3151515,0.30461538
65,0.34647888,0.3272727,0.24
66,0.35774648,0.33939394,0.36307693
