Time (ms),2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48899_T1187s_1_correlation-CH2_2,2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48899_T1187s_1_correlation-CH2_2 fitted model: ,2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48889_T1067s_1_correlation-CH2_2,2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF48889_T1067s_1_correlation-CH2_2 fitted model: ,2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4885_T51s_1_correlation-CH2_2,2022-03-23_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4885_T51s_1_correlation-CH2_2 fitted model: ,
1e-06,-1.0, ,-1.0, ,-1.0, ,
2e-06,-1.0, ,-1.0, ,-1.0, ,
3e-06,-1.0, ,-1.0, ,-1.0, ,
4e-06,-1.0, ,-1.0, ,-1.0, ,
5e-06,-1.0, ,-1.0, ,-1.0, ,
6e-06,-1.0, ,-1.0, ,-1.0, ,
8e-06,-1.0, ,-1.0, ,-1.0, ,
1e-05,-1.0, ,-1.0, ,-1.0, ,
1.2e-05,-1.0, ,-1.0, ,-1.0, ,
1.4e-05,-1.0, ,-1.0, ,-1.0, ,
1.6e-05,-1.0, ,-1.0, ,-1.0, ,
1.8e-05,-1.0, ,-1.0, ,-1.0, ,
2.2e-05,-1.0, ,-1.0, ,-1.0, ,
2.6e-05,-1.0, ,-1.0, ,-1.0, ,
3e-05,-1.0, ,-1.0, ,-1.0, ,
3.4e-05,-1.0, ,-1.0, ,-1.0, ,
3.8e-05,-1.0, ,-1.0, ,-1.0, ,
4.2e-05,-1.0, ,-1.0, ,-1.0, ,
5e-05,-1.0, ,-1.0, ,-1.0, ,
5.8e-05,-1.0, ,-1.0, ,-1.0, ,
6.6e-05,-1.0, ,-1.0, ,-1.0, ,
7.4e-05,-0.6254212681512481, ,-0.6112574426351074, ,-0.6400507553563177, ,
8.2e-05,-0.7739247168378154, ,-0.765017900044217, ,-0.7775946516679693, ,
9e-05,-1.0, ,-1.0, ,-1.0, ,
0.000106,-0.0859803984035945, ,-0.12397720296023662, ,-0.05470607482634737, ,
0.000122,0.6708726888545182, ,0.6131203683135551, ,0.7236719675386694, ,
0.000138,0.26280702300993997, ,0.23385449629152433, ,0.31110130032408945, ,
0.000154,-0.11691678048642917, ,-0.14724717461374637, ,-0.08535952395035029, ,
0.00017,0.8290506390466201, ,0.7665335220602152, ,0.8835092945069749, ,
0.000186,-0.029384613525094472, ,-0.06734035686784123, ,0.0016580471193023971, ,
0.000218,0.36847886988458933, ,0.3108835845328093, ,0.4106894396116543, ,
0.00025,0.21155421728748913, ,0.1690806214656253, ,0.2529167064898534, ,
0.000282,0.1793645478364727, ,0.14221347789563232, ,0.22377863954207, ,
0.000314,0.24853716952002491, ,0.19372745345695308, ,0.2818208673659761, ,
0.000346,0.3341894093477227, ,0.2880105542449134, ,0.37094370478280125, ,
0.000378,0.1779573603143818, ,0.12899078373571515, ,0.2182358070272783, ,
0.000442,0.2710303797296132, ,0.22491122193946866, ,0.3133896704114021, ,
0.000506,0.1995600767321304, ,0.1553431784990449, ,0.2403614333729931, ,
0.00057,0.2760820200889622, ,0.22568649005061991, ,0.31781379237045804, ,
0.000634,0.21030647419083248, ,0.16287244490569108, ,0.24936221494641875, ,
0.000698,0.25866245326111326, ,0.21010703278656062, ,0.2969544074909458, ,
0.000762,0.23394853060920884, ,0.18480280085308465, ,0.2694334301748367, ,
0.00089,0.23589993553561173, ,0.19048386598626887, ,0.2778545020034833, ,
0.001018,0.24177060942822282,0.23885443210852622,0.18963730554278047,0.19104437798935728,0.2788232448796306,0.2771271960857538,
0.001146,0.23954988947598355,0.2386783020653076,0.19169329032900428,0.19086104824720673,0.2797996155485114,0.2770342567399512,
0.001274,0.2371285336757032,0.2385043775516868,0.18842484112893287,0.1906800503587299,0.27791048805488816,0.27694191691261066,
0.001402,0.2370735808053528,0.23833261651455784,0.19134910874203093,0.19050133899257754,0.27781134343199554,0.27685017062424006,
0.00153,0.23738142142829322,0.23816297796321162,0.19023896241599925,0.19032486998492879,0.27515181127443,0.27675901197461067,
0.001786,0.23835714776617611,0.23782990946822982,0.18949475047791653,0.1899784880048394,0.27594894572843653,0.27657843437914864,
0.002042,0.23549743212538865,0.23750486415289002,0.1911491698619625,0.18964057307437185,0.2763608779084885,0.27640013846055905,
0.002298,0.23702834249196192,0.23718754909309966,0.191149200366993,0.18931081028239483,0.27595409625791456,0.27622407974024826,
0.002554,0.23528724006058388,0.2368776854533355,0.18811954378864781,0.18898890014447478,0.27679572611287484,0.2760502148883717,
0.00281,0.23465650565082719,0.23657500764969755,0.18659852861480863,0.18867455766966187,0.274832879536711,0.27587850168698586,
0.003066,0.23884515371405524,0.2362792625719257,0.18831031678803223,0.18836751149420974,0.27708564674337777,0.27570889899460904,
0.003578,0.23541242043797994,0.23570761622810205,0.18702810975371031,0.18777428594951934,0.27603816510187906,0.275375865750004,
0.00409,0.23510259752174822,0.23516094472207325,0.1873398221378273,0.18720729593256352,0.27562696651494867,0.2750508062881968,
0.004602,0.2342451486189916,0.23463760445608828,0.1865188903021664,0.18666478586791052,0.2739686273988642,0.2747334269133945,
0.005114,0.23451318439614033,0.23413609296460164,0.18680346884487742,0.1861451534159581,0.27242470467721214,0.27442344818025477,
0.005626,0.2323591603659092,0.23365503408424587,0.18482198342844902,0.18564693311094907,0.2746698772126632,0.2741206040399355,
0.006138,0.2334043165883879,0.23319316495530235,0.18514144829201395,0.18516878205164278,0.27281448702293476,0.273824641046823,
0.007162,0.2323596932710139,0.23232244383270995,0.1841686272601306,0.18426785509340451,0.273235098362431,0.27325240336172757,
0.008186,0.23196851073049296,0.23151569105764708,0.18346559407884588,0.1834336398362218,0.27252997757892605,0.2727049328447507,
0.00921,0.23045321709979016,0.23076587557516876,0.18349556255616495,0.1826587014735212,0.2715690083953999,0.27218058664194367,
0.010234,0.23080960940866335,0.23006696041499095,0.18292199644225615,0.18193667061048335,0.27056259018979234,0.27167786407885747,
0.011258,0.22997249248464535,0.22941373300397583,0.18086265734719542,0.18126205902212206,0.2700014431810822,0.27119539160526956,
0.012282,0.22997880246055513,0.22880166908938956,0.18224815602270383,0.18063011236642992,0.26957823168105977,0.27073190961326543,
0.01433,0.22849472555702133,0.2276857368678936,0.18074227451516944,0.17947817601740051,0.2699605163247645,0.2698573802868676,
0.016378,0.22682684614395132,0.22669303424026785,0.17877976798938122,0.17845351495723646,0.26921516104854004,0.2690460713231256,
0.018426,0.22747074782008792,0.22580319161708784,0.17936280654832126,0.17753487427095005,0.2683773186209448,0.26829098855519173,
0.020474,0.22550397457966587,0.22500009510474064,0.17718555358607713,0.17670548399567987,0.26770013602262055,0.2675861330883677,
0.022522,0.2251038120956299,0.22427083028166744,0.17719374112079156,0.1759519354492726,0.2663777697301646,0.2669263303474341,
