Time (ms),hs-pex5_noc,hs-pex5_noc fitted model: ,tb-pex5_noc,tb-pex5_noc fitted model: ,tb-pex5_0cd20,tb-pex5_0cd20 fitted model: ,tb-pex5_thr-7,tb-pex5_thr-7 fitted model: ,
1e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
4e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
6e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
8e-06,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.4e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.6e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
1.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
2.6e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3.4e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
3.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
4.2e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
5.8e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
6.6e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
7.4e-05,5.3075858746752305, ,6.701752921914162, ,7.096851449673772, ,6.809622015516164, ,
8.2e-05,2.812448298166026, ,3.635595852384011, ,3.8772955541993483, ,3.700367132674002, ,
9e-05,-1.0, ,-1.0, ,-1.0, ,-1.0, ,
0.000106,2.2986734570163714, ,2.8863007991872958, ,2.8710820516622024, ,2.7635299365726174, ,
0.000122,4.048358047469864, ,4.9854626002986135, ,4.873052282105774, ,4.739512499141148, ,
0.000138,2.116445551062276, ,2.648831509156167, ,2.5055892756430436, ,2.4367482568409775, ,
0.000154,1.151416895864062, ,1.5047905096187635, ,1.4009955896959754, ,1.357371610856636, ,
0.00017,3.0486415902891153, ,3.687941223661952, ,3.41486549794274, ,3.3516479793875815, ,
0.000186,0.9637816698808667, ,1.2853244103968788, ,1.1233956146599289, ,1.1093892647987655, ,
0.000218,1.6433538337418685, ,2.054431504093931, ,1.8176983547069356, ,1.7901729460094147, ,
0.00025,1.2181345127741319, ,1.552594387131201, ,1.3341237127255137, ,1.3142389577059448, ,
0.000282,1.0837794142327926, ,1.4159494242890036, ,1.1970346777050909, ,1.1859803378497438, ,
0.000314,1.1358140473872844, ,1.467049426245581, ,1.2358621033160064, ,1.2243661533588268, ,
0.000346,1.2497530590482588, ,1.6254937819974695, ,1.3778171905552694, ,1.361341183060597, ,
0.000378,0.96613784550375, ,1.253382881807207, ,1.037315222540077, ,1.01573451393568, ,
0.000442,1.0922282511544394, ,1.4074400997861163, ,1.1620000840216447, ,1.1544380127752334, ,
0.000506,0.96349277169351, ,1.2600709376314423, ,1.0301006574131717, ,1.022157916172927, ,
0.00057,1.0591992941008097, ,1.3759802570825048, ,1.1283350852123475, ,1.119300380709195, ,
0.000634,0.9541487656242952, ,1.2382991609571516, ,0.9989185588978254, ,0.9947882698242004, ,
0.000698,1.0123770220331618, ,1.314380694412484, ,1.0689890908801536, ,1.0636902578686704, ,
0.000762,0.9571286658859062, ,1.2610818943474476, ,1.0191780607261476, ,1.0143282044409683, ,
0.00089,0.9675743054041672, ,1.253787635523865, ,1.0162617439062631, ,1.007954792073199, ,
0.001018,0.9482146035312157,0.9179238950444691,1.2541390815973896,1.2025587031503226,1.0148949885962255,0.9638014102552345,1.0037710969088538,0.9594463903773885,
0.001146,0.9530319023668704,0.9169608428059609,1.2336443802528625,1.2014774308300322,0.9999451433014045,0.9628013383090809,0.995525655671075,0.9584147734259822,
0.001274,0.9484553438579854,0.9160004989115101,1.2382341464681805,1.2003991546180708,0.9912397928696401,0.961804025824086,0.9867997206521788,0.9573860679670579,
0.001402,0.9417991076941077,0.9150428539958907,1.2181412207100575,1.1993238643746684,0.9868107122601035,0.9608094632385412,0.9778227546305317,0.9563602638766175,
