name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),N (mom),bri (kHz),above zero
2022-05-17_multipletau_labthresh-0dot04_cutandshift_0dot069-0dot1_1600_correlation-CH1_1,Not known,labthresh-0dot04_cutandshift_0dot069-0dot1,0,Thu Jul 21 18:18:21 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.000736,0.0011460402295164005,0.069372,0.0014818041092853674,14.41503776739895,0.069372,1.0,0,151.759291,14.448977875797262,1.0,0,1.0,1.0,0.9090909090909091
2022-05-17_multipletau_labthresh-0dot04_cutandshift_0dot069-0dot1_1601_correlation-CH1_1,Not known,labthresh-0dot04_cutandshift_0dot069-0dot1,0,Thu Jul 21 18:18:21 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0034048605881575877,0.0005301554610942598,0.05313914155670658,0.0009014021072493246,18.818520034480912,0.053139141556706584,1.0,0,75.42199134358127,5.257574014113967,1.0,0,1.0,1.0,0.7954545454545454
2022-05-17_multipletau_labthresh-0dot04_cutandshift_0dot069-0dot1_1602_correlation-CH1_1,Not known,labthresh-0dot04_cutandshift_0dot069-0dot1,0,Thu Jul 21 18:18:21 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0003468516685901646,0.0007797010744908121,0.05394432535956926,0.0012625246450230284,18.537631035969728,0.053944325359569265,1.0,0,84.12101053479259,8.239315914773991,1.0,0,1.0,1.0,0.9090909090909091
2022-05-17_multipletau_labthresh-0dot04_cutandshift_0dot069-0dot1_1603_correlation-CH1_1,Not known,labthresh-0dot04_cutandshift_0dot069-0dot1,0,Thu Jul 21 18:18:21 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0035011021981682378,0.0006884984115772448,0.06455006945928564,0.001089980424082298,15.491850099878526,0.06455006945928564,1.0,0,88.65837087816453,6.314172707289811,1.0,0,1.0,1.0,0.8409090909090909
2022-05-17_multipletau_labthresh-0dot04_cutandshift_0dot069-0dot1_1604_correlation-CH1_1,Not known,labthresh-0dot04_cutandshift_0dot069-0dot1,0,Thu Jul 21 18:18:21 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.027018490860659106,0.0030602767147857508,0.09780684188005048,0.0029502826056746617,10.22423360961181,0.09780684188005047,1.0,0,760.7745165830748,86.98589887036512,1.0,0,1.0,1.0,0.875
2022-05-17_multipletau_labthresh-0dot04_cutandshift_0dot069-0dot1_1605_correlation-CH1_1,Not known,labthresh-0dot04_cutandshift_0dot069-0dot1,0,Thu Jul 21 18:18:21 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.006208106140809355,0.0008865745167309278,0.06811753957359169,0.0014342683771013465,14.680506757288798,0.06811753957359169,1.0,0,84.32213431127505,7.431353557114218,1.0,0,1.0,1.0,0.7159090909090909
2022-05-17_multipletau_labthresh-0dot04_cutandshift_0dot069-0dot1_1606_correlation-CH1_1,Not known,labthresh-0dot04_cutandshift_0dot069-0dot1,0,Thu Jul 21 18:18:21 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.00788711121554353,0.0010012849479574173,0.07813618739104457,0.0014119243007512333,12.798167320288437,0.07813618739104457,1.0,0,118.37763873207138,9.353370911864452,1.0,0,1.0,1.0,0.7954545454545454
2022-05-17_multipletau_labthresh-0dot04_cutandshift_0dot069-0dot1_1607_correlation-CH1_1,Not known,labthresh-0dot04_cutandshift_0dot069-0dot1,0,Thu Jul 21 18:18:21 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.00030583731601840913,0.0007345565571856144,0.05442758740958148,0.0011234297847084278,18.373035579819934,0.05442758740958148,1.0,0,96.24121080291303,8.478010627781964,1.0,0,1.0,1.0,0.875
2022-05-17_multipletau_labthresh-0dot04_cutandshift_0dot069-0dot1_1608_correlation-CH1_1,Not known,labthresh-0dot04_cutandshift_0dot069-0dot1,0,Thu Jul 21 18:18:21 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.00995869464873389,0.0024782756161997005,0.062189243200349444,0.002539573004494832,16.079951267108857,0.06218924320034945,1.0,0,412.0013491131507,71.94833641706431,1.0,0,1.0,1.0,0.8977272727272727
2022-05-17_multipletau_labthresh-0dot04_cutandshift_0dot069-0dot1_1609_correlation-CH1_1,Not known,labthresh-0dot04_cutandshift_0dot069-0dot1,0,Thu Jul 21 18:18:21 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.005947610735509756,0.0013048196748528572,0.0858551769707216,0.0016784144899556375,11.64752127109377,0.0858551769707216,1.0,0,154.1706860842825,13.446728273436847,1.0,0,1.0,1.0,0.8522727272727273
2022-05-17_multipletau_labthresh-0dot04_cutandshift_0dot069-0dot1_1610_correlation-CH1_1,Not known,labthresh-0dot04_cutandshift_0dot069-0dot1,0,Thu Jul 21 18:18:21 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0009942504662669993,0.0009116436886016293,0.05944693322083431,0.0012879872202047145,16.821725626874407,0.05944693322083431,1.0,0,117.74929135246651,11.15071590366341,1.0,0,1.0,1.0,0.8863636363636364
2022-05-17_multipletau_labthresh-0dot04_cutandshift_0dot069-0dot1_1611_correlation-CH1_1,Not known,labthresh-0dot04_cutandshift_0dot069-0dot1,0,Thu Jul 21 18:18:21 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.007555821592735934,0.0014550442010782675,0.07583937862492574,0.001690043865562537,13.185762042508813,0.07583937862492574,1.0,0,219.58434369365818,21.970461865918384,1.0,0,1.0,1.0,0.8636363636363636
2022-05-17_multipletau_labthresh-0dot04_cutandshift_0dot069-0dot1_1612_correlation-CH1_1,Not known,labthresh-0dot04_cutandshift_0dot069-0dot1,0,Thu Jul 21 18:18:21 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.006688345624650371,0.001392458744455429,0.0700888636966661,0.001953985263814195,14.267601830839308,0.0700888636966661,1.0,0,119.96678785535153,14.64119339142307,1.0,0,1.0,1.0,0.75
2022-05-17_multipletau_labthresh-0dot04_cutandshift_0dot069-0dot1_1613_correlation-CH1_1,Not known,labthresh-0dot04_cutandshift_0dot069-0dot1,0,Thu Jul 21 18:18:22 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.008736321680027026,0.0016072293500496693,0.07241704049757942,0.0018325018143703746,13.80890454966087,0.07241704049757942,1.0,0,236.5898885624485,26.834547622162027,1.0,0,1.0,1.0,0.8068181818181818
2022-05-17_multipletau_labthresh-0dot04_cutandshift_0dot069-0dot1_1614_correlation-CH1_1,Not known,labthresh-0dot04_cutandshift_0dot069-0dot1,0,Thu Jul 21 18:18:22 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.003719894809523061,0.0007010725911300032,0.05841654692596864,0.0011159456494907781,17.118437371303393,0.05841654692596864,1.0,0,87.51646416663088,7.03901205137834,1.0,0,1.0,1.0,0.8636363636363636
2022-05-17_multipletau_labthresh-0dot04_cutandshift_0dot069-0dot1_1615_correlation-CH1_1,Not known,labthresh-0dot04_cutandshift_0dot069-0dot1,0,Thu Jul 21 18:18:22 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.012784682460384778,0.0032372710409415886,0.08524446183235221,0.0033899865137267276,11.730967367319073,0.08524446183235221,1.0,0,358.83446122207,62.08944729386125,1.0,0,1.0,1.0,0.875
2022-05-17_multipletau_labthresh-0dot04_cutandshift_0dot069-0dot1_1616_correlation-CH1_1,Not known,labthresh-0dot04_cutandshift_0dot069-0dot1,0,Thu Jul 21 18:18:22 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0041886294848688665,0.0006834974471176829,0.06074433021014205,0.0010894546300836694,16.462441787415365,0.06074433021014205,1.0,0,87.25743745562704,6.585029204650801,1.0,0,1.0,1.0,0.8295454545454546
2022-05-17_multipletau_labthresh-0dot04_cutandshift_0dot069-0dot1_1617_correlation-CH1_1,Not known,labthresh-0dot04_cutandshift_0dot069-0dot1,0,Thu Jul 21 18:18:22 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.005448575865794281,0.0006908833732152122,0.06806697147337022,0.0009617278530847375,14.691413153165321,0.06806697147337022,1.0,0,122.58001265934905,7.598903948479603,1.0,0,1.0,1.0,0.8068181818181818
2022-05-17_multipletau_labthresh-0dot04_cutandshift_0dot069-0dot1_1618_correlation-CH1_1,Not known,labthresh-0dot04_cutandshift_0dot069-0dot1,0,Thu Jul 21 18:18:22 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.003366397535021659,0.0007434650951412172,0.051026252001145814,0.0010350018499805508,19.59775528834735,0.051026252001145814,1.0,0,122.55933456707517,10.906649792357836,1.0,0,1.0,1.0,0.8863636363636364
