name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),N (mom),bri (kHz),above zero
2022-05-17_multipletau_labthresh-0dot04_delete_3dot0-0dot01_0500_correlation-CH1_1,Not known,labthresh-0dot04_delete_3dot0-0dot01,0,Thu Jul 21 18:40:32 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.000115,7.247272301840125e-05,0.04025,0.000658140455322896,24.84472049689441,0.04025,1.0,0,4.827293,0.16597780700841863,1.0,0,1.0,1.0,0.776595744680851
2022-05-17_multipletau_labthresh-0dot04_delete_3dot0-0dot01_0501_correlation-CH1_1,Not known,labthresh-0dot04_delete_3dot0-0dot01,0,Thu Jul 21 18:40:32 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.07318261307710427,0.011652413309506907,0.4064720283731801,0.011331247974478247,2.4601938883772454,0.40647202837318014,1.0,0,667.0797555633542,72.75685860510595,1.0,0,1.0,1.0,0.851063829787234
2022-05-17_multipletau_labthresh-0dot04_delete_3dot0-0dot01_0502_correlation-CH1_1,Not known,labthresh-0dot04_delete_3dot0-0dot01,0,Thu Jul 21 18:40:32 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.07326852731521671,0.006999427399475208,0.22900337457201192,0.006664105814842924,4.366747878143351,0.2290033745720119,1.0,0,1036.8556339780125,104.96446079829082,1.0,0,1.0,1.0,0.8297872340425532
2022-05-17_multipletau_labthresh-0dot04_delete_3dot0-0dot01_0503_correlation-CH1_1,Not known,labthresh-0dot04_delete_3dot0-0dot01,0,Thu Jul 21 18:40:32 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.00034982584647169634,7.945025350518319e-05,0.03637794986895497,0.0009638418030945088,27.489179670715924,0.03637794986895497,1.0,0,3.3675368976433044,0.17417226267643351,1.0,0,1.0,1.0,0.6063829787234043
2022-05-17_multipletau_labthresh-0dot04_delete_3dot0-0dot01_0504_correlation-CH1_1,Not known,labthresh-0dot04_delete_3dot0-0dot01,0,Thu Jul 21 18:40:32 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.49999999680309437,0.08920571037259055,0.9121938208098179,0.08730579729128893,1.096258248178255,0.9121938208098179,1.0,0,5757.079286831581,1023.2517318794936,1.0,0,1.0,1.0,0.8617021276595744
2022-05-17_multipletau_labthresh-0dot04_delete_3dot0-0dot01_0505_correlation-CH1_1,Not known,labthresh-0dot04_delete_3dot0-0dot01,0,Thu Jul 21 18:40:32 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.4999999999864648,0.0489173994580448,0.8373388248765261,0.04818124466673201,1.1942596835247188,0.8373388248765261,1.0,0,6998.470368232964,697.8737442721073,1.0,0,1.0,1.0,0.8404255319148937
2022-05-17_multipletau_labthresh-0dot04_delete_3dot0-0dot01_0506_correlation-CH1_1,Not known,labthresh-0dot04_delete_3dot0-0dot01,0,Thu Jul 21 18:40:32 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.08311287117657173,0.01002834965556354,0.5695488165894083,0.011071442083373023,1.755775748930942,0.5695488165894083,1.0,0,272.3286267350299,23.582251060941893,1.0,0,1.0,1.0,0.7659574468085106
2022-05-17_multipletau_labthresh-0dot04_delete_3dot0-0dot01_0507_correlation-CH1_1,Not known,labthresh-0dot04_delete_3dot0-0dot01,0,Thu Jul 21 18:40:32 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.002210375654995933,0.0007495216816131809,0.058258971166631375,0.0013116141673366023,17.1647384080954,0.058258971166631375,1.0,0,70.84461546846289,6.482822726773247,1.0,0,1.0,1.0,0.8085106382978723
2022-05-17_multipletau_labthresh-0dot04_delete_3dot0-0dot01_0508_correlation-CH1_1,Not known,labthresh-0dot04_delete_3dot0-0dot01,0,Thu Jul 21 18:40:32 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.4025665836168846,0.04851995526139443,1.2117348323322785,0.04614707790214423,0.8252630635988706,1.2117348323322785,1.0,0,1093.6179765023555,142.55054829512352,1.0,0,1.0,1.0,0.7872340425531915
2022-05-17_multipletau_labthresh-0dot04_delete_3dot0-0dot01_0509_correlation-CH1_1,Not known,labthresh-0dot04_delete_3dot0-0dot01,0,Thu Jul 21 18:40:32 2022,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0013965989867985584,0.00038719124067862856,0.03955571935112595,0.0012216753959424969,25.28079419118275,0.03955571935112595,1.0,0,23.917460373804968,2.314929906976553,1.0,0,1.0,1.0,0.6170212765957447
