name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),N (mom),bri (kHz),above zero
2022-07-14_multipletau_40-cuts_0dot2_0000_correlation-CH1_1,Not known,40-cuts,0,Fri Jul 15 12:27:11 2022,Equation 1A,1,no triplet,1,2D,1.0,10240.0,-0.004043,0.0004846548021589784,0.08011,0.0010555225876964973,12.482836100362002,0.08011,1.0,0,48.475641,2.3813474467981024,1.0,0,1.0,1.0,0.7446808510638298
2022-07-14_multipletau_40-cuts_0dot2_0001_correlation-CH1_1,Not known,40-cuts,0,Fri Jul 15 12:27:11 2022,Equation 1A,1,no triplet,1,2D,1.0,10240.0,-0.0022663257605133325,0.00039751109978416555,0.05654838041089645,0.00083894119923149,17.68397242739259,0.056548380410896444,1.0,0,51.517629074808085,2.8889864281865334,1.0,0,1.0,1.0,0.7659574468085106
2022-07-14_multipletau_40-cuts_0dot2_0002_correlation-CH1_1,Not known,40-cuts,0,Fri Jul 15 12:27:11 2022,Equation 1A,1,no triplet,1,2D,1.0,10240.0,-0.0022031002078396478,0.0006461652603993224,0.07933586106502236,0.0016019719669301696,12.604640405685098,0.07933586106502236,1.0,0,38.06914285563501,2.704960580500084,1.0,0,1.0,1.0,0.7446808510638298
2022-07-14_multipletau_40-cuts_0dot2_0003_correlation-CH1_1,Not known,40-cuts,0,Fri Jul 15 12:27:11 2022,Equation 1A,1,no triplet,1,2D,1.0,10240.0,-0.003435239850128169,0.0005036016383661601,0.07303350704991729,0.0011979302625976002,13.692345341111926,0.07303350704991729,1.0,0,41.06689202699634,2.4147390313086863,1.0,0,1.0,1.0,0.6595744680851063
2022-07-14_multipletau_40-cuts_0dot2_0004_correlation-CH1_1,Not known,40-cuts,0,Fri Jul 15 12:27:11 2022,Equation 1A,1,no triplet,1,2D,1.0,10240.0,-0.0033897605300665656,0.0005558882318792433,0.07094816019692299,0.0012610531463049328,14.094798191022997,0.07094816019692299,1.0,0,44.85946306925882,2.9196887415850052,1.0,0,1.0,1.0,0.7340425531914894
2022-07-14_multipletau_40-cuts_0dot2_0005_correlation-CH1_1,Not known,40-cuts,0,Fri Jul 15 12:27:11 2022,Equation 1A,1,no triplet,1,2D,1.0,10240.0,-0.0020137735698482206,0.0005187257030747554,0.06754344967120493,0.0012880258256470001,14.805284670355224,0.06754344967120493,1.0,0,37.967916373722964,2.5456786403666705,1.0,0,1.0,1.0,0.7446808510638298
2022-07-14_multipletau_40-cuts_0dot2_0006_correlation-CH1_1,Not known,40-cuts,0,Fri Jul 15 12:27:11 2022,Equation 1A,1,no triplet,1,2D,1.0,10240.0,-0.004756066438583173,0.0007394183133134653,0.07803919226559462,0.001600509828235878,12.81407419744493,0.07803919226559462,1.0,0,49.058425257419785,3.7610051141512386,1.0,0,1.0,1.0,0.723404255319149
2022-07-14_multipletau_40-cuts_0dot2_0007_correlation-CH1_1,Not known,40-cuts,0,Fri Jul 15 12:27:11 2022,Equation 1A,1,no triplet,1,2D,1.0,10240.0,-0.0034902144074504537,0.0006976251307309689,0.06811115090685847,0.001684707862364151,14.681883754504355,0.06811115090685847,1.0,0,39.94875025167539,3.517779586229855,1.0,0,1.0,1.0,0.6595744680851063
2022-07-14_multipletau_40-cuts_0dot2_0008_correlation-CH1_1,Not known,40-cuts,0,Fri Jul 15 12:27:11 2022,Equation 1A,1,no triplet,1,2D,1.0,10240.0,-0.0037496653777229216,0.0007426884122957195,0.07590165634321287,0.0016285917030289206,13.174943053656035,0.07590165634321287,1.0,0,47.84335319677724,3.8159255946626742,1.0,0,1.0,1.0,0.7021276595744681
2022-07-14_multipletau_40-cuts_0dot2_0009_correlation-CH1_1,Not known,40-cuts,0,Fri Jul 15 12:27:11 2022,Equation 1A,1,no triplet,1,2D,1.0,10240.0,-0.004122494287844836,0.0008884845963055936,0.0864633941286565,0.0020039954535212997,11.5655880743244,0.0864633941286565,1.0,0,45.34787306607468,3.858582596800583,1.0,0,1.0,1.0,0.7340425531914894
2022-07-14_multipletau_40-cuts_0dot2_0010_correlation-CH1_1,Not known,40-cuts,0,Fri Jul 15 12:27:11 2022,Equation 1A,1,no triplet,1,2D,1.0,10240.0,-0.004939989893005259,0.0007446028867496126,0.09145550473576138,0.0014141774754297875,10.934278946786844,0.09145550473576138,1.0,0,63.69549445306808,3.8935415584811106,1.0,0,1.0,1.0,0.7659574468085106
