name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),T1,stdev(T1),tauT1,stdev(tauT1),N (mom),bri (kHz),above zero
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:54:14 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.025802,0.0015910433287071929,0.654797,0.0031059125941036176,1.5271908698421037,15.678359310015502,1.0,0,0.365158,0.01464912246627861,1.0,0,6.0,0,0.203163,0.012605678328531818,0.04,0,2.9549672588055826,8.103117136775321,0.8388888888888889
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:54:14 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.004798792438400978,0.0008462199477184929,0.4686579180331909,0.0016736593671738864,2.1337524909355716,15.835125936821148,1.0,0,0.32409003511550144,0.009845137223768745,1.0,0,6.0,0,0.1751249369075225,0.010237880258378355,0.04,0,4.4732239385608645,7.553631261345771,0.7888888888888889
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:54:14 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0008370673112514382,0.001167297997920505,0.4282192873168002,0.002295569243067291,2.335252123429442,16.316827126701057,1.0,0,0.33876258880765014,0.01573375294925536,1.0,0,6.0,0,0.19990478251064037,0.014935610712148061,0.04,0,5.014485547304746,7.598956563913309,0.7444444444444445
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100004_T67s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:54:14 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0015368233042090118,0.0013676012409836792,0.43050577847748306,0.002679069264052088,2.322849192725304,15.825004961631645,1.0,0,0.34877733794382343,0.01911794829038374,1.0,0,6.0,0,0.2187011979641329,0.017017611906416423,0.04,0,5.041818647397618,7.291023650652138,0.8
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100005_T89s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:54:14 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0018862803288066665,0.0011272403951634012,0.46834442792070474,0.0022047997318381416,2.1351807353397394,16.076937090225268,1.0,0,0.35553206180339814,0.01453076702140387,1.0,0,6.0,0,0.21401790990133174,0.01271789672943979,0.04,0,4.565586056902574,7.518864867292473,0.7666666666666667
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100006_T111s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:54:14 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0018060252040283942,0.0015396356184805913,0.49704444196381115,0.0030107936091424196,2.011892530271585,15.8795496860149,1.0,0,0.3554758652531303,0.018802490789963013,1.0,0,6.0,0,0.21784853365619528,0.016365250924432286,0.04,0,4.289193051823605,7.4486612679693405,0.7944444444444444
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100007_T133s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:54:14 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.00044296528525034073,0.0018084341840137778,0.5644381740109083,0.0035329604551020593,1.7716732248883542,15.83201239573424,1.0,0,0.3592924709157683,0.019541759548061612,1.0,0,6.0,0,0.21733432423404198,0.016797865177138847,0.04,0,3.798798894757322,7.383874355060413,0.7222222222222222
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100008_T156s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:54:14 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.002916309980536047,0.002045003907236388,0.6142438102627021,0.003987821609098386,1.6280180333804524,15.863148162394191,1.0,0,0.3663356118622351,0.02050727018260781,1.0,0,6.0,0,0.21707897695094625,0.01721286182499756,0.04,0,3.447481239591055,7.491306018922833,0.7888888888888889
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:54:14 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0016670514781680357,0.0013353933951683362,0.6521088315922391,0.0026015784358422453,1.5334863623274708,15.996736026784747,1.0,0,0.371580199504857,0.0125789933852138,1.0,0,6.0,0,0.20985400619327743,0.010487560792916576,0.04,0,3.2048777660172885,7.654391725748812,0.7888888888888889
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:54:14 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0004263022098197622,0.001931373922942745,0.6463359358908005,0.0038155520836689713,1.547183042857997,14.869346187712512,1.0,0,0.324626145975269,0.016690846643844088,1.0,0,6.0,0,0.19186102363893953,0.01690817873780352,0.04,0,3.3648485471414613,6.8372098003353425,0.7
