name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2),T1,stdev(T1),tauT1,stdev(tauT1),N (mom),bri (kHz),above zero
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:55:20 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.01943,None,0.660902,None,1.513083634184796,15.824536497124857,0.017119,None,0.982881,None,265.543903,None,0.355119,None,1.0,None,1.0,None,6.0,None,6.0,None,0.196499,None,0.04,None,2.9549672588055826,8.103117136775321,0.8388888888888889
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:55:20 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.008907722847491528,None,0.4821524088843398,None,2.074032985366424,16.291081024442416,0.03842510844806424,None,0.9615748915519358,None,1219.945620457404,None,0.31585082067153036,None,1.0,None,1.0,None,6.0,None,6.0,None,0.1654802439685632,None,0.04,None,4.4732239385608645,7.553631261345771,0.7888888888888889
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:55:21 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.00013999128424146967,None,0.4288270512230618,None,2.3319424396103052,16.339985304966348,0.005405501783802669,None,0.9945944982161974,None,33.83423563607376,None,0.3331501288944575,None,1.0,None,1.0,None,6.0,None,6.0,None,0.19674139580277972,None,0.04,None,5.014485547304746,7.598956563913309,0.7444444444444445
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100004_T67s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:55:21 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0021605563679266693,None,0.4576903301598966,None,2.184883389716022,16.824284615380652,0.14397839015905922,None,0.8560216098409408,None,0.0037161246407753376,None,0.3108678916643516,None,1.0,None,1.0,None,6.0,None,6.0,None,0.09369076717741232,None,0.04,None,5.041818647397618,7.291023650652138,0.8
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100005_T89s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:55:21 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.003139089066465317,None,0.4732963828625582,None,2.1128409939494355,16.246923671313166,0.015122493915556978,None,0.984877506084443,None,1273.1045076742607,None,0.3523257493907129,None,1.0,None,1.0,None,6.0,None,6.0,None,0.21027484944219355,None,0.04,None,4.565586056902574,7.518864867292473,0.7666666666666667
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100006_T111s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:55:21 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.00180604342704771,None,0.49704441840181673,None,2.0118926256437466,15.87954893325754,6.958877918350481e-11,None,0.9999999999304112,None,1954.982887986862,None,0.3554758401902909,None,1.0,None,1.0,None,6.0,None,6.0,None,0.21784852182737957,None,0.04,None,4.289193051823605,7.4486612679693405,0.7944444444444444
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100007_T133s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:55:21 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0011669068586318554,None,0.5938763656171817,None,1.6838521582867796,16.657728720175317,0.12816873766282838,None,0.8718312623371716,None,0.004162644316221449,None,0.3251830241601903,None,1.0,None,1.0,None,6.0,None,6.0,None,0.10635599306596522,None,0.04,None,3.798798894757322,7.383874355060413,0.7222222222222222
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100008_T156s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:55:22 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0021887735273202757,None,0.6149543784503156,None,1.6261368892437174,15.881498934923387,0.0018529757572899874,None,0.99814702424271,None,615.8865070696247,None,0.3656734125084646,None,1.0,None,1.0,None,6.0,None,6.0,None,0.21652805547672793,None,0.04,None,3.447481239591055,7.491306018922833,0.7888888888888889
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:55:22 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0016670636836753072,None,0.6521088073853607,None,1.5334864192518942,15.996735432971224,1.0059793886796342e-08,None,0.9999999899402061,None,435.94599729746943,None,0.37158002521572703,None,1.0,None,1.0,None,6.0,None,6.0,None,0.20985387629118835,None,0.04,None,3.2048777660172885,7.654391725748812,0.7888888888888889
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:55:22 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.006200889438560564,None,0.652807743768362,None,1.531844573759887,15.018234012832737,0.015329457115469292,None,0.9846705428845307,None,595.7399955030418,None,0.31953890618518754,None,1.0,None,1.0,None,6.0,None,6.0,None,0.1871118289549223,None,0.04,None,3.3648485471414613,6.8372098003353425,0.7
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000011_T221s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:55:22 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0008909956860959634,None,0.715138684453757,None,1.3983301725088864,15.67819717819106,0.002657465045085572,None,0.9973425349549144,None,0.3549211737165176,None,0.3554335659428592,None,1.0,None,1.0,None,6.0,None,6.0,None,0.22135451863536382,None,0.04,None,3.0154625430203708,7.270474753223794,0.7222222222222222
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000012_T244s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:55:22 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0018406872919024542,None,0.690265583291904,None,1.4487177460463265,15.385028925785434,0.0049003747460391045,None,0.9950996252539609,None,98.35786826596909,None,0.3488780127985717,None,1.0,None,1.0,None,6.0,None,6.0,None,0.21883295407448822,None,0.04,None,3.15538134247935,7.06384403813853,0.7222222222222222
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000013_T266s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:55:22 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0033757155574761777,None,0.721569515888234,None,1.3858678588562947,15.915552627683303,0.01814069100001503,None,0.981859308999985,None,142.06500107801963,None,0.34899117704355037,None,1.0,None,1.0,None,6.0,None,6.0,None,0.2243322287919236,None,0.04,None,3.0351292334479436,7.267369066939342,0.7222222222222222
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000014_T287s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:55:22 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.003932485498186478,None,0.7086125372804007,None,1.4112084494552148,15.74654764264814,0.011436485692815634,None,0.9885635143071844,None,352.86598181472385,None,0.34889102277168615,None,1.0,None,1.0,None,6.0,None,6.0,None,0.20194459683048338,None,0.04,None,3.027171137719883,7.340918519389729,0.7611111111111111
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000015_T309s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:55:23 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0008416039131351472,None,0.6829255594787896,None,1.4642884368879125,15.184994431728942,0.015933441636474754,None,0.9840665583635253,None,6.836877974635752,None,0.35962092403525725,None,1.0,None,1.0,None,6.0,None,6.0,None,0.19745614830335434,None,0.04,None,3.067701201631083,7.248348591040593,0.7944444444444444
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000016_T331s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:55:23 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.00037328118254009723,None,0.6984822442184455,None,1.4316756199277942,15.60186995568772,3.0742659529181537e-09,None,0.999999996925734,None,148.48281546703612,None,0.3609521076318871,None,1.0,None,1.0,None,6.0,None,6.0,None,0.23236045841718012,None,0.04,None,3.127443581199993,7.14237514544609,0.7333333333333333
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000017_T353s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:55:23 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,0.00010617596912099181,None,0.6828479453054945,None,1.4644548715052763,15.624171485177648,1.2879134164700545e-07,None,0.9999998712086584,None,981.264726038441,None,0.358645778198641,None,1.0,None,1.0,None,6.0,None,6.0,None,0.23460119389490108,None,0.04,None,3.208968829721854,7.130473159485803,0.7388888888888889
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000018_T375s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:55:23 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.006242935359879853,None,0.7043990290523068,None,1.419649884164935,15.846318914380266,0.013624190063869945,None,0.98637580993613,None,1148.670390243943,None,0.36281579669814523,None,1.0,None,1.0,None,6.0,None,6.0,None,0.23062260367751053,None,0.04,None,3.1040943210439216,7.247456079710444,0.7277777777777777
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000019_T396s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:55:23 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0033328275888364622,None,0.6988154958770308,None,1.4309928813827677,15.684649814206852,0.010002977390252243,None,0.9899970226097478,None,515.2867528594078,None,0.36579366958962894,None,1.0,None,1.0,None,6.0,None,6.0,None,0.2221220059110962,None,0.04,None,3.1174895856743774,7.19976210727222,0.7333333333333333
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000020_T418s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:55:23 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0020631525524633654,None,0.7002573325420882,None,1.4280464531085735,15.558290032989344,0.005868973113506537,None,0.9941310268864935,None,87.59270665068746,None,0.33942984604394705,None,1.0,None,1.0,None,6.0,None,6.0,None,0.18343540788612334,None,0.04,None,3.042809756130995,7.3019735604438605,0.6833333333333333
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000021_T440s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 14:55:23 2022,Equation 1B,2,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.0036820562104546983,None,0.7348862403416045,None,1.360754828577495,15.817269738303048,0.018351979982945354,None,0.9816480200170546,None,70.80386752832855,None,0.3500021903198346,None,1.0,None,1.0,None,6.0,None,6.0,None,0.22325281727941793,None,0.04,None,2.9742695206634346,7.236722881967068,0.7111111111111111
