name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),N (mom),bri (kHz),above zero
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:45:18 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.032465,0.0023943644645764723,0.627232,0.003913804472149454,1.5943064129381155,15.018347162158108,1.0,0,0.228785,0.006912837069201226,1.0,0,5.0,0,2.9549672588055826,8.103117136775321,0.8388888888888889
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:45:18 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.008742663810924478,0.0013577088240451299,0.4523513449069055,0.002233123807272958,2.2106710000073093,15.28415554004141,1.0,0,0.22026581633767253,0.005255836341464733,1.0,0,5.0,0,4.4732239385608645,7.553631261345771,0.7888888888888889
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:45:18 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.004922812077174155,0.0015912462540101449,0.41123915840044684,0.0026264113235693826,2.43167504740938,15.669817904269038,1.0,0,0.21564952459192024,0.006649941800568123,1.0,0,5.0,0,5.014485547304746,7.598956563913309,0.7444444444444445
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100004_T67s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:45:18 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.006077437671579311,0.001793580950388691,0.411999390090829,0.002972966354269674,2.4271880591365464,15.144726780287789,1.0,0,0.210214299732714,0.007314719014025869,1.0,0,5.0,0,5.041818647397618,7.291023650652138,0.8
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100005_T89s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:45:18 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.006787426647782535,0.0017299878916902259,0.4482455302384317,0.002853020724214863,2.2309201822226266,15.38699888586707,1.0,0,0.21674131672743055,0.00666258210738369,1.0,0,5.0,0,4.565586056902574,7.518864867292473,0.7666666666666667
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100006_T111s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:45:18 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.0070589783860661726,0.002061171714532587,0.47541980458969857,0.0034045614950643523,2.1034041711052187,15.188686908699554,1.0,0,0.21468894303546823,0.007421582909671527,1.0,0,5.0,0,4.289193051823605,7.4486612679693405,0.7944444444444444
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100007_T133s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:45:18 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.0064576159732709915,0.0023803386432712293,0.5397744997515992,0.00392506613503849,1.8526254953877845,15.140217236269729,1.0,0,0.2169057535183858,0.007617820858458629,1.0,0,5.0,0,3.798798894757322,7.383874355060413,0.7222222222222222
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100008_T156s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:45:18 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.00949230621253161,0.0026626449020839995,0.5870310858180321,0.004376221839890164,1.7034873010285183,15.16036618469126,1.0,0,0.22123780258241427,0.007973850696168384,1.0,0,5.0,0,3.447481239591055,7.491306018922833,0.7888888888888889
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:45:18 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.008527067752432282,0.0023125380259003546,0.6236583616194503,0.0037807992075722203,1.6034419828883644,15.29882390545766,1.0,0,0.22849591469621325,0.0067074658867915925,1.0,0,5.0,0,3.2048777660172885,7.654391725748812,0.7888888888888889
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:45:18 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.006182642124539894,0.002446607744654558,0.6221157731154368,0.004049391230035908,1.6074178524556473,14.312146804185618,1.0,0,0.21208735117271324,0.006660001258735977,1.0,0,5.0,0,3.3648485471414613,6.8372098003353425,0.7
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000011_T221s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:45:18 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.008595262829719008,0.0028564720441461577,0.6837384184765852,0.004726918857878592,1.462547624906125,14.989799847519771,1.0,0,0.21232165274069165,0.007081723175264616,1.0,0,5.0,0,3.0154625430203708,7.270474753223794,0.7222222222222222
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000012_T244s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:45:18 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.007024142380696152,0.0027974513091328784,0.6588787625799868,0.004634719028593424,1.517729902363641,14.685461750150834,1.0,0,0.21081505382212712,0.00715200412756518,1.0,0,5.0,0,3.15538134247935,7.06384403813853,0.7222222222222222
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000013_T266s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:45:19 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.010885520092090983,0.003027859260328291,0.6828412127597245,0.005021053326206184,1.4644693104542827,15.061328144732531,1.0,0,0.20966698739875875,0.0074333525957997115,1.0,0,5.0,0,3.0351292334479436,7.267369066939342,0.7222222222222222
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000014_T287s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:45:19 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.00793716648547993,0.002516341053701955,0.6745405943829919,0.004135574828540029,1.4824904658476614,14.989412475140746,1.0,0,0.22131338447693077,0.006559900166560186,1.0,0,5.0,0,3.027171137719883,7.340918519389729,0.7611111111111111
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000015_T309s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:45:19 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.009247844999483834,0.002572283282900211,0.6524836825712274,0.004186539773578321,1.5326053765196443,14.508112852299542,1.0,0,0.23494540079133128,0.007309095972583261,1.0,0,5.0,0,3.067701201631083,7.248348591040593,0.7944444444444444
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000016_T331s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:45:19 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.00749773160402567,0.0027454343544733883,0.6664160487133194,0.004554906354543675,1.500564102456336,14.885613219907084,1.0,0,0.2090572509712551,0.006888448773074572,1.0,0,5.0,0,3.127443581199993,7.14237514544609,0.7333333333333333
