name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2),N (mom),bri (kHz),above zero
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:43:44 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.026072,None,0.68101,None,1.468407218689887,16.297038926839026,0.194811,None,0.805189,None,0.008533,None,0.324825,None,1.0,None,1.0,None,5.0,None,5.0,None,2.978283675189897,8.034457854513912,0.8388888888888889
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:43:44 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.003736694225888737,None,0.47430468390116065,None,2.1083494090233104,16.022499856159655,0.25994006208024184,None,0.7400599379197581,None,0.031894980132705905,None,0.3627334511592116,None,1.0,None,1.0,None,5.0,None,5.0,None,4.489227217596786,7.524721266357966,0.7388888888888889
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:43:44 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.0020708913362571524,None,0.4526808866149557,None,2.2090616802440493,17.248909587282405,0.19015991360612522,None,0.8098400863938748,None,0.005974767243811964,None,0.29438560094941113,None,1.0,None,1.0,None,5.0,None,5.0,None,5.014485547304746,7.598956563913309,0.7444444444444445
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100004_T67s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:43:44 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.002575966101113547,None,0.4481169824288171,None,2.2315601488253103,16.47237696879913,0.21613883276061835,None,0.7838611672393816,None,0.010155239857256462,None,0.3145852290701202,None,1.0,None,1.0,None,5.0,None,5.0,None,5.041818647397618,7.291023650652138,0.8
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100005_T89s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:43:44 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.002976738510503729,None,0.4843953689616365,None,2.0644293155478097,16.627920413544885,0.21421332061078052,None,0.7857866793892194,None,0.011705554470586493,None,0.32534521162053637,None,1.0,None,1.0,None,5.0,None,5.0,None,4.565586056902574,7.518864867292473,0.7666666666666667
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100006_T111s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:43:44 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.003126553986763869,None,0.5212568041111073,None,1.9184401855536206,16.653084958262788,0.21142207755268455,None,0.7885779224473155,None,0.008298775054712978,None,0.31421956035277904,None,1.0,None,1.0,None,5.0,None,5.0,None,4.289193051823605,7.4486612679693405,0.7944444444444444
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100007_T133s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:43:44 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.0010732689115813265,None,0.5859390958757894,None,1.7066620183541832,16.431639084858766,0.22084701011302077,None,0.7791529898869792,None,0.011549011149891443,None,0.32946999138909855,None,1.0,None,1.0,None,5.0,None,5.0,None,3.809674354444392,7.360879325230182,0.7111111111111111
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100008_T156s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:43:45 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.004334925511196297,None,0.66860700795006,None,1.495646901856423,17.262885970040525,0.21295827799441291,None,0.7870417220055871,None,0.0038956620288588045,None,0.30348868338862534,None,1.0,None,1.0,None,5.0,None,5.0,None,3.4597252306335577,7.462597365138526,0.75
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-100009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:43:45 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.002170758332532774,None,0.6566854754419624,None,1.5227990223584282,16.08680697925569,0.23529288786142222,None,0.7647071121385778,None,0.02005759051808264,None,0.36139401292069134,None,1.0,None,1.0,None,5.0,None,5.0,None,3.260699120881654,7.51073185836776,0.7333333333333333
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:43:45 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.001458646461239388,None,0.7013457428497025,None,1.4258302844140862,16.12376185363257,0.19144363046648705,None,0.808556369533513,None,0.0029896056939050864,None,0.27378220128259767,None,1.0,None,1.0,None,5.0,None,5.0,None,3.395481469558635,6.769842280582125,0.7
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000011_T221s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:43:45 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.0023913618471225195,None,0.7594824124342165,None,1.3166861847332325,16.63393728346296,0.20440769424618455,None,0.7955923057538155,None,0.005139665697463418,None,0.2937518873591854,None,1.0,None,1.0,None,5.0,None,5.0,None,3.0534953883307256,7.171401804587759,0.6722222222222223
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000012_T244s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:43:45 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.0004952250090972665,None,0.7189166745366851,None,1.3909817860942824,16.015444487802114,0.21243090269433013,None,0.7875690973056699,None,0.008108024473705323,None,0.31076470775321063,None,1.0,None,1.0,None,5.0,None,5.0,None,3.1778776366470605,7.009558960725886,0.6666666666666666
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000013_T266s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:43:45 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.004117476375395723,None,0.7553028489602202,None,1.3239722336234263,16.651374049740458,0.22344364130425198,None,0.776556358695748,None,0.006860134979078648,None,0.3132095895969571,None,1.0,None,1.0,None,5.0,None,5.0,None,3.0542040205913077,7.217691802553952,0.7
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000014_T287s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:43:45 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.0017408785902350843,None,0.739876345672436,None,1.351577200499836,16.437293865971373,0.20412283644070678,None,0.7958771635592932,None,0.007900408418746428,None,0.3159630153955385,None,1.0,None,1.0,None,5.0,None,5.0,None,3.036242431589697,7.316845304438301,0.7111111111111111
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000015_T309s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:43:45 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.0021580036652701917,None,0.6914879321213105,None,1.4461568359295183,15.36375109996618,0.25525974219253533,None,0.7447402578074647,None,0.023640879120057537,None,0.38693708412835043,None,1.0,None,1.0,None,5.0,None,5.0,None,3.098628625839237,7.169499431444752,0.7444444444444445
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000016_T331s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:43:45 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.00020163565490005642,None,0.7260783234935814,None,1.3772618843493682,16.20698612696695,0.23328851554162405,None,0.766711484458376,None,0.010493490527137201,None,0.32629813933592156,None,1.0,None,1.0,None,5.0,None,5.0,None,3.154136962634032,7.075936825172987,0.6555555555555556
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000017_T353s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:43:46 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.0007655636103964802,None,0.7152732200513182,None,1.3980671608651218,16.358964204154145,0.233498872775328,None,0.766501127224672,None,0.009150727477246058,None,0.32198179443174646,None,1.0,None,1.0,None,5.0,None,5.0,None,3.225245836916536,7.090689004036733,0.6666666666666666
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000018_T375s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:43:46 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.001391976060141853,None,0.7239782778348518,None,1.381256911451302,16.278306006647973,0.22471011344072506,None,0.775289886559275,None,0.010005401872179293,None,0.32242396503530757,None,1.0,None,1.0,None,5.0,None,5.0,None,3.1269517944434457,7.190016888865275,0.7
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000019_T396s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:43:46 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.0019849717372915077,None,0.725429863160589,None,1.3784930160486504,16.277952549016405,0.21767597569904545,None,0.7823240243009546,None,0.00897839375557661,None,0.32736245185899915,None,1.0,None,1.0,None,5.0,None,5.0,None,3.1276994677777017,7.174117308067164,0.7055555555555556
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000020_T418s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:43:46 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,-0.0006185539602995282,None,0.7051524545714688,None,1.418133048416763,15.659095616551905,0.22329993707870932,None,0.7767000629212907,None,0.023264208917988118,None,0.35057210115883736,None,1.0,None,1.0,None,5.0,None,5.0,None,3.0633367930112008,7.248636658826569,0.6666666666666666
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000021_T440s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:43:46 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.0035982691075475692,None,0.8200696304907168,None,1.2194086487529305,17.630881818756503,0.24064046547942203,None,0.7593595345205779,None,0.002614605149608602,None,0.2880756769487461,None,1.0,None,1.0,None,5.0,None,5.0,None,3.011610981812418,7.137180801476064,0.6833333333333333
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000022_T461s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:43:46 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.0012923145523284774,None,0.7422361189623196,None,1.3472801638891494,15.440167040479654,0.21318797331860523,None,0.7868120266813947,None,0.017211139912409898,None,0.33422631107142314,None,1.0,None,1.0,None,5.0,None,5.0,None,2.9479874889259725,7.054476932602951,0.7333333333333333
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000023_T483s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:43:46 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.0006977649196571178,None,0.8429400185182203,None,1.186324030217323,16.64625268215832,0.21738178486983828,None,0.7826182151301617,None,0.004373399326008226,None,0.2977180436890788,None,1.0,None,1.0,None,5.0,None,5.0,None,2.8219864404503228,6.9969793690492965,0.6777777777777778
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000024_T505s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:43:46 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.0025662793400458295,None,0.8405626969208521,None,1.1896792513672072,15.434602210890677,0.19862297428392728,None,0.8013770257160727,None,0.004829172147796013,None,0.29105051672662124,None,1.0,None,1.0,None,5.0,None,5.0,None,2.7815101567988996,6.596084499586021,0.7722222222222223
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000025_T527s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:43:46 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.0049472360490236955,None,0.9356497180089665,None,1.0687760395289478,16.651148150673926,0.23800445139900273,None,0.7619955486009973,None,0.0035308778281555333,None,0.30017830080722063,None,1.0,None,1.0,None,5.0,None,5.0,None,2.5859095580783666,6.87912077328453,0.6888888888888889
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000026_T548s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:43:46 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.003819509110407404,None,1.3348067530225516,None,0.7491721162899339,22.30450467997041,0.4198814847394516,None,0.5801185152605484,None,0.0005459032151497049,None,0.25187407713650517,None,1.0,None,1.0,None,5.0,None,5.0,None,2.5880043478615016,6.455226002721596,0.6888888888888889
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000027_T570s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:43:47 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,5.092436555309554e-05,None,0.9369599911732579,None,1.0672814308194778,14.92411931091193,0.21446249764344794,None,0.7855375023565521,None,0.009486456599726538,None,0.303453875106888,None,1.0,None,1.0,None,5.0,None,5.0,None,2.4856386541180324,6.40281869034157,0.6722222222222223
2022-07-27_tttr2xfcs_CH2_BIN1dot0_HsPEX5EGFP 1-1000028_T592s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:43:47 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.001871649195598346,None,0.9279503988359317,None,1.077643806451779,14.021112693317654,0.2567123683256596,None,0.7432876316743404,None,0.019551214968929777,None,0.3440736721705413,None,1.0,None,1.0,None,5.0,None,5.0,None,2.4331917341187874,6.203798868680779,0.7333333333333333
