name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),N (mom),bri (kHz),above zero
2022-07-27_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:48:45 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.011067,0.0031961906597869757,0.715582,0.005308487563901404,1.3974638825459555,10.516255579617836,1.0,0,0.207727,0.0074261868935397496,1.0,0,5.0,0,2.9482129137285567,4.930533795200494,0.7333333333333333
2022-07-27_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:48:45 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.011616991624755046,0.0037597896468581768,0.7774871406043646,0.006291334775082149,1.2861949063526237,11.792319061659732,1.0,0,0.19874292859030615,0.0077320381752297735,1.0,0,5.0,0,2.762848108010629,5.450038776486094,0.6722222222222223
2022-07-27_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:48:45 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.014054167368544146,0.0033435337586715658,0.7666112013915957,0.005595775990483587,1.3044421972764602,11.705544060449647,1.0,0,0.1985393335310158,0.006967255441754406,1.0,0,5.0,0,2.795299908910805,5.429270106040607,0.7444444444444445
2022-07-27_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10004_T68s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:48:45 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.011041395746230087,0.003492400717090211,0.74168430029519,0.005883151951653866,1.3482825504085776,11.576494049043495,1.0,0,0.19112359953045038,0.0072732164846806375,1.0,0,5.0,0,2.947731263673105,5.260762145988609,0.7722222222222223
2022-07-27_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10005_T90s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:48:45 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.012179454640550258,0.0036342500094671396,0.7326144429372222,0.0060476235322795766,1.364974455036358,11.372586666104876,1.0,0,0.20537188754335187,0.008164960585766661,1.0,0,5.0,0,2.900901391399672,5.3251064019068215,0.7333333333333333
2022-07-27_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10006_T112s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:48:45 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.010818663751583801,0.003301142812810825,0.7548279071093986,0.0055045537532502145,1.3248052841997906,11.563668717882406,1.0,0,0.20289823479583013,0.007121608812076316,1.0,0,5.0,0,2.8615576983214517,5.318656157811566,0.7666666666666667
2022-07-27_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10007_T134s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:48:45 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.011554332728260341,0.003282706227520462,0.7778109012102363,0.005517637534749537,1.2856595329842357,11.948864394450455,1.0,0,0.1936102399255019,0.006593842934223454,1.0,0,5.0,0,2.8213886401463295,5.406644037353879,0.7277777777777777
2022-07-27_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10008_T155s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:48:45 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.014604768797714884,0.0034352933211836455,0.7541107315568004,0.005765649102038453,1.3260652025672426,11.436934718425064,1.0,0,0.19526208667977935,0.007171010655108696,1.0,0,5.0,0,2.8551829918093943,5.274469808980139,0.7833333333333333
2022-07-27_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:48:45 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.014067363138235645,0.0027808675387167854,0.7287350930064164,0.00460282834034372,1.3722407629286424,11.128453367117894,1.0,0,0.21205052630606658,0.006461148554525105,1.0,0,5.0,0,2.872824413043707,5.273516255529544,0.75
2022-07-27_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:48:45 2022,Equation 1B,1,no triplet,1,3D,0.001018,939.52409,0.01463129438379629,0.003950012631066003,0.7659216268447475,0.00656453484557201,1.3056166126546787,11.396637284716473,1.0,0,0.20696061170263702,0.00854657016942304,1.0,0,5.0,0,2.743546070638137,5.378352067665118,0.7333333333333333
