name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2),N (mom),bri (kHz),above zero
2022-07-27_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:50:29 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.002608,None,0.744807,None,1.342629701385728,10.945748732484077,0.489243,None,0.510757,None,0.069879,None,0.530334,None,1.0,None,1.0,None,5.0,None,5.0,None,2.9482129137285567,4.930533795200494,0.7333333333333333
2022-07-27_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:50:29 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.0024305064867711224,None,0.8299964554277102,None,1.2048244223942912,12.588739428978865,0.3171408068127447,None,0.6828591931872553,None,0.026446017929813364,None,0.38472508905415254,None,1.0,None,1.0,None,5.0,None,5.0,None,2.762848108010629,5.450038776486094,0.6722222222222223
2022-07-27_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:50:29 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.005836964385581789,None,0.8221382644294377,None,1.2163404177446941,12.553398203145388,0.27567522502193476,None,0.7243247749780652,None,0.019732790767351766,None,0.34890810352197893,None,1.0,None,1.0,None,5.0,None,5.0,None,2.795299908910805,5.429270106040607,0.7444444444444445
2022-07-27_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10004_T68s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:50:29 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.003496074680873207,None,0.8091521165015704,None,1.235861563736093,12.629557694187755,0.25507456109981785,None,0.7449254389001821,None,0.012302594440950925,None,0.31649559516039966,None,1.0,None,1.0,None,5.0,None,5.0,None,2.947731263673105,5.260762145988609,0.7722222222222223
2022-07-27_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10005_T90s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:50:29 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.004273170296154594,None,0.7881259463115107,None,1.2688327350217006,12.234307847247308,0.26670026763078786,None,0.7332997323692121,None,0.0181130212779801,None,0.3551147755579437,None,1.0,None,1.0,None,5.0,None,5.0,None,2.900901391399672,5.3251064019068215,0.7333333333333333
2022-07-27_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10006_T112s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:50:29 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.003450729156088239,None,0.797304989700704,None,1.2542251872465826,12.214401032575157,0.28392901354248434,None,0.7160709864575157,None,0.028014134704664163,None,0.3553442525095682,None,1.0,None,1.0,None,5.0,None,5.0,None,2.8615576983214517,5.318656157811566,0.7666666666666667
2022-07-27_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10007_T134s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:50:30 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.0051494601431403275,None,0.8342754821874812,None,1.1986448377674805,12.816282966415418,0.21902271503611137,None,0.7809772849638886,None,0.01325058651824042,None,0.29369918915935184,None,1.0,None,1.0,None,5.0,None,5.0,None,2.8213886401463295,5.406644037353879,0.7277777777777777
2022-07-27_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10008_T155s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:50:30 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.005186996283255585,None,0.802101379116994,None,1.246725197132644,12.164766693588433,0.35021407659647197,None,0.649785923403528,None,0.03180085573369653,None,0.40662126246655156,None,1.0,None,1.0,None,5.0,None,5.0,None,2.8551829918093943,5.274469808980139,0.7833333333333333
2022-07-27_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:50:30 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.006738091923875422,None,0.755650403580216,None,1.3233632844792693,11.539474850036086,0.4400573534414578,None,0.5599426465585422,None,0.0677078043023887,None,0.468426879674165,None,1.0,None,1.0,None,5.0,None,5.0,None,2.872824413043707,5.273516255529544,0.75
2022-07-27_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 12:50:30 2022,Equation 1B,2,no triplet,1,3D,0.001018,939.52409,0.006134430187664575,None,0.8385487829082676,None,1.1925364634503253,12.477303146165259,0.25800906003129886,None,0.7419909399687011,None,0.01244033688195591,None,0.3494588662674958,None,1.0,None,1.0,None,5.0,None,5.0,None,2.743546070638137,5.378352067665118,0.7333333333333333
