name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),T1,stdev(T1),tauT1,stdev(tauT1),N (mom),bri (kHz),above zero
2022-07-27_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10001_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 15:00:02 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.003747,0.0024934456606631405,0.822461,0.004878287470074844,1.2158631229930659,12.37481566753677,1.0,0,0.360165,0.01772952245998228,1.0,0,6.0,0,0.186519,0.01590576974665912,0.04,0,2.5190419565792994,5.94949386868027,0.7222222222222222
2022-07-27_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10002_T24s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 15:00:02 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0016223623991009628,0.0026947307162825136,0.8781245766472262,0.005213963585008094,1.1387905846094266,13.569196150190653,1.0,0,0.39411473367878586,0.02012217741642101,1.0,0,6.0,0,0.23325416438085833,0.015047888129330679,0.04,0,2.428024051227577,6.351010618158181,0.6777777777777778
2022-07-27_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10003_T46s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 15:00:02 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.003488340910114296,0.002647863004145455,0.8606677273401749,0.005122295066647413,1.1618885758507762,13.334204303454229,1.0,0,0.3916412164400837,0.020525948995014826,1.0,0,6.0,0,0.24738944953123232,0.01513291588354666,0.04,0,2.517386754937691,6.141571025147927,0.7166666666666667
2022-07-27_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10004_T68s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 15:00:02 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,-0.00020168847718182725,0.0025884560663472244,0.8348652420997771,0.005020406858525119,1.1977980991098527,13.245920653925126,1.0,0,0.3828226555926966,0.020185339396306012,1.0,0,6.0,0,0.23911027112494265,0.015508035516529682,0.04,0,2.6111983761802398,6.0647202673449625,0.7277777777777777
2022-07-27_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10005_T90s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 15:00:02 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0018830256860307149,0.0029860466196217914,0.8133190303676469,0.005765456900621468,1.229529818757551,12.797245372952018,1.0,0,0.4024572492455768,0.024441690769788638,1.0,0,6.0,0,0.2357923428680242,0.017740176085038487,0.04,0,2.6259428249133308,5.985537337977153,0.6944444444444444
2022-07-27_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10006_T112s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 15:00:02 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0019606330188386423,0.002762672530482475,0.8534748430210383,0.005380260847146065,1.1716806982386356,13.324481215554728,1.0,0,0.3729084646830149,0.01992930650751843,1.0,0,6.0,0,0.21012740190828882,0.016535590209544038,0.04,0,2.490330984854383,6.260440635206801,0.7
2022-07-27_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10007_T134s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 15:00:02 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.004564163211540628,0.0022767771238243416,0.8734041203193141,0.004472639317100593,1.1449453657653947,13.689614596333879,1.0,0,0.3435284381669898,0.015055291692738847,1.0,0,6.0,0,0.19527391285079077,0.014141396619312848,0.04,0,2.452317791465454,6.382339156352487,0.7666666666666667
2022-07-27_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10008_T155s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 15:00:02 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.004676202321401202,0.002651146701886903,0.8590806559664567,0.005128885193819075,1.1640350566094526,13.294157012598486,1.0,0,0.39435623084774146,0.020290659960175355,1.0,0,6.0,0,0.2348953723165792,0.01512393949290543,0.04,0,2.477835309981775,6.236728598307106,0.8333333333333334
2022-07-27_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-10009_T177s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 15:00:02 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0082211447589835,0.0021322921146314294,0.8055302369021863,0.0041985560594876075,1.2414183281880053,12.507218876982481,1.0,0,0.34104303558184207,0.01461767752107944,1.0,0,6.0,0,0.1653867348491711,0.014466191148166479,0.04,0,2.5449911032523023,6.080595177630005,0.7888888888888889
2022-07-27_tttr2xfcs_CH2_BIN1dot0_TbPEX5EGFP 1-100010_T199s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 15:00:03 2022,Equation 1B,1,Triplet Eq 2B,1,3D,0.001018,939.52409,0.0037022474976010633,0.002846325790454958,0.8748459409207505,0.005457376469254783,1.1430583983135687,13.27795891245311,1.0,0,0.43211003976178375,0.022733433585835416,1.0,0,6.0,0,0.2417682906204477,0.014972232780524114,0.04,0,2.3913763886804107,6.328190348038108,0.7388888888888889
