name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2),N (mom),bri (kHz),above zero
2022-07-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4881_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Aug  2 15:14:55 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.001707,None,0.048119,None,20.781811758349093,23.258733348713612,0.759533,None,0.240467,None,0.039935,None,16.522147,None,1.0,None,1.0,None,5.0,None,5.0,None,62.55710237565615,6.3997970420258685,0.6555555555555556
2022-07-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4882_T15s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Aug  2 15:14:55 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.0009764614765378488,None,0.046920889024678426,None,21.31246915364374,22.158151141415367,0.8176887898169563,None,0.18231121018304375,None,0.042174931358008726,None,30.086144401856746,None,1.0,None,1.0,None,5.0,None,5.0,None,68.53045844401231,5.7255704703434205,0.6777777777777778
2022-07-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4883_T27s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Aug  2 15:14:55 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,0.002027033655561894,None,0.04668179254566876,None,21.421628122392704,21.944683215733917,0.8078681313175514,None,0.19213186868244858,None,0.04219582097066974,None,15.02939203559314,None,1.0,None,1.0,None,5.0,None,5.0,None,56.74974164022689,6.851115940609155,0.75
2022-07-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4883_T28s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Aug  2 15:14:56 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.009246256463196212,None,0.05707632780602414,None,17.52039835846718,26.52259725718891,0.7212485414033238,None,0.27875145859667616,None,0.04539567455298541,None,92.16135896490377,None,1.0,None,1.0,None,5.0,None,5.0,None,67.24340878077284,5.702357415102447,0.6222222222222222
2022-07-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4884_T39s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Aug  2 15:14:56 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,0.00163642349130666,None,0.048887348880839475,None,20.455189796391927,22.19132057071728,0.8346975741436303,None,0.16530242585636967,None,0.03507293102900826,None,6.5342250723154915,None,1.0,None,1.0,None,5.0,None,5.0,None,63.702192703256074,5.845055538651749,0.7222222222222222
2022-07-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4884_T41s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Aug  2 15:14:56 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.0030903319482228353,None,0.05019662553114816,None,19.92165786880389,22.851261309132827,0.8150815258862352,None,0.18491847411376483,None,0.03965616331335753,None,29.461800045377093,None,1.0,None,1.0,None,5.0,None,5.0,None,75.98006731914366,4.998914267323079,0.6277777777777778
2022-07-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4885_T54s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Aug  2 15:14:56 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,0.002496002000476727,None,0.045948334720073994,None,21.763574373090787,21.9934185226546,0.8072379259702818,None,0.19276207402971823,None,0.03893417516477488,None,7.419564051992261,None,1.0,None,1.0,None,5.0,None,5.0,None,57.89142219775073,6.940111521722842,0.7888888888888889
2022-07-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4886_T63s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Aug  2 15:14:56 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.006031615424267778,None,0.051700635724801325,None,19.342121929078907,22.96751985247014,0.7914202882127133,None,0.20857971178728674,None,0.041821853572445805,None,73.90642020747708,None,1.0,None,1.0,None,5.0,None,5.0,None,82.05079523260237,4.565780477930333,0.6055555555555555
2022-07-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4886_T66s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Aug  2 15:14:56 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,0.002373325733868281,None,0.04472428831147103,None,22.35921549015497,21.061279742124462,0.8618462267862399,None,0.1381537732137601,None,0.03866179530063014,None,7.381234935476783,None,1.0,None,1.0,None,5.0,None,5.0,None,68.7618503037281,5.739548836393906,0.7111111111111111
2022-07-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4887_T75s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Aug  2 15:14:56 2022,Equation 1B,2,no triplet,1,3D,0.001018,469.762042,-0.004951930149910577,None,0.0503082564038749,None,19.877452956667703,23.00964411306003,0.801671038202695,None,0.19832896179730497,None,0.03956632519857234,None,63.491206610246394,None,1.0,None,1.0,None,5.0,None,5.0,None,83.48645675081275,4.624216211430911,0.6277777777777778
