name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),N (mom),bri (kHz),above zero
2022-07-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4881_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Aug  2 15:20:25 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.007798,0.0006540496543958361,0.044741,0.0010697442885528236,22.35086386088822,22.435938455666925,1.0,0,0.175122,0.01992081366254178,1.0,0,5.0,0,36.59602122552954,12.446240111275644,0.7444444444444445
2022-07-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4882_T15s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Aug  2 15:20:25 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.006664976422452007,0.0006143169099664961,0.044739873583455964,0.0010426728931671617,22.351426588960745,21.900720402880907,1.0,0,0.14305583280581483,0.015681128925841593,1.0,0,5.0,0,40.488600561286184,11.072285270083425,0.6888888888888889
2022-07-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4883_T27s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Aug  2 15:20:25 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.011766340574410616,0.0007102951083934749,0.04450517041210874,0.0011447921344647023,22.469299426116233,21.877299669820044,1.0,0,0.19054284288784618,0.02341262866861564,1.0,0,5.0,0,31.62194573785871,14.321964990208993,0.7611111111111111
2022-07-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4883_T28s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Aug  2 15:20:25 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.005429624241509057,0.0007196141155917155,0.047434856845670115,0.001218407890038319,21.0815435419888,22.76887413012585,1.0,0,0.14493146384277655,0.017522565277217024,1.0,0,5.0,0,40.44670026827734,10.645230665256442,0.6444444444444445
2022-07-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4884_T39s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Aug  2 15:20:25 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.010519102554740978,0.000564826738848049,0.04657373510942515,0.0009990989595606156,21.47132922988669,21.98449487386551,1.0,0,0.11592179525854142,0.011534346215706462,1.0,0,5.0,0,35.708631625722745,11.940907776413537,0.7222222222222222
2022-07-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4884_T41s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Aug  2 15:20:25 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.005173937245097737,0.0006110517713286866,0.04631547137787988,0.0010874833367369556,21.591057377807385,21.79222518696454,1.0,0,0.11249893836123735,0.012226793850165221,1.0,0,5.0,0,45.02613271438826,9.503021283991579,0.6611111111111111
2022-07-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4885_T51s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Aug  2 15:20:25 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.008128564490364365,0.0006332379539224048,0.043395096580875085,0.0010872750297307005,23.04407822059592,21.27583598582547,1.0,0,0.134682710754986,0.01581133076927399,1.0,0,5.0,0,39.61358927146694,11.230640971477415,0.7
2022-07-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4885_T54s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Aug  2 15:20:25 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.009567232112645208,0.0006438554433139015,0.04544099045102678,0.0010538744924534279,22.00656257873015,22.66237908145228,1.0,0,0.17435938897736517,0.01923513474587225,1.0,0,5.0,0,33.92094399733456,13.62529838971862,0.7222222222222222
2022-07-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4886_T63s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Aug  2 15:20:25 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.005335868387189802,0.0005083024532331919,0.04495003098015399,0.0009507558981752476,22.24692571272115,20.6223498683159,1.0,0,0.08921405789664365,0.008577293551354713,1.0,0,5.0,0,49.3592944529104,8.643454630308431,0.6555555555555556
2022-07-26_tttr2xfcs_CH2_BIN1dot0_DiO LUV 10uM in 20 nM AF4886_T66s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Tue Aug  2 15:20:25 2022,Equation 1B,1,no triplet,1,3D,0.001018,469.762042,0.00900384405097654,0.00047591551263361686,0.04367477820251876,0.000859650405586492,22.896510094751417,21.324147943518796,1.0,0,0.10476665412948465,0.009494384392390634,1.0,0,5.0,0,40.926237664976746,11.048540120692047,0.7166666666666667
