name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),N (mom),bri (kHz),above zero
2022-07-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4881_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 11:45:08 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,-0.000277,0.00021049592395703035,0.06665,0.0004894498419562124,15.003750937734434,22.21460289415334,1.0,0,0.028247,0.0008322307359605149,1.0,0,5.0,0,134.02839868579719,2.1321150814725285,0.5555555555555556
2022-07-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4882_T14s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 11:45:08 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,-0.0003182774832791724,0.00016016442848497604,0.06569773523708997,0.0003661978186566807,15.221224847267571,21.888602310048693,1.0,0,0.02959852249345917,0.0006666456267173423,1.0,0,5.0,0,136.21104640133794,2.0697150662770505,0.6666666666666666
2022-07-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4883_T26s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 11:45:08 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,-0.00041406666381327284,0.00017948828345085757,0.06668231624862102,0.0004030273208878306,14.996479670435562,22.21669370705961,1.0,0,0.031158811597634468,0.0007667237875237624,1.0,0,5.0,0,130.69962896558144,2.175871609869206,0.5444444444444444
2022-07-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4884_T38s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 11:45:08 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,-0.00043156471681660147,0.00016286172201823024,0.06583760970917986,0.0003731624686665817,15.188886783970958,21.983754618119242,1.0,0,0.029421559850441797,0.0006732223990448596,1.0,0,5.0,0,136.04955948704534,2.091455886712681,0.5111111111111111
2022-07-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4885_T50s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 11:45:08 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,-0.000389686340655393,0.00012434497006564064,0.06642548840608829,0.00028388765013788475,15.05446213487448,22.138728042227967,1.0,0,0.02972046640088447,0.0005135516611278643,1.0,0,5.0,0,127.52662681738734,2.212209878482599,0.5055555555555555
2022-07-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4886_T62s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 11:45:08 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,-0.00047472744503651576,0.00016613696728737202,0.06675286941995334,0.00037990707972677896,14.980629427460782,22.29672718420482,1.0,0,0.02958689191154361,0.0006803609395219398,1.0,0,5.0,0,134.46800120209818,2.1182813757774284,0.6
2022-07-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4887_T74s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 11:45:08 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,-0.0005113257213364975,0.0001740619268043646,0.06732410009763683,0.0003955135236054082,14.853521971326007,22.425465979041874,1.0,0,0.030120715750519556,0.0007168680956232468,1.0,0,5.0,0,132.03066337523032,2.1357810868914577,0.5222222222222223
2022-07-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4888_T86s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 11:45:08 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,-0.00040688922231069125,0.0002067991775673424,0.06627700024419385,0.0004725932753284548,15.088190417724952,22.080300496895347,1.0,0,0.029639652798340743,0.000854158618443121,1.0,0,5.0,0,133.6856091735059,2.124149220368385,0.5611111111111111
2022-07-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4889_T98s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 11:45:08 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,-0.00029429546291614983,0.00017906704414048734,0.06653189921849183,0.0004077362436931362,15.030384097648918,22.088771141705582,1.0,0,0.029944223140158124,0.0007427803560966124,1.0,0,5.0,0,130.64189526455607,2.1544444285417894,0.5888888888888889
2022-07-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF48810_T110s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 11:45:08 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,-0.0003690200841985902,0.00016021850113929234,0.06598448919114941,0.0003640269371463536,15.155076780288713,22.03408399579283,1.0,0,0.0301282431381894,0.0006733809021821238,1.0,0,5.0,0,133.43348110638792,2.1248598008620583,0.5833333333333334
