name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),AR1,stdev(AR1),N (mom),bri (kHz),above zero
2022-07-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4881_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 11:57:13 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.000431,0.00016637161046406985,0.069294,0.00035469803205246677,14.431263890091495,23.85956368319226,1.0,0,0.036355,0.0007739330060509082,1.0,0,5.0,0,80.777669762122,4.232541532455916,0.55
2022-07-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4882_T14s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 11:57:13 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0003304098160163971,0.00015386170919732525,0.06846632749165397,0.0003205861909749377,14.605719871887384,23.628395981525404,1.0,0,0.03905796315832504,0.0007676737961930847,1.0,0,5.0,0,79.13680952970073,4.326237089477297,0.5277777777777778
2022-07-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4883_T26s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 11:57:13 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0005426305236138074,0.00020008742288717482,0.0700556004214787,0.0004190878135867528,14.27437626661758,24.13983471972996,1.0,0,0.038416825727151,0.0009626627629733367,1.0,0,5.0,0,78.64256483237867,4.3524567049255465,0.6333333333333333
2022-07-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4884_T38s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 11:57:13 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.00038386477671992214,0.0001571921453249587,0.06903188350314979,0.0003303020676293492,14.486059908163623,23.838217768061476,1.0,0,0.038030623802147605,0.0007612445261735943,1.0,0,5.0,0,79.81914086267459,4.285393615954072,0.6333333333333333
2022-07-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4885_T50s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 11:57:13 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0003889518746369447,0.0001865026315615767,0.06991921830495429,0.0003901465392890419,14.30221939322143,24.165816636335474,1.0,0,0.03856967200913366,0.0009019380184476458,1.0,0,5.0,0,74.80942156945305,4.59441512626627,0.5555555555555556
2022-07-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4886_T62s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 11:57:13 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0002850674376443374,0.00016774114513507652,0.07006076433764594,0.0003529720264081178,14.273324155880887,24.22657945115274,1.0,0,0.03786097819041163,0.0007975069253049759,1.0,0,5.0,0,77.86776336017559,4.415678537803652,0.5777777777777777
2022-07-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4887_T74s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 11:57:13 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0002630729824393274,0.00017731957884108552,0.0704207553272634,0.0003690244371107681,14.200358904881696,24.309943408292177,1.0,0,0.03920591202774395,0.0008627995364364916,1.0,0,5.0,0,76.5772153265095,4.473492679592289,0.5388888888888889
2022-07-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4888_T86s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 11:57:13 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0003574982025567053,0.00021276320227307102,0.0695821075929902,0.0004470417847484778,14.37151064537087,23.991159443965532,1.0,0,0.038038936251349506,0.0010223903195159833,1.0,0,5.0,0,78.36708753497977,4.37083477323705,0.5444444444444444
2022-07-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4889_T98s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 11:57:14 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.0005203841047176638,0.0002368158419849916,0.07047218777442718,0.0004972248978910394,14.189995111275348,24.250526078675783,1.0,0,0.038124413345697036,0.0011256381716013278,1.0,0,5.0,0,76.27055826494374,4.484905371241532,0.5722222222222222
2022-07-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF48810_T110s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 11:57:14 2022,Equation 1B,1,no triplet,1,3D,0.001018,100.66329,0.00039941837972956584,0.00015100585891555325,0.06931677952013782,0.0003133721521043751,14.426521354897647,23.977421083473146,1.0,0,0.03956205764825054,0.0007519624065038134,1.0,0,5.0,0,77.13181835947816,4.450792436172005,0.5666666666666667
