name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),AR1,stdev(AR1),AR2,stdev(AR2),N (mom),bri (kHz),above zero
2022-07-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4881_T0s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 11:57:48 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-1.9e-05,None,0.073276,None,13.647033134996454,25.230660496573957,0.35072,None,0.64928,None,0.009219,None,0.061218,None,1.0,None,1.0,None,5.0,None,5.0,None,80.777669762122,4.232541532455916,0.55
2022-07-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4882_T14s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 11:57:48 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.00020526485478666867,None,0.07026892282517658,None,14.2310421135659,24.250489175294472,0.8228550407392721,None,0.17714495926072793,None,0.02783426068909388,None,0.17833668117337498,None,1.0,None,1.0,None,5.0,None,5.0,None,79.13680952970073,4.326237089477297,0.5277777777777778
2022-07-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4883_T26s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 11:57:48 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.0001833724108120105,None,0.07240466523199413,None,13.811264740964795,24.949278018061758,0.42633232874306537,None,0.5736676712569346,None,0.015579028490846253,None,0.0665355894898293,None,1.0,None,1.0,None,5.0,None,5.0,None,78.64256483237867,4.3524567049255465,0.6333333333333333
2022-07-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4884_T38s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 11:57:48 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,7.734312494567241e-06,None,0.07159989802845884,None,13.966500337787208,24.725009296545107,0.4135213244049024,None,0.5864786755950976,None,0.014352195508477498,None,0.06598991649434585,None,1.0,None,1.0,None,5.0,None,5.0,None,79.81914086267459,4.285393615954072,0.6333333333333333
2022-07-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4885_T50s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 11:57:48 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.0003246738401744276,None,0.07353690328146228,None,13.598614510220846,25.416178323861995,0.5989612346253789,None,0.40103876537462113,None,0.016886417795796495,None,0.10880724304819031,None,1.0,None,1.0,None,5.0,None,5.0,None,74.80942156945305,4.59441512626627,0.5555555555555556
2022-07-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4886_T62s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 11:57:48 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.000259912562167286,None,0.07368722385657507,None,13.570873587888201,25.480586747423665,0.4603536599332247,None,0.5396463400667753,None,0.013082702791498618,None,0.07685154491084417,None,1.0,None,1.0,None,5.0,None,5.0,None,77.86776336017559,4.415678537803652,0.5777777777777777
2022-07-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4887_T74s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 11:57:48 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-0.00013984058356608653,None,0.07464070257307735,None,13.397515906565122,25.76671106514233,0.2719223142531915,None,0.7280776857468085,None,0.007284984047855579,None,0.058509881657786776,None,1.0,None,1.0,None,5.0,None,5.0,None,76.5772153265095,4.473492679592289,0.5388888888888889
2022-07-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4888_T86s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 11:57:48 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,-9.599406041771452e-05,None,0.0742298478565931,None,13.471669805007958,25.593650106801803,0.3045806372089434,None,0.6954193627910565,None,0.007328101631090695,None,0.0603566724907445,None,1.0,None,1.0,None,5.0,None,5.0,None,78.36708753497977,4.37083477323705,0.5444444444444444
2022-07-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF4889_T98s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 11:57:48 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,0.00019464153882942092,None,0.21341196462068224,None,4.685772898334903,73.4382254471928,0.6949781181600082,None,0.3050218818399918,None,0.00010000000055511149,None,0.046856596442676375,None,1.0,None,1.0,None,5.0,None,5.0,None,76.27055826494374,4.484905371241532,0.5722222222222222
2022-07-27_tttr2xfcs_CH2_BIN1dot0_20 nM AF48810_T110s_1_DELSHIFT_correlation-CH2_2,Not known,tttr2xfcs,0,Mon Aug  1 11:57:48 2022,Equation 1B,2,no triplet,1,3D,0.001018,100.66329,3.333467950183966e-05,None,0.07350975061881304,None,13.60363749818074,25.427814975395968,0.24681794600544288,None,0.7531820539945571,None,0.00653586859367299,None,0.05660625849305449,None,1.0,None,1.0,None,5.0,None,5.0,None,77.13181835947816,4.450792436172005,0.5666666666666667
