Time (ms),2023-01-04_multipletau_labthresh-0dot04_avgcorrs_0dot069-0dot1_0039_correlation-CH1_1,2023-01-04_multipletau_labthresh-0dot04_avgcorrs_0dot069-0dot1_0039_correlation-CH1_1 fitted model: ,
1.0,0.04886991158127785,0.047034705596488105,
2.0,0.047600507736206055,0.04614444772703126,
3.0,0.04643946513533592,0.045271411242841286,
4.0,0.045346327126026154,0.04441510122821575,
5.0,0.04421750828623772,0.04357504155164803,
6.0,0.04311447590589523,0.04275077398302675,
7.0,0.04208260774612427,0.041941857360158374,
8.0,0.04105083644390106,0.04114786680142769,
9.0,0.04004880040884018,0.040368392961643476,
10.0,0.039083074778318405,0.03960304132833112,
11.0,0.038110703229904175,0.03885143155593057,
12.0,0.03723398596048355,0.03811319683553818,
13.0,0.036361757665872574,0.037387983297998764,
14.0,0.03555426746606827,0.036675449448306904,
15.0,0.03476068750023842,0.03597526562941773,
16.0,0.033908188343048096,0.035287113513699106,
18.0,0.03192694112658501,0.03394568485743282,
20.0,0.030070485547184944,0.03264882570962829,
22.0,0.028205260634422302,0.03139435110854513,
24.0,0.026445381343364716,0.030180216615963498,
26.0,0.024752730503678322,0.02900450719892053,
28.0,0.02325190231204033,0.02786542715061946,
30.0,0.021849600598216057,0.02676129093893466,
32.0,0.020528173074126244,0.025690514884421478,
36.0,0.024511097584763775,0.02364317298595635,
40.0,0.022045164822122536,0.021712497213525556,
44.0,0.020172550581215497,0.01988879163693133,
48.0,0.018148125112339906,0.01816340578107737,
52.0,0.016193079216660605,0.01652859741796188,
56.0,0.014304678942190131,0.014977416414979641,
60.0,0.01609993014982833,0.013503605963634667,
64.0,0.014568216342441327,0.012101518228312937,
72.0,0.025688490335596725,0.00949254052359911,
80.0,0.020893058368528727,0.007114970809355824,
88.0,0.015750814653680816,0.004939328766072039,
96.0,0.01031020267631296,0.0029409376341954924,
104.0,0.006816105619994535,0.0010989841359605804,
112.0,0.0042373839957387345,-0.000604209145545806,
120.0,0.0016496262129900667,-0.0021837529144519974,
128.0,-0.001142818522566813,-0.0036526406940298115,
144.0,-0.0051936231247964315,-0.006301915625369685,
160.0,-0.00938043482528883,-0.00862561407572042,
176.0,-0.009726601776492316,-0.010680278184338497,
192.0,-0.009505429647106212,-0.012510073814710525,
208.0,-0.0075016275550297,-0.01415000110831234,
224.0,-0.007123337765733595,-0.015628154906298673,
240.0,-0.006726660849138474,-0.016967347665379447,
256.0,-0.006527482213762899,-0.018186295212138607,
288.0,-0.022613849073726062,-0.020322897733911424,
320.0,-0.03462773143676006,-0.022134224622538876,
352.0,-0.04187676695801201,-0.02368930143991214,
384.0,-0.04578496250582652,-0.025038913744206134,
416.0,-0.043359610407302775,-0.026221258635556688,
448.0,-0.04456537787336856,-0.027265617605650477,
480.0,-0.050227632940125964,-0.028194814364049584,
512.0,-0.0521199084404442,-0.029026902072571026,
576.0,-0.08062152127968147,-0.030454881086540615,
640.0,-0.07149001723155379,-0.03163598836958145,
704.0,-0.06403488665819168,-0.03262914979542951,
768.0,-0.036089583445573226,-0.03347591997952805,
832.0,-0.022012711502611637,-0.03420644416599604,
896.0,-0.011976240668445826,-0.034843122455011505,
960.0,0.024820780148729682,-0.03540294709994446,
1024.0,0.045413912273943424, ,
