name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),N (mom),bri (kHz),above zero
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_0dot2-0dot1_0000_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Thu Jan 19 11:48:51 2023,Equation 1A,2,no triplet,1,2D,1.0,1024.0,-0.140205,None,0.239653,None,4.172699694975652,0.23965300000000003,0.818564,None,0.181436,None,297.319096,None,3.664348,None,1.0,None,1.0,None,1.0,1.0,0.578125
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_0dot2-0dot01_0000_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Thu Jan 19 11:48:51 2023,Equation 1A,2,no triplet,1,2D,1.0,1024.0,-0.010905101441143206,None,0.2677411434042175,None,3.7349508084017833,0.2677411434042175,0.11128554873124297,None,0.888714451268757,None,53.33045669518077,None,0.0001,None,1.0,None,1.0,None,1.0,1.0,0.546875
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_0dot2-0dot01_0001_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Thu Jan 19 11:48:51 2023,Equation 1A,2,no triplet,1,2D,1.0,1024.0,-0.0029851345377315264,None,0.02028303452629601,None,49.30228752031885,0.02028303452629601,1.6246238798700574e-09,None,0.9999999983753761,None,9067.277717279827,None,15.437218781540299,None,1.0,None,1.0,None,1.0,1.0,0.5694444444444444
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_0dot2-0dot1_0001_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Thu Jan 19 11:48:52 2023,Equation 1A,2,no triplet,1,2D,1.0,1024.0,-0.03357462227587504,None,0.19387703589994817,None,5.157908441080449,0.19387703589994817,1.6653345369377348e-16,None,0.9999999999999998,None,1350.5069026559863,None,17.062936294175636,None,1.0,None,1.0,None,1.0,1.0,0.4861111111111111
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_0dot2-0dot01_0002_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Thu Jan 19 11:48:52 2023,Equation 1A,2,no triplet,1,2D,1.0,1024.0,-0.2195968898486338,None,0.24300188933362524,None,4.115194341666485,0.24300188933362524,0.9145998344086872,None,0.0854001655913128,None,5931.407680268055,None,15.293144926548145,None,1.0,None,1.0,None,1.0,1.0,0.65625
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_0dot2-0dot1_0002_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Thu Jan 19 11:48:52 2023,Equation 1A,2,no triplet,1,2D,1.0,1024.0,-0.07615117641169744,None,0.3764794500331728,None,2.6561874756029495,0.3764794500331728,0.712746024045275,None,0.287253975954725,None,20.502591522568746,None,20.497802793282453,None,1.0,None,1.0,None,1.0,1.0,0.609375
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_0dot2-0dot1_0003_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Thu Jan 19 11:48:52 2023,Equation 1A,2,no triplet,1,2D,1.0,1024.0,-0.044992856457948815,None,0.20315186686599984,None,4.922425845387903,0.20315186686599984,1.5777601947153386e-08,None,0.9999999842223981,None,9.654426184867013,None,26.7123447056095,None,1.0,None,1.0,None,1.0,1.0,0.53125
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_0dot2-0dot01_0003_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Thu Jan 19 11:48:52 2023,Equation 1A,2,no triplet,1,2D,1.0,1024.0,-0.038292986666159656,None,0.2983498968446151,None,3.351769216534418,0.2983498968446151,0.2354086793357325,None,0.7645913206642675,None,186.6144660702654,None,0.00010041012415275647,None,1.0,None,1.0,None,1.0,1.0,0.65625
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_0dot2-0dot1_0004_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Thu Jan 19 11:48:52 2023,Equation 1A,2,no triplet,1,2D,1.0,1024.0,-0.025574826094815428,None,0.14773582074534095,None,6.768839100462617,0.14773582074534095,5.1312367133071746e-09,None,0.9999999948687632,None,2140.3030992307886,None,10.485796089639058,None,1.0,None,1.0,None,1.0,1.0,0.4027777777777778
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_0dot2-0dot01_0004_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Thu Jan 19 11:48:52 2023,Equation 1A,2,no triplet,1,2D,1.0,1024.0,-0.004385943484163213,None,0.02273819895754576,None,43.9788569827843,0.02273819895754576,0.09875056737317145,None,0.9012494326268286,None,19.51204112980898,None,19.511812500290954,None,1.0,None,1.0,None,1.0,1.0,0.5138888888888888
