name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),N (mom),bri (kHz),above zero
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_0dot6-0dot01_0000_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:53:30 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.001531,0.00025452119848390565,0.020274,0.0019432687669999455,49.32425766992207,0.020274,1.0,0,4.159165,0.8597351690954314,1.0,0,1.0,1.0,0.453125
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_0dot6-0dot1_0000_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:53:30 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.016571613057182133,0.001950125894640766,0.032563427064813445,0.0019719543332753363,30.709298441150697,0.032563427064813445,1.0,0,79.92998167210072,21.57400447942783,1.0,0,1.0,1.0,0.546875
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_0dot6-0dot01_0001_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:53:30 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.02697853456110111,0.004008098590026178,0.05708835065982009,0.0036123659973476287,17.516708548103487,0.05708835065982009,1.0,0,178.60761915347692,41.08043271125387,1.0,0,1.0,1.0,0.6805555555555556
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_0dot6-0dot1_0001_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:53:30 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.05531389555963184,0.005944484275249283,0.14048128214514946,0.0056072543359048654,7.1183860563485615,0.14048128214514946,1.0,0,105.1666440770849,18.0095517344289,1.0,0,1.0,1.0,0.6111111111111112
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_0dot6-0dot1_0002_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:53:30 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.03338995366420627,0.0058554237666191234,0.0990483420154278,0.007556896671693791,10.09608015290392,0.0990483420154278,1.0,0,46.65883239142027,15.323265325256866,1.0,0,1.0,1.0,0.671875
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_0dot6-0dot01_0002_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:53:30 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.004214836849367298,0.0004255381754853539,0.022481276951068302,0.001154620590511042,44.4814590459676,0.022481276951068302,1.0,0,15.820318686016948,2.5479326018668433,1.0,0,1.0,1.0,0.640625
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_0dot6-0dot1_0003_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:53:30 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.04152797417720544,0.011427953614756767,0.1141586309820512,0.010853782398415434,8.759740646830522,0.11415863098205119,1.0,0,101.59605074119513,41.72303735196588,1.0,0,1.0,1.0,0.734375
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_0dot6-0dot01_0003_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:53:30 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.0019226859262956308,0.00015120022868959533,0.019854659072907413,0.0007305174178344877,50.366012144955214,0.019854659072907413,1.0,0,7.321587805199589,0.6705831469141947,1.0,0,1.0,1.0,0.4375
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_0dot6-0dot1_0004_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:53:30 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.008752727694786744,0.0010413990639254569,0.03498311484839297,0.0016754889862353403,28.585219021625722,0.03498311484839297,1.0,0,32.83648057421176,6.222337761609099,1.0,0,1.0,1.0,0.5694444444444444
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_0dot6-0dot01_0004_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:53:30 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.36600570488098505,0.8749839672554462,0.37610402670013887,0.874480328463892,2.6588388557649836,0.37610402670013887,1.0,0,9999.999865781543,5540.613517477222,1.0,0,1.0,1.0,0.7777777777777778
