name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),N (mom),bri (kHz),above zero
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_50dot0-0dot1_0000_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 14:04:06 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.007681,0.0008420060901156713,0.035658,0.0025855098935492747,28.044197655505073,0.035658,1.0,0,13.37939,2.883191313587296,1.0,0,1.0,1.0,0.4375
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_50dot0-0dot01_0000_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 14:04:06 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.00017381146872985642,4.9334499954936445e-05,0.1682667172107387,1.2295350291856841,5.942945916913511,0.1682667172107387,1.0,0,0.0265413787419007,0.1980880065279843,1.0,0,1.0,1.0,0.46875
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_50dot0-0dot1_0001_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 14:04:06 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.01616734197428704,0.004079978891470784,0.056962282212305065,0.00454762066091182,17.555476381246162,0.056962282212305065,1.0,0,62.046171282972544,22.107779387843056,1.0,0,1.0,1.0,0.6527777777777778
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_50dot0-0dot01_0001_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 14:04:06 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.4999999996667098,0.013232186540778122,0.5394953186517022,0.19428298537049254,1.853584202545415,0.5394953186517022,1.0,0,3826.1618686447964,1664.3187190470737,1.0,0,1.0,1.0,0.7222222222222222
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_50dot0-0dot1_0002_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 14:04:06 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.005666480172364929,0.0013886352874677764,0.022472622092872045,0.0022465710962668887,44.498590145258746,0.022472622092872045,1.0,0,32.59604924921815,12.855481979350408,1.0,0,1.0,1.0,0.65625
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_50dot0-0dot01_0002_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 14:04:06 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.019188263796320326,0.005570232742350479,0.03365071626629863,0.005040865827958315,29.717049470400283,0.03365071626629863,1.0,0,151.83045243191896,87.88581992438698,1.0,0,1.0,1.0,0.703125
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_50dot0-0dot01_0003_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 14:04:06 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.07820752150825805,0.04401538089972319,0.08425885971358452,0.043851843808558444,11.868188145427471,0.08425885971358452,1.0,0,3190.316550107946,2070.925238038196,1.0,0,1.0,1.0,0.671875
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_50dot0-0dot1_0003_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 14:04:06 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.03460735151366667,0.0020666774725816984,0.11936863147944685,0.0025773772537396773,8.377410276100738,0.11936863147944685,1.0,0,49.613657025083086,4.659576282616782,1.0,0,1.0,1.0,0.59375
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_50dot0-0dot01_0004_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 14:04:06 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.49593744202663004,1.4512168950831486,0.5098577415336826,1.458225577763494,1.961331403916591,0.5098577415336826,1.0,0,9999.999955984109,123410.89228353775,1.0,0,1.0,1.0,0.8194444444444444
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_50dot0-0dot1_0004_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 14:04:06 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.16641183244072555,0.014161200477930352,0.21589140437638163,0.01350031021932761,4.631958381523222,0.2158914043763816,1.0,0,588.9595733039756,78.41952375565353,1.0,0,1.0,1.0,0.6527777777777778
