name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),N (mom),bri (kHz),above zero
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_3dot0-0dot1_0000_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:59:27 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.008501,0.0016546992513657988,0.047767,0.004336365628230338,20.934955094521325,0.047767,1.0,0,16.589643,4.794715000147792,1.0,0,1.0,1.0,0.625
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_3dot0-0dot01_0000_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:59:27 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.0014826776457054214,0.00021784166581651458,0.04779146700445537,0.00913275880243948,20.924237372892836,0.04779146700445538,1.0,0,0.8969635383519123,0.2591170340050164,1.0,0,1.0,1.0,0.375
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_3dot0-0dot1_0001_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:59:27 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,0.0035655470284849944,0.0010389545029431135,0.02541482898741232,0.004044740189897769,39.34710717492094,0.02541482898741232,1.0,0,9.724395907022428,4.175816893727622,1.0,0,1.0,1.0,0.8055555555555556
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_3dot0-0dot01_0001_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:59:27 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.007455621927620282,0.0007683464939624798,0.0386446908471129,0.0017637459565131375,25.876775776424893,0.0386446908471129,1.0,0,19.868008992893017,3.064165217840672,1.0,0,1.0,1.0,0.5833333333333334
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_3dot0-0dot1_0002_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:59:27 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.05091373221676332,0.021165982102720145,0.06075796316310452,0.020360854135183137,16.45874792272914,0.06075796316310452,1.0,0,710.0746758763835,467.8866289181132,1.0,0,1.0,1.0,0.765625
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_3dot0-0dot01_0002_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:59:27 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.004607966846067901,0.0008511003679787745,0.038344975688612865,0.002761221951590761,26.079035963425202,0.038344975688612865,1.0,0,12.417612813900341,2.5974560229705914,1.0,0,1.0,1.0,0.6875
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_3dot0-0dot1_0003_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:59:27 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.006203986559461638,0.0024303597604618124,0.05630065061456453,0.005806571132817161,17.76178408391799,0.05630065061456453,1.0,0,18.806396244915856,6.438148245924667,1.0,0,1.0,1.0,0.703125
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_3dot0-0dot01_0003_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:59:27 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.0014250647155051865,0.00020929438531355318,0.0432091617659632,0.00468212341244763,23.143239978048403,0.0432091617659632,1.0,0,1.4459812203034907,0.26473239449480623,1.0,0,1.0,1.0,0.453125
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_3dot0-0dot01_0004_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:59:28 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.01251750408105401,0.0025176101516894284,0.03671652357031628,0.0028066650859721602,27.235693980800967,0.03671652357031628,1.0,0,62.08593806312116,21.170045633567362,1.0,0,1.0,1.0,0.6527777777777778
2023-01-04_multipletau_labthresh-0dot04_avgcorrs_3dot0-0dot1_0004_correlation-CH1_1,Not known,labthresh-0dot04_avgcorrs,0,Wed Jan  4 13:59:28 2023,Equation 1A,1,no triplet,1,2D,1.0,1024.0,-0.012394321298221711,0.001505787475489478,0.04294613076807791,0.0025282178160018036,23.284984749855635,0.04294613076807791,1.0,0,30.835721854654505,7.05268106661783,1.0,0,1.0,1.0,0.5138888888888888
