name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),A2,stdev(A2),txy1,stdev(txy1),txy2,stdev(txy2),alpha1,stdev(alpha1),alpha2,stdev(alpha2),N (mom),bri (kHz),above zero
2024-01-18_multipletau_mod-filtering_0dot069_0000_correlation-CH1_1,Not known,mod-filtering,0,Thu Jan 18 17:36:30 2024,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.004626,None,1.070521,None,0.9341245991437813,1.070521,1.0,None,0.0,None,9.864169,None,1.0,None,1.0,None,1.0,None,1.0,1.0,0.7446808510638298
2024-01-18_multipletau_mod-filtering_0dot069_0001_correlation-CH1_1,Not known,mod-filtering,0,Thu Jan 18 17:36:31 2024,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.008474526688097783,None,0.5188702923392102,None,1.927263932362989,0.5188702923392102,0.4803773934855033,None,0.5196226065144967,None,36.795782608898826,None,3.5053660616451072,None,1.0,None,1.0,None,1.0,1.0,0.7659574468085106
2024-01-18_multipletau_mod-filtering_0dot069_0002_correlation-CH1_1,Not known,mod-filtering,0,Thu Jan 18 17:36:31 2024,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.027310832404772167,None,1.4941113963053232,None,0.6692941386250219,1.4941113963053232,0.9552450618516379,None,0.04475493814836207,None,9.854732096501353,None,10.084826047568784,None,1.0,None,1.0,None,1.0,1.0,0.6702127659574468
2024-01-18_multipletau_mod-filtering_0dot069_0003_correlation-CH1_1,Not known,mod-filtering,0,Thu Jan 18 17:36:31 2024,Equation 1A,2,no triplet,1,2D,1.0,8192.0,0.00036373835941083676,None,0.8245288023680202,None,1.2128139091418422,0.8245288023680202,0.9615798068017771,None,0.038420193198222874,None,8.679994426107905,None,4.606329723446454,None,1.0,None,1.0,None,1.0,1.0,0.8191489361702128
2024-01-18_multipletau_mod-filtering_0dot069_0004_correlation-CH1_1,Not known,mod-filtering,0,Thu Jan 18 17:36:31 2024,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.02745362790413397,None,1.513086222089515,None,0.6609008696272693,1.513086222089515,0.9951618489280423,None,0.00483815107195773,None,7.184468847328824,None,1.1819699690060015,None,1.0,None,1.0,None,1.0,1.0,0.6595744680851063
2024-01-18_multipletau_mod-filtering_0dot069_0005_correlation-CH1_1,Not known,mod-filtering,0,Thu Jan 18 17:36:31 2024,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.046606473633670875,None,1.0043949904675322,None,0.9956242409517729,1.0043949904675322,0.9380186772816163,None,0.06198132271838375,None,17.556221170040924,None,6.550238996219249,None,1.0,None,1.0,None,1.0,1.0,0.648936170212766
2024-01-18_multipletau_mod-filtering_0dot069_0006_correlation-CH1_1,Not known,mod-filtering,0,Thu Jan 18 17:36:31 2024,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.002276412314159759,None,0.944482111274807,None,1.058781302538656,0.944482111274807,0.9830711069445579,None,0.016928893055442096,None,10.81778422567904,None,14.044853230915816,None,1.0,None,1.0,None,1.0,1.0,0.776595744680851
2024-01-18_multipletau_mod-filtering_0dot069_0007_correlation-CH1_1,Not known,mod-filtering,0,Thu Jan 18 17:36:31 2024,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.01700517748568131,None,1.0322426731409893,None,0.968764444660209,1.0322426731409893,0.9693262763982663,None,0.030673723601733704,None,7.289689262175729,None,7.317263413039619,None,1.0,None,1.0,None,1.0,1.0,0.6595744680851063
2024-01-18_multipletau_mod-filtering_0dot069_0008_correlation-CH1_1,Not known,mod-filtering,0,Thu Jan 18 17:36:31 2024,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.04739469105044891,None,2.228937283306868,None,0.4486442967638787,2.228937283306868,0.9996569952504573,None,0.0003430047495427413,None,13.609528582733356,None,2.227462678237311,None,1.0,None,1.0,None,1.0,1.0,0.7021276595744681
2024-01-18_multipletau_mod-filtering_0dot069_0009_correlation-CH1_1,Not known,mod-filtering,0,Thu Jan 18 17:36:31 2024,Equation 1A,2,no triplet,1,2D,1.0,8192.0,0.006527539916817204,None,1.1365295110697757,None,0.8798715653751347,1.1365295110697757,0.9322711294561614,None,0.06772887054383858,None,11.035420523694235,None,2.1479137675487046,None,1.0,None,1.0,None,1.0,1.0,0.8191489361702128
2024-01-18_multipletau_mod-filtering_0dot069_0010_correlation-CH1_1,Not known,mod-filtering,0,Thu Jan 18 17:36:31 2024,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.02197670434522836,None,0.6215804042477505,None,1.6088023257589994,0.6215804042477505,0.36251974819466376,None,0.6374802518053362,None,69.88160176357665,None,3.322204105179132,None,1.0,None,1.0,None,1.0,1.0,0.7340425531914894
2024-01-18_multipletau_mod-filtering_0dot069_0011_correlation-CH1_1,Not known,mod-filtering,0,Thu Jan 18 17:36:31 2024,Equation 1A,2,no triplet,1,2D,1.0,8192.0,-0.004626000000000019,None,1.070521,None,0.9341245991437813,1.070521,1.0,None,0.0,None,9.864168999999992,None,1.000000000000166,None,1.0,None,1.0,None,1.0,1.0,0.6914893617021277
