name_of_plot,master_file,parent_name,parent_uqid,time of fit,Diff_eq,Diff_species,Triplet_eq,Triplet_species,Dimen,xmin,xmax,offset,stdev(offset),GN0,stdev(GN0),N (FCS),cpm (kHz),A1,stdev(A1),txy1,stdev(txy1),alpha1,stdev(alpha1),N (mom),bri (kHz),above zero
2024-01-23_multipletau_mod-filtering_0dot069_0000_correlation-CH1_1,Not known,mod-filtering,0,Tue Jan 23 20:43:18 2024,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.013052,0.0023447268027502965,0.101267,0.0026031580446921453,9.874885204459499,0.101267,1.0,0,265.442896,30.43910931579093,1.0,0,1.0,1.0,0.8297872340425532
2024-01-23_multipletau_mod-filtering_0dot069_0001_correlation-CH1_1,Not known,mod-filtering,0,Tue Jan 23 20:43:18 2024,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.015789464870795356,0.0032556411727718408,0.08892154393193413,0.003321657256516118,11.24586861385875,0.08892154393193413,1.0,0,424.76893730072345,67.56098909344337,1.0,0,1.0,1.0,0.8085106382978723
2024-01-23_multipletau_mod-filtering_0dot069_0002_correlation-CH1_1,Not known,mod-filtering,0,Tue Jan 23 20:43:18 2024,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.018160951562236072,0.0029531569503371026,0.10308897248469982,0.003032401906713956,9.700358592170634,0.10308897248469982,1.0,0,406.2101167884274,51.199795478964454,1.0,0,1.0,1.0,0.8085106382978723
2024-01-23_multipletau_mod-filtering_0dot069_0003_correlation-CH1_1,Not known,mod-filtering,0,Tue Jan 23 20:43:18 2024,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.009533370690376075,0.0018580993746316675,0.0883208581641011,0.0024624947622095632,11.322353754104034,0.0883208581641011,1.0,0,140.91636728480034,17.431961192025543,1.0,0,1.0,1.0,0.7127659574468085
2024-01-23_multipletau_mod-filtering_0dot069_0004_correlation-CH1_1,Not known,mod-filtering,0,Tue Jan 23 20:43:18 2024,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.004530959042874261,0.0011904117753201758,0.061601360082556365,0.001729787968388454,16.233407812097475,0.06160136008255636,1.0,0,109.38733045710576,13.318796548692342,1.0,0,1.0,1.0,0.776595744680851
2024-01-23_multipletau_mod-filtering_0dot069_0005_correlation-CH1_1,Not known,mod-filtering,0,Tue Jan 23 20:43:18 2024,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.03020184106204149,0.005135528795828092,0.09207328205852112,0.0048835419119646175,10.860914020251903,0.09207328205852112,1.0,0,1098.2551902753635,199.10779770668637,1.0,0,1.0,1.0,0.8404255319148937
2024-01-23_multipletau_mod-filtering_0dot069_0006_correlation-CH1_1,Not known,mod-filtering,0,Tue Jan 23 20:43:18 2024,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0037790668697409435,0.0007128825430742147,0.06675905989331621,0.0011189165770661214,14.979240294846004,0.06675905989331621,1.0,0,90.4608088719904,6.414163054649961,1.0,0,1.0,1.0,0.7659574468085106
2024-01-23_multipletau_mod-filtering_0dot069_0007_correlation-CH1_1,Not known,mod-filtering,0,Tue Jan 23 20:43:18 2024,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.016805172336271212,0.0031586430978322406,0.10416620977096494,0.0032066704013263246,9.600042107692564,0.10416620977096494,1.0,0,440.4445740480011,57.42214977600556,1.0,0,1.0,1.0,0.8404255319148937
2024-01-23_multipletau_mod-filtering_0dot069_0008_correlation-CH1_1,Not known,mod-filtering,0,Tue Jan 23 20:43:18 2024,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.010845737309857606,0.0023603404765311976,0.0821490887308104,0.002637293522023218,12.172989566285297,0.0821490887308104,1.0,0,257.91010222363434,36.99075283061261,1.0,0,1.0,1.0,0.8085106382978723
2024-01-23_multipletau_mod-filtering_0dot069_0009_correlation-CH1_1,Not known,mod-filtering,0,Tue Jan 23 20:43:18 2024,Equation 1A,1,no triplet,1,2D,1.0,8192.0,-0.0067251324848098815,0.0012490268950764505,0.06554469187990462,0.0015590622043329698,15.256765594874823,0.06554469187990462,1.0,0,169.67977252220038,18.08227958696551,1.0,0,1.0,1.0,0.776595744680851
