Time (ms),average_data,average_data fitted model: ,
1.0,0.03814710073676937,0.03886934432733536,
2.0,0.03667275287065579,0.03759077835688185,
3.0,0.035504901262283714,0.03638929779518515,
4.0,0.03448975005186153,0.03525813536439256,
5.0,0.03356620369872115,0.03419129339215238,
6.0,0.03269056876089573,0.03318343743231686,
7.0,0.031899433836617974,0.03222980705619246,
8.0,0.031137634752001365,0.03132614066565266,
9.0,0.030401575561544516,0.030468611822464936,
10.0,0.02974562168412644,0.029653775087158787,
11.0,0.02909651336614024,0.02887851975066514,
12.0,0.02845515374289232,0.028140030148652607,
13.0,0.027838497662517968,0.02743575149124544,
14.0,0.02727076780109367,0.026763360334107034,
15.0,0.026705683147664406,0.026120738971659056,
16.0,0.02616208476046499,0.02550595315782209,
18.0,0.025115293776109788,0.024352954238061882,
20.0,0.02415084944415467,0.0232918777128084,
22.0,0.02323547628188242,0.022312152263017814,
24.0,0.02237544351070898,0.02140476769796576,
26.0,0.021556893865410647,0.02056199703945722,
28.0,0.02078631974999866,0.019777175935142402,
30.0,0.0200589777119471,0.019044526062541898,
32.0,0.01936379466675564,0.018359012617989248,
36.0,0.018070424737525924,0.017112299230396314,
40.0,0.01690109168168441,0.0160077166945777,
44.0,0.01581993883140422,0.01502227043190672,
48.0,0.01485785940326135,0.014137672279283742,
52.0,0.014000178491261084,0.013339194995576575,
56.0,0.013195729531128656,0.012614845799982923,
60.0,0.012429073007952433,0.01195475987804399,
64.0,0.01172296455520242,0.011350748453196327,
72.0,0.01046990004825142,0.010284605701810157,
80.0,0.009367960912106857,0.009373295158508385,
88.0,0.008359706115201046,0.008585371551524069,
96.0,0.007504084408123272,0.007897364778152874,
104.0,0.006770751681151366,0.00729140232169948,
112.0,0.006157745680342383,0.006753634382153324,
120.0,0.005651177206885135,0.006273162385456622,
128.0,0.005149287001109418,0.005841292653509704,
144.0,0.004151127230871127,0.005096571531155201,
160.0,0.0032399669381038888,0.004477163214539087,
176.0,0.0025067365147988024,0.003953893063313881,
192.0,0.0019479772314733893,0.0035059906060278256,
208.0,0.0014681635342294033,0.003118266657895755,
224.0,0.0010855940228749542,0.002779356629718367,
240.0,0.0007251161068157952,0.002480588038792509,
256.0,0.000451826357868396,0.002215227926600346,
288.0,0.0001111929921670359,0.0017645729307463496,
320.0,-0.000290273055840552,0.0013962827762346382,
352.0,-0.0008630946356191238,0.0010896677995867743,
384.0,-0.0010574341504891733,0.0008304324740183318,
416.0,-0.0010578094895645899,0.000608382436679268,
448.0,-0.0011993450739730582,0.00041605220994536023,
480.0,-0.0014236486928480123,0.00024784937038837846,
512.0,-0.0016975120860551012,9.950179378564192e-05,
576.0,-0.0022088393714548727,-0.00015020553859094836,
640.0,-0.00269015122597642,-0.0003522198837000736,
704.0,-0.002966995486437263,-0.0005190138565349272,
768.0,-0.0028480192149527633,-0.0006590596979884043,
832.0,-0.002735827991959064,-0.0007783140350370529,
896.0,-0.002682697032976109,-0.0008810870452545514,
960.0,-0.0027488516680491057,-0.0009705745496510509,
1024.0,-0.0027438051181023783,-0.0010491962818171302,
1152.0,-0.003093544833619741,-0.0011809013921624941,
1280.0,-0.003082571700058538,-0.0012868721027751169,
1408.0,-0.0027581900955114262,-0.0013739796395000573,
1536.0,-0.0022166648038523585,-0.0014468489448642551,
1664.0,-0.0018274567761783378,-0.0015087072464159733,
1792.0,-0.0009917032659520098,-0.0015618749748365934,
1920.0,-0.0013698824495908745,-0.0016080633529652725,
2048.0,-0.0014316949324194095,-0.0016485620091850086,
2304.0,-0.0015402619366116663,-0.001716234271666459,
2560.0,-0.0016801259918858096,-0.0017705297433835876,
2816.0,-0.0019506810434892648,-0.0018150579647094908,
3072.0,-0.0007849713638660349,-0.0018522369984023466,
3328.0,-4.087231927957569e-05,-0.0018837475728191865,
3584.0,0.00011113937520253876,-0.0019107942172044068,
3840.0,-0.0006794325237911562,-0.0019342627572099408,
4096.0,-0.00020862021053285755,-0.0019548191814786463,
4608.0,0.0004390066477049211,-0.0019891244638368336,
5120.0,0.0005836562346354793,-0.0020166088857870128,
5632.0,0.001076776820027408,-0.002039122769126584,
6144.0,0.0017989291191927922,-0.0020579026758475744,
6656.0,0.002609235723524263,-0.002073806404325012,
7168.0,0.0023596789235852743,-0.0020874476950121807,
7680.0,0.0012901399058316031,-0.0020992772647187266,
8192.0,0.004802336826960814, ,
9216.0,0.01649217073082821, ,
10240.0,0.029152012675325956, ,
11264.0,0.003267277971300274, ,
12288.0,0.0018273322006493154, ,
13312.0,-0.06363767580078644, ,
14336.0,-0.0038406143091155444, ,
