Time (ms),2024-01-23_multipletau_mod-filtering_0dot2_0005_correlation-CH1_1,2024-01-23_multipletau_mod-filtering_0dot2_0005_correlation-CH1_1 fitted model: ,
1.0,0.05828255826581996,0.057072544953725435,
2.0,0.05661727804043615,0.05586453772111037,
3.0,0.055314986406496125,0.05469953266080202,
4.0,0.05385190511605176,0.05357527376510007,
5.0,0.052767829375006015,0.052489660122231635,
6.0,0.05162075027210933,0.051440732813390705,
7.0,0.05107181588628795,0.05042666311607793,
8.0,0.05014085891260067,0.04944574186428653,
9.0,0.04899918453728147,0.04849636983530866,
10.0,0.04816234238831307,0.047577049049424155,
11.0,0.047064299709278945,0.04668637488291123,
12.0,0.04584089175739492,0.04582302890703673,
13.0,0.0448516015196907,0.04498577237624202,
14.0,0.044150088196351245,0.04417344029788317,
15.0,0.043192436010726754,0.043384936023820826,
16.0,0.04230079493626637,0.04261922631105894,
18.0,0.04031660182558405,0.041152347901342645,
20.0,0.03879690437479355,0.03976564480524075,
22.0,0.03707796900712523,0.03845271865613845,
24.0,0.03567304276368888,0.03720783427195315,
26.0,0.034682882110244506,0.03602583590231249,
28.0,0.033281769026489494,0.03490207585550534,
30.0,0.031920450216913254,0.033832353421659016,
32.0,0.030377192223770777,0.03281286239994767,
36.0,0.02739443310746692,0.030911056921068013,
40.0,0.025464493574430147,0.02917252537534993,
44.0,0.02406153821120749,0.027577107074003772,
48.0,0.023328313612698492,0.02610782930729267,
52.0,0.022764218051940954,0.024750301170046708,
56.0,0.0221055797124754,0.023492240632417657,
60.0,0.0213722013181481,0.02232310189289583,
64.0,0.020856318054093492,0.021233779052005092,
72.0,0.02033725075746573,0.019263976699170255,
80.0,0.021184587409836864,0.017530816476131087,
88.0,0.021832519466885802,0.015994071236504377,
96.0,0.021742418617904713,0.014622142591775654,
104.0,0.02213177971371061,0.013389865068753143,
112.0,0.021940587035074177,0.012276948347784956,
120.0,0.021537845755008167,0.011266851254268767,
128.0,0.02093772527175375,0.010345954057646576,
144.0,0.017224664319924532,0.008728331846365574,
160.0,0.012819375088980234,0.007353523454794279,
176.0,0.008521378820617542,0.006170674170100018,
192.0,0.004573682918309174,0.005142203831079346,
208.0,0.0015352858460269125,0.004239740859407976,
224.0,-9.572056169460108e-05,0.003441464502191908,
240.0,-0.0011519564783913916,0.0027303173304377842,
256.0,-0.000813058875388295,0.002092772748130512,
288.0,0.0019262798858719066,0.0009970717189407494,
320.0,-0.0020567263710474792,8.928054506176022e-05,
352.0,-0.006475155840110269,-0.0006751221918876414,
384.0,-0.006770325232858809,-0.0013276227866584837,
416.0,-0.008474385623192804,-0.0018911176212169046,
448.0,-0.014030313443576747,-0.0023826554456119337,
480.0,-0.01359407783841371,-0.0028151921603881153,
512.0,-0.012329599617073583,-0.0031987494772135134,
576.0,-0.01366791179309057,-0.0038488187662049176,
640.0,-0.011914129935383766,-0.004378849330041363,
704.0,-0.017171569035593026,-0.004819279541815402,
768.0,-0.02002114155246293,-0.0051910587589628155,
832.0,-0.024191849923760556,-0.0055090776683347975,
896.0,-0.01954066604893645,-0.005784210856992748,
960.0,-0.01876250838561666,-0.006024585241743662,
1024.0,-0.017042623098171505,-0.0062363963223087075,
1152.0,0.00044930012710864276,-0.006592530460305614,
1280.0,0.008338239410592418,-0.006880279161280575,
1408.0,0.013030784797929407,-0.007117614163222064,
1536.0,0.012171956664356776,-0.007316717105245816,
1664.0,0.009319715318932387,-0.007486137516640455,
1792.0,0.011722529977540308,-0.007632052610396529,
1920.0,0.01516973926249321,-0.007759036741493815,
2048.0,0.015090222027601907,-0.00787054962180741,
2304.0,-0.01368839271039024,-0.008057243085665678,
2560.0,-0.02091517703776613,-0.008207357774300388,
2816.0,-0.023147211271093315,-0.008330684800387015,
3072.0,-0.016024237367005756,-0.008433807113228664,
3328.0,0.001969450346281487,-0.008521313999259364,
3584.0,0.006138399938500294,-0.008596502693178375,
3840.0,0.015097211038365366,-0.008661803178425583,
4096.0,-0.01669159616173188,-0.008719045729361793,
4608.0,-0.021106904240169366,-0.008814667691133224,
5120.0,-0.010262748015125944,-0.008891361871199257,
5632.0,-0.021844069837220648,-0.008954242101412718,
6144.0,-0.022849238238992764,-0.009006732231788843,
6656.0,-0.00048808944864675574,-0.009051210971039962,
7168.0,-0.0069019220105993595,-0.009089382402256062,
7680.0,-0.016585549177207004,-0.009122499311574432,
8192.0,-2.810878161563224e-05, ,
9216.0,-0.00789647692299178, ,
10240.0,0.03467359581428142, ,
11264.0,0.013316431883481528, ,
12288.0,0.057937446182613206, ,
13312.0,0.053817057841967664, ,
14336.0,0.012974565245144731, ,
